MovieID,Genre
1,Animation
1,Comedy
1,Children's
2,Children's
2,Fantasy
2,Adventure
3,Comedy
3,Romance
4,Drama
4,Comedy
5,Comedy
6,Action
6,Crime
6,Thriller
7,Comedy
7,Romance
8,Adventure
8,Children's
9,Action
10,Thriller
10,Adventure
10,Action
11,Drama
11,Romance
11,Comedy
12,Horror
12,Comedy
13,Children's
13,Animation
14,Drama
15,Action
15,Romance
15,Adventure
16,Thriller
16,Drama
17,Drama
17,Romance
18,Thriller
19,Comedy
20,Action
21,Comedy
21,Action
21,Drama
22,Crime
22,Thriller
22,Drama
23,Thriller
24,Drama
24,Sci-Fi
25,Drama
25,Romance
26,Drama
27,Drama
28,Romance
29,Sci-Fi
29,Adventure
30,Drama
31,Drama
32,Sci-Fi
32,Drama
33,Romance
33,Adventure
34,Drama
34,Comedy
34,Children's
35,Drama
35,Romance
36,Drama
37,Documentary
38,Comedy
39,Comedy
39,Romance
40,Drama
41,Drama
41,War
42,Action
42,Crime
42,Drama
43,Drama
44,Adventure
44,Action
45,Drama
45,Comedy
46,Drama
46,Romance
47,Thriller
47,Crime
48,Musical
48,Romance
48,Animation
48,Children's
49,Drama
49,Romance
50,Crime
50,Thriller
51,Drama
51,Action
51,Thriller
52,Comedy
53,Drama
54,Comedy
54,Children's
55,Drama
56,Fantasy
56,Adventure
56,Children's
57,Drama
58,Romance
58,Drama
59,Mystery
59,Drama
60,Children's
60,Fantasy
60,Adventure
61,Thriller
61,Drama
62,Drama
63,Comedy
64,Romance
64,Comedy
65,Comedy
66,Sci-Fi
66,Thriller
67,Drama
68,Romance
68,Comedy
69,Comedy
70,Comedy
70,Crime
70,Horror
70,Thriller
70,Action
71,Action
72,Drama
72,Comedy
73,Musical
73,Drama
74,Romance
74,Drama
75,Drama
75,Comedy
76,Thriller
76,Sci-Fi
77,Documentary
78,Drama
79,Drama
79,Thriller
80,Drama
81,Crime
81,Drama
81,Romance
82,Drama
83,Drama
84,Comedy
84,Drama
85,Drama
85,Romance
86,Adventure
86,Drama
87,Children's
87,Comedy
88,Comedy
89,Thriller
89,Action
90,Drama
92,Thriller
92,Drama
93,Romance
93,Comedy
94,Drama
95,Thriller
95,Action
96,Comedy
97,Drama
98,Thriller
98,Action
99,Documentary
100,Drama
100,Thriller
101,Comedy
102,Comedy
103,Thriller
104,Comedy
105,Drama
105,Romance
106,Comedy
106,Drama
107,Comedy
107,Musical
107,Adventure
107,Children's
108,Documentary
109,Comedy
110,War
110,Action
110,Drama
111,Drama
111,Thriller
112,Action
112,Crime
112,Adventure
113,Mystery
113,Drama
114,Drama
115,Comedy
116,Documentary
117,Crime
118,Romance
118,Comedy
119,Comedy
120,Drama
121,Drama
122,Comedy
122,Romance
123,Romance
123,Mystery
123,Drama
124,Drama
125,Comedy
126,Children's
126,Adventure
126,Fantasy
127,Drama
128,Documentary
129,Comedy
129,Romance
130,Drama
131,Drama
131,Romance
132,Thriller
133,Drama
133,Comedy
134,Documentary
135,Comedy
136,Documentary
137,Documentary
138,Drama
139,Action
139,Drama
140,Romance
140,Drama
141,Comedy
142,Drama
143,Drama
144,Comedy
145,Action
146,Children's
146,Adventure
147,Drama
148,Drama
149,Crime
149,Drama
149,Thriller
150,Drama
151,Romance
151,Drama
151,War
152,Horror
153,Comedy
153,Crime
153,Adventure
153,Action
154,Drama
155,War
155,Drama
156,Comedy
157,War
157,Comedy
158,Children's
158,Adventure
159,Drama
160,Adventure
160,Action
160,Mystery
160,Sci-Fi
161,Thriller
161,War
161,Drama
162,Documentary
163,Romance
163,Action
163,Thriller
164,Thriller
164,Mystery
164,Crime
164,Film-Noir
165,Action
165,Thriller
166,Drama
166,Comedy
167,Drama
168,Romance
168,Adventure
168,Action
168,Drama
169,Children's
169,Adventure
169,Drama
170,Crime
170,Thriller
170,Action
171,Comedy
172,Action
172,Thriller
172,Sci-Fi
173,Sci-Fi
173,Action
173,Adventure
174,Comedy
175,Drama
176,Comedy
177,Horror
178,Comedy
179,Romance
179,Drama
180,Comedy
181,Action
181,Children's
182,Drama
182,Romance
183,Thriller
184,Drama
185,Sci-Fi
185,Thriller
186,Comedy
187,Comedy
188,Horror
189,Comedy
190,Thriller
191,Drama
192,Documentary
193,Drama
194,Drama
195,Drama
195,Romance
195,Comedy
196,Sci-Fi
196,Horror
197,Drama
198,Action
198,Crime
198,Sci-Fi
199,Musical
199,Drama
200,Thriller
201,Drama
