movieid,genre_id
1,0
1,2
1,1
2,1
2,4
2,3
3,2
3,5
4,6
4,2
5,2
6,8
6,7
6,9
7,2
7,5
8,1
8,3
9,9
10,9
10,8
10,3
11,5
11,2
11,6
12,10
12,2
13,0
13,1
14,6
15,5
15,3
15,9
16,6
16,8
17,5
17,6
18,8
19,2
20,9
21,2
21,6
21,9
22,6
22,7
22,8
23,8
24,11
24,6
25,6
25,5
26,6
27,6
28,5
29,11
29,3
30,6
31,6
32,11
32,6
33,5
33,3
34,2
34,6
34,1
35,6
35,5
36,6
37,12
38,2
39,2
39,5
40,6
41,13
41,6
42,7
42,9
42,6
43,6
44,3
44,9
45,6
45,2
46,5
46,6
47,8
47,7
48,0
48,1
48,14
49,6
49,5
50,8
50,7
51,9
51,8
51,6
52,2
53,6
54,2
54,1
55,6
56,3
56,1
56,4
57,6
58,5
58,6
59,15
59,6
60,1
60,4
60,3
61,6
61,8
62,6
63,2
64,5
64,2
65,2
66,8
66,11
67,6
68,5
68,2
69,2
70,9
70,7
70,2
71,9
72,2
72,6
73,14
73,6
74,6
74,5
75,2
75,6
76,8
76,11
77,12
78,6
79,8
79,6
80,6
81,6
81,7
81,5
82,6
83,6
84,2
84,6
85,5
85,6
86,6
86,3
87,2
87,1
88,2
89,9
89,8
90,6
92,6
92,8
93,2
93,5
94,6
95,9
95,8
96,2
97,6
98,9
98,8
99,12
100,8
100,6
101,2
102,2
103,8
104,2
105,5
105,6
106,6
106,2
107,3
107,1
107,2
108,12
109,2
110,6
110,9
110,13
111,6
111,8
112,7
112,3
112,9
113,15
113,6
114,6
115,2
116,12
117,7
118,2
118,5
119,2
120,6
121,6
122,2
122,5
123,15
123,5
123,6
124,6
125,2
126,4
126,1
126,3
127,6
128,12
129,5
129,2
130,6
131,5
131,6
132,8
133,2
133,6
134,12
135,2
136,12
137,12
138,6
139,6
139,9
140,6
140,5
141,2
142,6
143,6
144,2
145,9
146,3
146,1
147,6
148,6
149,8
149,6
149,7
150,6
151,6
151,5
151,13
152,10
153,9
153,3
153,2
154,6
155,6
155,13
156,2
157,13
157,2
158,3
158,1
159,6
160,3
160,15
160,9
161,13
161,8
161,6
162,12
163,8
163,9
163,5
164,7
164,15
164,16
165,9
165,8
166,6
166,2
167,6
168,9
168,3
168,6
169,3
169,6
169,1
170,7
170,9
170,8
171,2
172,11
172,9
172,8
173,11
173,9
173,3
174,2
175,6
176,2
177,10
178,2
179,5
179,6
180,2
181,9
181,1
182,5
182,6
183,8
184,6
185,8
185,11
186,2
187,2
188,10
189,2
190,8
191,6
192,12
193,6
194,6
195,6
195,5
195,2
196,11
196,10
197,6
198,7
198,11
198,9
199,6
199,14
200,8
201,6
