id,move,description,type,category,power,accuracy,pp,z-effect,priority,crit
1,Pound,"The target is physically pounded with a long tail, a foreleg, or the like.",Normal,Physical,40,100%,35,100 Power,0,0
2,Karate Chop,The target is attacked with a sharp chop. Critical hits land more easily.,Fighting,Physical,50,100%,25,100 Power,0,1
3,Double Slap,"The target is slapped repeatedly, back and forth, two to five times in a row.",Normal,Physical,15,85%,10,100 Power,0,0
4,Comet Punch,The target is hit with a flurry of punches that strike two to five times in a row.,Normal,Physical,18,85%,15,100 Power,0,0
5,Mega Punch,The target is slugged by a punch thrown with muscle-packed power.,Normal,Physical,80,85%,20,160 Power,0,0
6,Pay Day,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.,Normal,Physical,40,100%,20,100 Power,0,0
7,Fire Punch,The target is punched with a fiery fist. This may also leave the target with a burn.,Fire,Physical,75,100%,15,140 Power,0,0
8,Ice Punch,The target is punched with an icy fist. This may also leave the target frozen.,Ice,Physical,75,100%,15,140 Power,0,0
9,Thunder Punch,The target is punched with an electrified fist. This may also leave the target with paralysis.,Electric,Physical,75,100%,15,140 Power,0,0
10,Scratch,"Hard, pointed, sharp claws rake the target to inflict damage.",Normal,Physical,40,100%,35,100 Power,0,0
11,Vice Grip,The target is gripped and squeezed from both sides to inflict damage.,Normal,Physical,55,100%,30,100 Power,0,0
12,Guillotine,"A vicious, tearing attack with big pincers. The target faints instantly if this attack hits.",Normal,Physical,—,30%,5,180 Power,0,0
13,Razor Wind,"In this two-turn attack, blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.",Normal,Special,80,100%,10,160 Power,0,1
14,Swords Dance,A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.,Normal,Status,0,—,20,Reset user's stats,0,0
15,Cut,The target is cut with a scythe or claw.,Normal,Physical,50,95%,30,100 Power,0,0
16,Gust,A gust of wind is whipped up by wings and launched at the target to inflict damage.,Flying,Special,40,100%,35,100 Power,0,0
17,Wing Attack,"The target is struck with large, imposing wings spread wide to inflict damage.",Flying,Physical,60,100%,35,120 Power,0,0
18,Whirlwind,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",Normal,Status,0,—,20,Special Defense ↑,-6,0
19,Fly,The user soars and then strikes its target on the next turn.,Flying,Physical,90,95%,15,175 Power,0,0
20,Bind,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.,Normal,Physical,15,85%,20,100 Power,0,0
21,Slam,"The target is slammed with a long tail, vines, or the like to inflict damage.",Normal,Physical,80,75%,20,160 Power,0,0
22,Vine Whip,"The target is struck with slender, whiplike vines to inflict damage.",Grass,Physical,45,100%,25,100 Power,0,0
23,Stomp,The target is stomped with a big foot. This may also make the target flinch.,Normal,Physical,65,100%,20,120 Power,0,0
24,Double Kick,The target is quickly kicked twice in succession using both feet.,Fighting,Physical,30,100%,30,100 Power,0,0
25,Mega Kick,The target is attacked by a kick launched with muscle-packed power.,Normal,Physical,120,75%,5,190 Power,0,0
26,Jump Kick,"The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.",Fighting,Physical,100,95%,10,180 Power,0,0
27,Rolling Kick,"The user lashes out with a quick, spinning kick. This may also make the target flinch.",Fighting,Physical,60,85%,15,120 Power,0,0
28,Sand Attack,"Sand is hurled in the target’s face, reducing the target’s accuracy.",Ground,Status,0,100%,15,Evasiveness ↑,0,0
29,Headbutt,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.,Normal,Physical,70,100%,15,140 Power,0,0
30,Horn Attack,The target is jabbed with a sharply pointed horn to inflict damage.,Normal,Physical,65,100%,25,120 Power,0,0
31,Fury Attack,The target is jabbed repeatedly with a horn or beak two to five times in a row.,Normal,Physical,15,85%,20,100 Power,0,0
32,Horn Drill,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.,Normal,Physical,—,30%,5,180 Power,0,0
33,Tackle,A physical attack in which the user charges and slams into the target with its whole body.,Normal,Physical,40,100%,35,100 Power,0,0
34,Body Slam,The user drops onto the target with its full body weight. This may also leave the target with paralysis.,Normal,Physical,85,100%,15,160 Power,0,0
35,Wrap,"A long body, vines, or the like are used to wrap and squeeze the target for four to five turns.",Normal,Physical,15,90%,20,100 Power,0,0
