ability,description
Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch."
Drizzle,The Pokémon makes it rain when it enters a battle.
Speed Boost,Its Speed stat is boosted every turn.
Battle Armor,Hard armor protects the Pokémon from critical hits.
Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either."
Damp,Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.
Limber,Its limber body protects the Pokémon from paralysis.
Sand Veil,Boosts the Pokémon’s evasion in a sandstorm.
Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis."
Volt Absorb,"Restores HP if hit by an Electric-type move, instead of taking damage."
Water Absorb,"Restores HP if hit by a Water-type move, instead of taking damage."
Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts."
Cloud Nine,Eliminates the effects of weather.
Compound Eyes,The Pokémon’s compound eyes boost its accuracy.
Insomnia,The Pokémon is suffering from insomnia and cannot fall asleep.
Color Change,The Pokémon’s type becomes the type of the move used on it.
Immunity,The immune system of the Pokémon prevents it from getting poisoned.
Flash Fire,Powers up the Pokémon’s Fire-type moves if it’s hit by one.
Shield Dust,This Pokémon’s dust blocks the additional effects of attacks taken.
Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused."
Suction Cups,This Pokémon uses suction cups to stay in one spot to negate all moves and items that force switching out.
Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat."
Shadow Tag,This Pokémon steps on the opposing Pokémon’s shadow to prevent it from escaping.
Rough Skin,This Pokémon inflicts damage with its rough skin to the attacker on contact.
Wonder Guard,Its mysterious power only lets supereffective moves hit the Pokémon.
Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker."
Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon."
Clear Body,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
Natural Cure,All status conditions heal when the Pokémon switches out.
Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk."
Serene Grace,Boosts the likelihood of additional effects occurring when attacking.
Swift Swim,Boosts the Pokémon’s Speed stat in rain.
Chlorophyll,Boosts the Pokémon’s Speed stat in sunshine.
Illuminate,Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.
Trace,"When it enters a battle, the Pokémon copies an opposing Pokémon’s Ability."
Huge Power,Doubles the Pokémon’s Attack stat.
Poison Point,Contact with the Pokémon may poison the attacker.
Inner Focus,"The Pokémon’s intensely focused, and that protects the Pokémon from flinching."
