int_mentality_id,int_player_id,int_aggression,int_interceptions,int_positioning,int_vision,int_penalties,int_composure
1,1,44,40,93,95,75,96
2,2,63,29,95,82,84,95
3,3,34,19,11,65,11,68
4,4,76,66,88,94,84,91
5,5,51,36,87,90,92,93
6,6,81,49,94,81,88,88
7,7,62,38,91,80,70,84
8,8,27,11,13,66,23,65
9,9,63,55,91,84,83,90
10,10,75,35,92,85,71,84
11,11,83,90,47,65,62,90
12,12,43,22,11,70,25,70
13,13,91,87,72,80,66,84
14,14,23,15,13,44,27,66
15,15,29,30,12,70,47,70
16,16,63,39,90,87,84,90
17,17,90,88,73,71,92,88
18,18,65,24,94,83,75,91
19,19,90,91,72,79,54,85
20,20,89,82,80,84,44,85
21,21,48,42,85,87,86,84
22,22,38,27,20,70,17,70
23,23,59,30,92,82,69,80
24,24,81,35,93,83,90,91
25,25,87,87,35,52,33,82
26,26,62,39,89,83,73,88
27,27,54,41,85,86,87,90
28,28,60,79,76,90,73,88
29,29,25,22,12,41,23,69
30,30,44,39,83,87,60,84
31,31,74,82,76,84,55,81
32,32,69,49,85,85,68,87
33,33,85,82,77,79,55,83
34,34,81,87,54,65,44,85
35,35,70,74,83,90,91,86
36,36,86,87,70,79,90,84
37,37,75,58,86,86,72,88
38,38,73,49,89,85,86,89
39,39,32,20,16,68,25,67
40,40,77,40,93,71,88,86
41,41,81,85,77,84,60,92
42,42,43,48,93,77,78,88
43,43,40,15,14,48,18,65
44,44,73,42,84,88,73,86
45,45,62,79,78,90,82,92
46,46,87,41,91,84,83,85
47,47,31,27,10,30,40,65
48,48,90,88,28,50,50,84
49,49,87,49,92,73,84,87
50,50,63,38,86,83,68,80
51,51,84,83,75,74,45,82
52,52,80,87,52,59,43,83
53,53,89,85,71,88,64,94
54,54,78,64,81,88,83,87
55,55,38,30,12,61,29,65
56,56,62,58,94,85,60,84
57,57,75,81,83,78,59,80
58,58,84,85,78,83,64,82
59,59,71,91,56,80,68,89
60,60,38,21,15,64,24,57
61,61,56,50,86,91,75,92
62,62,79,87,64,72,69,87
63,63,56,40,82,87,72,85
64,64,42,38,84,82,73,84
65,65,83,83,44,63,40,82
66,66,86,86,30,57,56,81
67,67,76,83,75,82,46,85
68,68,73,42,82,82,81,82
69,69,30,26,14,50,24,68
70,70,70,82,73,86,45,90
71,71,79,78,79,85,56,84
72,72,61,34,84,82,71,80
73,73,80,87,54,66,49,82
74,74,63,37,88,65,78,82
75,75,79,81,75,77,61,81
76,76,81,82,83,84,60,82
77,77,73,52,82,89,67,79
78,78,80,86,59,68,47,86
79,79,48,39,80,84,70,84
80,80,56,22,92,72,82,83
81,81,29,55,80,88,56,78
82,82,34,26,81,85,74,83
83,83,79,80,82,84,59,84
84,84,28,25,7,56,23,66
85,85,71,27,86,78,78,83
86,86,82,82,70,70,60,80
87,87,46,56,82,90,67,86
88,88,58,81,82,89,88,85
89,89,54,83,75,85,75,86
90,90,78,80,68,69,63,75
91,91,51,48,86,84,91,85
92,92,34,23,11,42,24,45
93,93,82,90,38,74,70,86
94,94,81,85,52,62,58,86
95,95,85,87,48,52,50,80
96,96,75,79,79,79,74,86
97,97,70,78,68,88,79,86
98,98,59,36,85,83,79,81
99,99,76,88,59,70,60,86
100,100,82,41,86,68,80,83
101,101,86,45,85,77,74,83
102,102,75,77,75,86,69,90
103,103,52,29,85,85,83,80
104,104,87,90,67,67,55,80
105,105,32,15,11,64,27,61
106,106,89,85,24,27,38,75
107,107,84,81,70,80,69,82
108,108,36,23,83,79,70,76
109,109,78,80,75,76,81,78
110,110,38,47,80,85,54,84
111,111,83,81,26,57,32,75
112,112,54,42,84,77,81,82
113,113,84,82,70,69,46,82
114,114,69,81,75,68,54,83
115,115,84,84,73,85,49,86
116,116,52,81,79,84,44,86
117,117,76,79,82,83,68,83
118,118,92,87,34,50,47,75
119,119,77,66,83,83,65,80
120,120,81,53,84,78,92,81
121,121,75,28,84,84,73,78
122,122,58,46,85,87,78,80
123,123,76,82,73,74,60,80
124,124,55,44,90,80,80,84
125,125,80,86,32,64,41,82
126,126,67,72,85,86,78,85
127,127,58,61,76,83,75,85
128,128,74,84,73,78,79,84
129,129,86,89,69,68,54,83
130,130,73,78,79,78,68,85
131,131,63,39,84,79,82,85
132,132,55,48,74,80,77,80
