int_defending_id,int_player_id,int_defensive_awareness,int_standing_tackle,int_sliding_tackle
1,1,32,35,24
2,2,28,32,24
3,3,27,12,18
4,4,68,65,53
5,5,35,30,29
6,6,35,42,19
7,7,34,34,32
8,8,15,19,16
9,9,38,43,41
10,10,42,42,38
11,11,93,93,86
12,12,25,13,10
13,13,84,88,87
14,14,20,18,16
15,15,17,10,11
16,16,47,24,18
17,17,85,88,90
18,18,30,29,24
19,19,89,90,85
20,20,82,84,79
21,21,32,48,40
22,22,29,15,8
23,23,47,53,47
24,24,56,36,38
25,25,91,89,87
26,26,50,34,33
27,27,34,27,22
28,28,72,73,60
29,29,25,10,13
30,30,32,41,32
31,31,79,83,79
32,32,49,59,40
33,33,83,84,81
34,34,89,89,88
35,35,72,67,55
36,36,86,87,85
37,37,60,64,42
38,38,59,54,49
39,39,28,14,14
40,40,34,33,32
41,41,84,83,80
42,42,27,29,36
43,43,20,13,12
44,44,41,55,52
45,45,68,75,71
46,46,57,45,38
47,47,29,10,18
48,48,94,90,88
49,49,57,50,53
50,50,45,44,43
51,51,83,83,85
52,52,89,87,86
53,53,78,82,83
54,54,63,67,65
55,55,25,21,13
56,56,47,57,46
57,57,74,80,82
58,58,84,83,77
59,59,90,88,86
60,60,9,19,12
61,61,58,53,29
62,62,88,86,84
63,63,50,30,34
64,64,39,46,38
65,65,86,85,82
66,66,92,87,83
67,67,83,84,78
68,68,47,40,33
69,69,20,14,16
70,70,76,76,77
71,71,78,79,74
72,72,36,32,35
73,73,90,86,81
74,74,39,20,19
75,75,82,84,83
76,76,74,81,76
77,77,44,56,40
78,78,87,87,87
79,79,45,31,22
80,80,45,24,20
81,81,58,68,45
82,82,53,24,22
83,83,80,80,70
84,84,27,15,18
85,85,30,41,30
86,86,80,81,82
87,87,59,57,22
88,88,70,70,69
89,89,67,71,68
90,90,77,83,82
91,91,50,37,45
92,92,25,16,20
93,93,90,86,80
94,94,88,89,85
95,95,90,86,84
96,96,78,79,69
97,97,78,76,70
98,98,25,40,40
99,99,87,86,84
100,100,45,38,30
101,101,56,31,44
102,102,76,79,70
103,103,55,32,30
104,104,87,89,85
105,105,12,18,14
106,106,88,87,86
107,107,78,81,79
108,108,29,27,21
109,109,80,81,79
110,110,48,55,57
111,111,85,88,87
112,112,34,39,36
113,113,84,80,81
114,114,75,78,79
115,115,81,85,81
116,116,76,76,78
117,117,77,78,77
118,118,87,86,83
119,119,71,70,59
120,120,53,38,30
121,121,29,31,20
122,122,53,32,26
123,123,78,83,84
124,124,34,33,26
125,125,88,87,85
126,126,69,67,52
127,127,58,64,51
128,128,85,83,82
129,129,84,90,83
130,130,77,77,76
131,131,39,21,18
132,132,45,38,34
133,133,11,13,16
134,134,64,32,32
135,135,85,85,85
136,136,57,48,39
137,137,14,13,11
138,138,82,80,81
139,139,82,84,81
140,140,14,11,13
141,141,14,14,13
142,142,81,78,80
143,143,88,86,83
144,144,79,80,76
145,145,67,74,76
146,146,42,30,33
147,147,53,30,28
148,148,24,35,33
149,149,81,85,90
150,150,84,84,80
151,151,77,81,80
152,152,77,81,80
153,153,52,28,26
154,154,83,85,82
155,155,79,82,79
156,156,65,49,51
157,157,72,74,68
158,158,19,20,11
159,159,19,15,14
160,160,83,82,81
161,161,34,42,30
162,162,52,47,39
163,163,52,24,22
164,164,20,18,12
165,165,79,82,84
166,166,70,70,63
167,167,78,80,80
168,168,88,86,82
169,169,69,72,68
170,170,44,41,41
171,171,70,73,66
172,172,55,40,40
173,173,83,84,83
174,174,64,80,71
175,175,55,61,59
176,176,75,81,78
177,177,56,46,48
178,178,87,88,86
179,179,87,87,85
180,180,75,79,78
181,181,13,15,13
182,182,48,34,26
183,183,86,74,72
184,184,30,34,32
185,185,85,86,80
186,186,14,13,12
187,187,39,51,32
188,188,11,19,17
189,189,85,85,87
190,190,10,10,13
191,191,58,55,38
192,192,55,54,47
193,193,15,14,10
194,194,66,56,52
195,195,80,79,75
196,196,75,74,67
197,197,77,83,81
198,198,83,83,81
199,199,81,87,85
200,200,80,80,77
201,201,80,86,83
202,202,58,28,16
203,203,80,77,76
204,204,83,86,90
205,205,71,77,79
206,206,54,55,52
207,207,86,85,86
208,208,85,83,85
209,209,31,22,14
210,210,75,73,64
211,211,35,22,18
212,212,13,15,13
213,213,71,74,68
214,214,28,37,24
215,215,78,79,78
216,216,12,10,14
217,217,68,68,58
218,218,85,87,82
219,219,20,17,13
220,220,70,78,75
221,221,60,70,66
222,222,79,80,74
223,223,36,27,25
224,224,83,85,83
225,225,83,79,75
226,226,70,75,70
227,227,22,13,13
228,228,75,78,79
229,229,40,42,39
230,230,81,84,86
231,231,84,86,83
232,232,35,20,26
233,233,14,12,19
234,234,15,13,17
235,235,58,53,44
236,236,51,55,42
237,237,82,82,76
238,238,18,16,13
239,239,41,39,26
240,240,82,86,80
241,241,86,86,77
242,242,58,61,55
243,243,46,29,31
244,244,20,18,18
245,245,14,15,14
246,246,80,83,79
247,247,32,30,33
248,248,83,83,82
249,249,37,14,20
250,250,22,15,15
251,251,31,43,44
252,252,83,83,68
253,253,34,36,30
254,254,52,41,44
255,255,44,41,40
256,256,20,12,19
257,257,17,14,15
258,258,15,18,14
259,259,80,81,83
260,260,13,18,12
261,261,83,84,80
262,262,60,71,55
263,263,68,72,68
264,264,82,83,81
265,265,40,42,39
266,266,12,16,16
267,267,64,52,54
268,268,43,57,51
269,269,24,15,14
270,270,87,84,83
271,271,32,39,39
272,272,24,16,19
273,273,76,77,72
274,274,89,87,85
275,275,13,11,11
276,276,75,77,78
277,277,30,42,35
278,278,46,39,46
279,279,24,20,21
280,280,35,24,28
281,281,83,84,81
282,282,71,78,77
283,283,80,80,79
284,284,61,53,48
285,285,77,77,79
286,286,45,54,38
287,287,46,56,46
288,288,15,11,18
289,289,50,52,42
290,290,70,77,81
291,291,26,27,24
292,292,83,86,80
293,293,73,72,69
294,294,77,85,84
295,295,77,79,82
296,296,38,32,47
297,297,19,22,20
298,298,81,79,81
299,299,75,82,76
300,300,24,34,30
301,301,80,83,77
302,302,37,32,25
303,303,25,33,29
304,304,68,64,62
305,305,82,83,86
306,306,59,65,42
307,307,63,29,29
308,308,66,71,67
309,309,47,34,29
310,310,74,78,76
311,311,69,73,67
312,312,39,37,26
313,313,17,20,17
314,314,55,59,63
315,315,17,14,12
316,316,79,81,80
317,317,70,81,75
318,318,75,79,72
319,319,46,48,40
320,320,82,82,81
321,321,62,56,56
322,322,20,20,15
323,323,19,18,16
324,324,81,81,79
325,325,25,20,14
326,326,39,61,55
327,327,20,11,12
328,328,82,85,82
329,329,35,34,32
330,330,21,20,12
331,331,77,79,80
332,332,86,83,82
333,333,30,41,34
334,334,76,79,78
