int_speciality_id,int_player_id,str_player_speciality
1,1,Dribbler
2,1,Distance Shooter
3,1,FK Specialist
4,1,Acrobat
5,1,Clinical Finisher
6,1,Complete Forward
7,2,Aerial Threat
8,2,Dribbler
9,2,Distance Shooter
10,2,Acrobat
11,2,Clinical Finisher
12,2,Complete Forward
13,4,Dribbler
14,4,Playmaker 
15,4,Engine
16,4,Distance Shooter
17,4,Crosser
18,4,Complete Midfielder
19,5,Speedster
20,5,Dribbler
21,5,Playmaker 
22,5,FK Specialist
23,5,Acrobat
24,5,Clinical Finisher
25,5,Complete Midfielder
26,5,Complete Forward
27,6,Distance Shooter
28,6,Clinical Finisher
29,7,Speedster
30,7,Dribbler
31,7,Acrobat
32,9,Speedster
33,9,Dribbler
34,9,Acrobat
35,9,Clinical Finisher
36,9,Complete Forward
37,10,Speedster
38,10,Dribbler
39,10,Acrobat
40,11,Tackling 
41,11,Tactician 
42,11,Strength
43,11,Complete Defender
44,13,Engine
45,13,Tackling 
46,13,Tactician 
47,13,Strength
48,13,Complete Defender
49,16,Poacher
50,17,Aerial Threat
51,17,Tackling 
52,17,Tactician 
53,17,Complete Defender
54,18,Dribbler
55,18,Clinical Finisher
56,18,Complete Forward
57,19,Tackling 
58,19,Tactician 
59,20,Crosser
60,21,Dribbler
61,21,Playmaker 
62,21,FK Specialist
63,21,Acrobat
64,21,Complete Midfielder
65,23,Speedster
66,23,Dribbler
67,23,Acrobat
68,24,Distance Shooter
69,24,Clinical Finisher
70,25,Tackling 
71,25,Tactician 
72,25,Strength
73,25,Complete Defender
74,26,Dribbler
75,26,Engine
76,26,Distance Shooter
77,26,Acrobat
78,26,Clinical Finisher
79,26,Complete Forward
80,27,Dribbler
81,27,Acrobat
82,28,Playmaker 
83,28,Distance Shooter
84,28,Crosser
85,28,Complete Midfielder
86,30,Dribbler
87,30,Acrobat
88,31,Crosser
89,32,Dribbler
90,32,Engine
91,32,Acrobat
92,33,Engine
93,33,Crosser
94,34,Tackling 
95,34,Tactician 
96,35,Playmaker 
97,35,Engine
98,35,Distance Shooter
99,35,Crosser
100,35,FK Specialist
101,35,Complete Midfielder
102,36,Tackling 
103,36,Tactician 
104,37,Dribbler
105,37,Engine
106,38,Poacher
107,38,Dribbler
108,38,Acrobat
109,38,Clinical Finisher
110,38,Complete Forward
111,40,Clinical Finisher
112,42,Speedster
113,44,Dribbler
114,44,Crosser
115,44,FK Specialist
116,44,Acrobat
117,45,Playmaker 
118,45,Crosser
119,45,Acrobat
120,45,Complete Midfielder
121,46,Distance Shooter
122,46,Clinical Finisher
123,48,Tackling 
124,48,Tactician 
125,48,Strength
126,48,Complete Defender
127,50,Dribbler
128,50,Acrobat
129,50,Clinical Finisher
130,50,Complete Forward
131,51,Engine
132,52,Tackling 
133,52,Tactician 
134,53,Dribbler
135,53,Playmaker 
136,53,Acrobat
137,53,Complete Midfielder
138,54,Dribbler
139,54,Playmaker 
140,54,Strength
141,54,Complete Midfielder
142,56,Engine
143,57,Acrobat
144,58,Engine
145,59,Tackling 
146,59,Tactician 
147,59,Strength
148,59,Complete Defender
149,61,Dribbler
150,61,Playmaker 
151,61,Complete Midfielder
152,62,Aerial Threat
153,62,Tactician 
154,62,Strength
155,63,Speedster
156,63,Dribbler
157,63,Playmaker 
158,63,Acrobat
159,63,Complete Midfielder
160,64,Poacher
161,65,Strength
162,66,Tactician 
163,68,Speedster
164,68,Dribbler
