int_tactic_id,int_team_id,str_defensive_style,int_team_width,int_depth,str_offensive_style,int_width,int_players_in_box,int_corners,int_freekicks
1,1,Press After Possession Loss,6,7,Balanced,7,6,3,3
2,2,Press After Possession Loss,7,8,Possession,6,7,3,3
3,3,Balanced,5,8,Possession,5,6,3,3
4,4,Pressure On Heavy Touch,4,8,Possession,8,7,3,3
5,5,Balanced,6,8,Possession,3,7,3,3
6,6,Pressure On Heavy Touch,5,7,Possession,6,8,3,3
7,7,Pressure On Heavy Touch,6,7,Possession,6,8,3,3
8,8,Pressure On Heavy Touch,6,6,Balanced,4,4,3,3
9,9,Balanced,6,7,Possession,5,6,3,3
10,10,Pressure On Heavy Touch,4,6,Balanced,6,4,3,3
11,11,Drop Back,4,4,Balanced,4,5,3,3
12,12,Balanced,5,7,Balanced,4,7,3,3
13,13,Pressure On Heavy Touch,6,7,Balanced,6,4,3,3
14,14,Balanced,5,4,Balanced,6,5,3,3
15,15,Press After Possession Loss,5,7,Balanced,3,8,3,3
16,16,Balanced,6,6,Long Ball,7,3,3,3
17,17,Balanced,5,6,Balanced,7,8,3,3
18,18,Balanced,5,5,Balanced,6,4,3,3
19,19,Pressure On Heavy Touch,7,7,Balanced,8,8,3,3
20,20,Balanced,6,5,Balanced,6,7,3,3
21,21,Balanced,6,6,Balanced,6,4,3,3
22,22,Press After Possession Loss,7,6,Balanced,6,6,3,3
23,23,Press After Possession Loss,5,7,Balanced,8,8,3,3
24,24,Press After Possession Loss,4,7,Balanced,6,5,3,3
25,25,Balanced,6,7,Balanced,6,8,3,3
26,26,Balanced,5,7,Long Ball,8,3,3,3
27,27,Balanced,4,5,Possession,6,6,3,3
28,28,Pressure On Heavy Touch,4,6,Balanced,5,6,3,3
29,29,Balanced,5,5,Balanced,7,4,3,3
30,30,Balanced,6,8,Balanced,6,4,3,3
31,31,Balanced,7,5,Balanced,8,4,3,3
32,32,Pressure On Heavy Touch,4,6,Balanced,6,7,3,3
33,33,Balanced,6,6,Long Ball,6,6,3,3
34,34,Pressure On Heavy Touch,4,7,Balanced,5,6,3,3
35,35,Press After Possession Loss,6,8,Possession,7,8,3,3
36,36,Balanced,4,4,Balanced,7,4,3,3
37,37,Drop Back,4,3,Long Ball,6,4,3,3
38,38,Press After Possession Loss,6,6,Long Ball,6,6,3,3
39,39,Balanced,5,5,Balanced,5,5,3,3
40,40,Pressure On Heavy Touch,6,6,Balanced,6,6,3,3
41,41,Pressure On Heavy Touch,5,5,Balanced,7,5,3,3
42,42,Pressure On Heavy Touch,4,7,Long Ball,7,3,3,3
43,43,Pressure On Heavy Touch,5,6,Balanced,7,5,3,3
44,44,Press After Possession Loss,7,5,Long Ball,7,5,3,3
45,45,Balanced,4,4,Balanced,4,4,3,3
46,46,Pressure On Heavy Touch,5,5,Balanced,6,5,3,3
47,47,Drop Back,4,5,Long Ball,7,3,3,3
48,48,Balanced,5,4,Balanced,5,4,3,3
49,49,Balanced,4,5,Long Ball,5,4,3,3
50,50,Balanced,6,5,Balanced,7,4,3,3
51,51,Press After Possession Loss,5,5,Balanced,5,4,3,3
52,52,Pressure On Heavy Touch,6,6,Balanced,6,5,3,3
53,53,Pressure On Heavy Touch,4,5,Balanced,4,8,3,3
54,54,Balanced,3,3,Long Ball,5,3,3,3
55,55,Balanced,5,4,Balanced,6,3,3,3
56,56,Balanced,5,5,Balanced,5,3,3,3
57,57,Press After Possession Loss,5,6,Balanced,6,4,3,3
58,58,Press After Possession Loss,6,5,Long Ball,7,6,3,3
59,59,Pressure On Heavy Touch,4,5,Balanced,6,4,3,3
60,60,Pressure On Heavy Touch,7,6,Balanced,6,7,3,3
61,61,Balanced,5,6,Balanced,5,6,3,3
62,62,Pressure On Heavy Touch,7,6,Balanced,4,6,3,3
63,63,Drop Back,5,3,Fast Build Up,7,3,3,3
64,64,Press After Possession Loss,5,8,Long Ball,6,5,3,3
65,65,Drop Back,7,7,Long Ball,6,3,3,3
