club,last_name,first_name,position,base_salary,guaranteed_compensation
NY,Abang,Anatole,F,50000.0,50000.0
KC,Abdul-Salaam,Saad,D,60000.0,73750.0
CHI,Accam,David,F,650000.0,720937.5
DAL,Acosta,Kellyn,M,60000.0,84000.0
VAN,Adekugbe,Samuel,D,60000.0,65000.0
POR,Adi,Fanendo,F,651500.0,664000.0
CLB,Afful,Harrison,D,150000.0,150000.0
NE,Agudelo,Juan,F,400000.0,427500.0
DC,Aguilar,Miguel,M,60000.0,60000.0
DAL,Akindele,Tesho,F,70000.0,87500.0
SJ,Alashe,Fatai,M,60000.0,76250.0
HOU,Alex,,M,142000.0,142000.0
MTL,Alexander,Eric,M,140000.0,153750.0
RSL,Allen,Jordan,M/F,80000.0,90000.0
NYCFC,Allen,RJ,D,60000.0,60000.0
SEA,Alonso,Osvaldo,M,748000.0,789667.0
NE,Alston,Kevin,D,140000.0,158333.33
TOR,Altidore,Jozy,F,4750000.0,4750000.0
COL,Alvarez,Carlos,M,70000.0,70000.0
NYCFC,Alvarez,Pablo,M,60000.0,63045.09
SJ,Amarikwa,Quincy,F,100000.0,100000.0
KC,Anibaba,Jalil,D,120000.0,150000.0
KC,Anor,Bernardo,M,135000.0,135000.0
TOR,Aparicio,Manuel,M,60000.0,60000.0
PHI,Aristeguieta,Fernando,F,350004.0,350004.0
DC,Arnaud,Davy,M,212500.0,212500.0
DC,Arrieta,Jairo,F,150000.0,165000.0
ORL,Ashe,Corey,M,180000.0,189750.0
POR,Asprilla,Dairon,F,60000.0,60000.0
RSL,Attinella,Jeff,GK,60000.0,65083.33
ORL,Avila,Eric,M,72000.0,77000.0
PHI,Ayuk,Eric,M,50000.0,50000.0
SEA,Azira,Michael,D,60000.0,62826.88
COL,Badji,Dominique,F,50000.0,50000.0
NYCFC,Ballouchy,Mehdi,M,68250.0,83250.0
NE,Barnes,Darrius,D,95000.0,101666.67
HOU,Barnes,Giles,M,247500.0,258375.0
PHI,Barnetta,Tranquillo,M,624000.0,661500.0
SJ,Barrera,Leandro,F,60000.0,60000.0
SEA,Barrett,Chad,F,95000.0,100000.0
DAL,Barrios,Michael,M,60000.0,60000.0
CLB,Barson,Chad,D,60000.0,60000.0
HOU,Beasley,DaMarcus,D,750000.0,813333.33
RSL,Beckerman,Kyle,M,625000.0,700000.0
ORL,Bedell,Adam,F,60000.0,60000.0
SEA,Bedinelli,Thomas,M,108000.0,133125.0
VAN,Beitashour,Steven,D,190000.0,197166.67
MTL,Bekker,Kyle,M,61765.0,88015.0
RSL,Beltran,Anthony,D,195000.0,205950.0
TOR,Bendik,Joe,GK,150000.0,157375.0
SJ,Bernardez,Victor,D,200000.0,241600.0
COL,Berner,John,GK,60000.0,60000.0
MTL,Bernier,Patrice,F-M,90000.0,135000.0
PHI,Berry,Austin,D,93519.0,108519.0
KC,Besler,Matt,D,650000.0,683250.0
POR,Besler,Nick,M,65000.0,81250.0
SJ,Bingham,David,GK,130000.0,137750.0
PHI,Bird,Eric,M,60000.0,60000.0
DC,Birnbaum,Steven,D,66000.0,96000.0
MTL,Bitolo,Ambroise,D,100000.0,100000.0
PHI,Blake,Andre,GK,85000.0,123000.0
TOR,Bloom,Mark,D,90000.0,97348.89
ORL,Boden,Luke,D,75000.0,75000.0
HOU,Boniek Garcia,Oscar,F,245000.0,303750.0
TOR,Bono,Alex,GK,60000.0,80200.0
POR,Borchers,Nat,D,235000.0,245000.0
DC,Boswell,Bobby,D,200000.0,200000.0
TOR,Bradley,Michael,M,6000000.0,6500000.0
NYCFC,Brandt,Connor,M,50000.0,50000.0
NYCFC,Brovsky,Jeb,M,122500.0,129125.0
HOU,Bruin,Will,F,140000.0,185000.0
CHI,Bryce,Kingsley,M,50000.0,50000.0
LA,Buddle,Edson,F,100000.0,106250.0
NE,Bunbury,Teal,F,195000.0,240000.0
COL,Burch,Marc,D,110000.0,110000.0
COL,Burling,Bobby,D,132500.0,140000.0
CHI,Busch,Jon,GK,85000.0,90000.0
MTL,Bush,Evan,GK,100000.0,100000.0
VAN,Bustos,Marco,M,50000.0,54850.0
MTL,Cabrera,Victor,D,60000.0,60000.0
NE,Caldwell,Scott,M,60000.0,67500.0
NYCFC,Calle,Javier,M,200000.0,225750.0
COL,Calvert,Caleb,F,65000.0,72500.0
MTL,Camara,Hassoun,D/M,235000.0,246625.0
CLB,Campbell,Sergio,D/M,50000.0,52500.0
VAN,Carducci,Marco,GK,60000.0,60000.0
ORL,Carrasco,Servando,M,80750.0,85375.0
PHI,Carreiro,Fred,M,60000.0,60000.0
PHI,Carroll,Brian,M,150000.0,150000.0
ORL,Cascio,Tony,M,78529.0,112279.0
PHI,Casey,Conor,F,180000.0,180000.0
NY,Castano,Santiago,GK,60000.0,60000.0
DAL,Castillo,Fabian,F,145000.0,160000.0
PHI,Catic,Dzenan,F,60000.0,75000.0
SJ,Cato,Cordell,F,60000.0,60000.0
ORL,Ceren,Darwin,M,66000.0,96437.5
TOR,Chapman,Jay,M,70000.0,88500.0
POR,Chara,Diego,M,170000.0,170000.0
TOR,Cheyrou,Benoit,M,249999.96,259333.29
MTL,Ciman,Laurent,D,370000.0,401666.67
DAL,Cirigliano,Ezequiel,M,124999.92,167999.92
HOU,Clark,Ricardo,M,304000.0,337750.0
CLB,Clark,Steve,GK,170000.0,188333.33
VAN,Clarke,Caleb,F,60000.0,60000.0
HOU,Cochran,AJ,D,60375.0,76375.0
CHI,Cochrane,Greg,D,60000.0,60000.0
CHI,Cocis,Razvan,M,220000.0,226666.67
ORL,Collin,Aurelien,D,500000.0,525000.0
MTL,Cooper,Kenny,F,220000.0,285625.0
DC,Coria,Facundo,M,60000.0,70375.0
SEA,Correa,Andres,D,60000.0,68166.67
DAL,Craft,Coy,F,60000.0,77083.33
SEA,Craven,Andy,F,60000.0,60000.0
PHI,Creavalle,Warren,D,108500.0,119000.0
MTL,Crepeau,Maxime,GK,60000.0,60000.0
COL,Cronin,Sam,M,200000.0,202500.0
PHI,Cruz,Danny,M,125000.0,131666.67
CHI,Cyrus,Daneil,D,72000.0,77833.33
NE,Davies,Charlie,F,78750.0,82759.53
HOU,Davis,Brad,M,400000.0,445500.0
NY,Davis,Sean,M,80000.0,97500.0
KC,de Jong,Marcel,D,180000.0,191500.0
VAN,Dean,Christian,D,95000.0,176000.0
LA,DeLaGarza,AJ,D,200000.0,202500.0
DC,DeLeon,Nick,M,116259.0,151259.0
TOR,Delgado,Marco,M,80000.0,82500.0
SEA,Dempsey,Clint,F,3913008.0,4605941.5
HOU,Deric,Tyler,GK,105000.0,112666.67
KC,Dia,Amadou,D,50000.0,50000.0
DAL,Diaz,Mauro,M,364000.0,442400.0
,Dike,Bright,F,60638.0,64388.0
NYCFC,Diskerud,Mix,M,750000.0,750000.0
MTL,Donadel,Marco,M,190003.92,226670.59
ORL,Donovan,Conor,D,80000.0,108000.0
CHI,Doody,Patrick,D,50000.0,50000.0
NE,Dorman,Andy,M,145000.0,145000.0
LA,Dos Santos,Giovani,M,4000008.0,5750008.0
DC,Doyle,Conor,F,60000.0,61250.0
COL,Doyle,Kevin,F,1125000.0,1170000.0
MTL,Drogba,Didier,F,1666668.0,2166668.0
MTL,Duka,Dilaver,M,175000.0,200000.0
LA,Dunivant,Todd,D,185000.0,205750.0
NY,Duvall,Chris,D,60000.0,60000.0
KC,Dwyer,Dom,F,400000.0,518750.0
DC,Dykstra,Andrew,GK,60000.0,60000.0
DAL,Earle,Otis,D,60000.0,77125.0
VAN,Earnshaw,Robert,F,100000.0,100000.0
PHI,Edu,Maurice,M,700000.0,768750.0
ORL,Edwards,Earl,GK,50000.0,50000.0
KC,Ellis,Kevin,D,60000.0,63150.0
COL,Eloundou,Charles,F,60000.0,65000.0
SJ,Emeghara,Innocent,F,988000.0,1300000.0
DAL,Escobar,Rolando,M,180000.0,185000.0
DC,Espindola,Fabian,F,175000.0,175000.0
KC,Espinoza,Roger,M,750000.0,750000.0
SEA,Evans,Brad,F,276665.0,302666.25
PHI,Fabinho,Fabinho,D,114000.0,118500.0
NYCFC,Facey,Shay,D,120000.0,120000.0
NE,Fagundez,Diego,F,125000.0,152200.0
DC,Farfan,Michael,M,120000.0,120000.0
NE,Farrell,Andrew,D,117500.0,198500.0
KC,Feilhaber,Benny,M,350000.0,362187.5
PHI,Fernandes,Leo,M,60000.0,60000.0
CHI,Fernandez,Collin,M,65000.0,67000.0
RSL,Fernandez,Eduardo,GK,60000.0,60000.0
COL,Figueroa,Maynor,D,99996.0,99996.0
CHI,Filho,Adailton,D,200000.0,244500.0
TOR,Findley,Robbie,F,225000.0,255500.0
CLB,Finlay,Ethan,F,135000.0,142500.0
SEA,Fisher,Oniel,D,50000.0,50000.0
VAN,Flores,Deybi,M,60000.0,60000.0
POR,Fochive,George,M,50000.0,50000.0
ORL,Ford,Josh,GK,60000.0,60000.0
SJ,Francis,Shaun,D,60000.0,62940.32
CLB,Francis,Waylon,D,144000.0,170166.67
DC,Franklin,Sean,D,202500.0,234166.67
SEA,Frei,Stefan,GK,165000.0,165000.0
SEA,Friberg,Erik,M,180000.0,202500.0
VAN,Froese,Kianz,M-F,60000.0,64500.0
SJ,Fucito,Michael,MF,60638.0,63527.8
PHI,Gaddis,Raymon,D,130000.0,132500.0
MTL,Gagnon-Lapare,Jeremy,M,60000.0,64000.0
CLB,Gall,Romain,M,60000.0,63420.08
DAL,Garcia,Danny,M,70000.0,86000.0
RSL,Garcia,Olmes,F,130000.0,130000.0
LA,Garcia,Rafael,M,60000.0,60000.0
LA,Gargan,Dan,D,125000.0,125000.0
HOU,Garrido,Luis,M,150000.0,150000.0
CHI,Gehrig,Eric,M,95000.0,100833.33
CLB,George,Kevan,M,60000.0,60000.0
LA,Gerrard,Steven,M,6200004.0,6332504.0
RSL,Gil,Luis,M,240000.0,335083.33
TOR,Giovinco,Sebastian,M,5600000.0,7115555.67
RSL,Glad,Justen,D,60000.0,71000.0
POR,Gleeson,Jake,GK,72600.0,72600.0
SJ,Godoy,Anibal,M,204000.0,204000.0
TOR,Gomez,Herculez,F,240000.0,261000.0
SJ,Gomez,Tomas,GK,50000.0,50000.0
TOR,Goncalves,Jackson,D,165000.0,192500.0
NE,Goncalves,Jose,D,450000.0,479375.0
DAL,Gonzalez,Jesse,GK,60000.0,69375.0
SEA,Gonzalez,Leonardo,D,165000.0,165000.0
LA,Gonzalez,Omar,D,1200000.0,1450000.0
SJ,Goodson,Clarence,D,315000.0,342000.0
LA,Gordon,Alan,F,175000.0,175000.0
NYCFC,Grabavoy,Ned,M,200000.0,215000.0
