club,last_name,first_name,position,base_salary,guaranteed_compensation
NE,Albright,Chris,D,176000.0,176000.0
RSL,Alexandre,Jean,M,34000.0,34000.0
DC,Allen,Ely,F-M,15300.0,15300.0
SEA,Alonso,Osvaldo,M,65000.0,65000.0
NE,Alston,Kevin,D,55000.0,104000.0
SJ,Alvarez,Arturo,M-F,174750.0,184087.5
SJ,Amarikwa,Quincy,F,34000.0,34000.0
NY,Angel,Juan Pablo,F,1500000.0,1798000.0
KC,Arnaud,Davy,M,220000.0,228750.0
HOU,Ashe,Corey,M,34650.0,34650.0
TFC,Attakora-Gyan,Nana,D,34000.0,34000.0
DAL,Avila,Eric,M,70000.0,103000.0
NE,Badilla,Gabriel,D,138000.0,138000.0
COL,Ballouchy,Mehdi,M,100000.0,118000.0
CHI,Banner,Michael,D,34000.0,34000.0
DC,Barklage,Brandon,M-F,20100.0,20100.0
NE,Barnes,Darrius,D,34008.0,34008.0
HOU,Barrett,Wade,D,154000.0,156500.0
TFC,Barrett,Chad,F,195000.0,202500.0
COL,Baudet,Julien,D,156000.0,169750.0
RSL,Beckerman,Kyle,M,160650.0,163150.0
LA,Beckham,David,M,5500000.08,6500000.04
RSL,Beltran,Anthony,D,70000.0,105500.0
Pool,Benitez,Miguel,GK,34000.0,34000.0
DAL,Benitez,Jair,D,36000.0,36000.0
LA,Berhalter,Gregg,D,144000.0,162750.0
KC,Besler,Matt,D,36000.0,47250.0
LA,Birchall,Chris,M,84000.0,97125.0
CHI,Blanco,Cuauhtemoc,M,2769240.0,2943702.0
RSL,Borchers,Nat,D,130000.0,137500.0
NY,Borman,Danleigh,D-M,20100.0,20100.0
CHV,Bornstein,Jonathan,D,90000.0,90000.0
SEA,Boss,Terry,GK,36000.0,38500.0
HOU,Boswell,Robert,D,150000.0,150000.0
LA,Bowen,Tristan,F,65000.0,96363.63
NY,Boyens,Andrew,D,49550.0,52050.0
CHV,Braun,Justin,F,20100.0,20100.0
TFC,Brennan,Jim,D,185000.0,193250.0
SEA,Brown,Evan,D,20100.0,20100.0
CHI,Brown,C.J.,D,91200.0,96000.0
CLB,Brunner,Eric,D,34008.0,34008.0
LA,Buddle,Edson,F,169950.0,179950.0
DC,Burch,Marc,D,60000.0,62500.0
SJ,Burling,Bobby,D,34000.0,34000.0
CLB,Burns,Kevin,M,20100.0,20100.0
COL,Burpo,Preston,GK,57871.99,57871.99
DAL,Burse,Ray,GK,34650.0,34650.0
CHI,Busch,Jon,GK,135000.0,136350.0
HOU,Cameron,Geoff,M,34650.0,34650.0
RSL,Campos,Pablo,F,65000.0,69846.72
SJ,Cannon,Joe,GK,180500.0,190756.25
CHI,Carr,Calen,F,58410.0,70910.0
DC,Carreiro,Fred,M-F,225000.0,257000.0
CLB,Carroll,Brian,M,133875.0,137625.0
COL,Casey,Conor,F,200000.0,200000.0
NE,Castro,Mauricio,M,120000.0,126250.0
NY,Celades,Albert,M,100000.0,125625.0
NY,Cepero,Daniel,GK,34000.0,34000.0
COL,Ceus,Steward,GK,20100.0,20100.0
HOU,Chabala,Michael,M,34000.0,34000.0
DAL,Chavez,Marvin,M,60000.0,70000.0
CHV,Chijindu,Chukwudi,M,20100.0,20100.0
HOU,Ching,Brian,F,242550.0,242550.0
NY,Chirgadze,Giorgi,F,20100.0,20100.0
COL,Clark,Colin,M,85000.0,90000.0
HOU,Clark,Ricardo,M,248050.0,248050.0
HOU,Cochrane,Ryan,D,145000.0,146250.0
NE,Colaluca,Nico,M,75000.0,108000.0
CHI,Conde,Wilman,D,168000.0,188000.0
KC,Conrad,Jimmy,D,213750.0,225000.0
SJ,Convey,Bobby,M,222000.0,244500.0
CHV,Conway,Jon,GK,36000.0,42125.0
SJ,Corrales,Ramiro,M,190000.0,202500.0
NY,Coundoul,Bouna,GK,123999.96,125249.96
RSL,Cox,Raphael,D,20100.0,20100.0
