club,last_name,first_name,position,base_salary,guaranteed_compensation
DAL,Acosta,Kellyn,M,55000.0,79000.0
VAN,Adekugbe,Samuel,D,50000.0,55000.0
POR,Adi,Fanendo,F,580800.0,593300.0
COL,Agbossoumonde,Gale,D,48825.0,55491.67
DAL,Akindele,Tesho,F,48500.0,48500.0
NE,Akpan,Andre,F,48500.0,51333.33
VAN,Alderson,Bryce,M,100000.0,115000.0
CHI,Alex,,M,123750.0,133700.0
NY,Alexander,Eric,M,115000.0,128750.0
POR,Alhassan,Kalif,M,120000.0,120000.0
RSL,Allen,Jordan,M/F,80000.0,90000.0
SEA,Alonso,Osvaldo,M,400000.0,400000.0
NE,Alston,Kevin,D,125000.0,143333.33
COL,Alvarez,Carlos,M,73150.0,108150.0
ORL,Alvarez,Yordany,M,48500.0,56000.0
CHI,Amarikwa,Quincy,F,60000.0,60000.0
CHI,Anangono,Juan Luis,F,175000.0,175000.0
SEA,Anibaba,Jalil,D,119620.0,159620.0
CLB,Anor,Bernardo,M,48825.0,48825.0
SEA,Apam,Onyekachi,D,60000.0,60000.0
TOR,Aparicio,Manuel,M,36504.0,36504.0
HOU,Arena,Anthony,D,36504.0,36504.0
COL,Armstrong,David,M,36504.0,36504.0
DC,Arnaud,Davy,M,212500.0,212500.0
CLB,Arrieta,Jairo,F,135000.0,135000.0
HOU,Ashe,Corey,M,165000.0,174750.0
DC,Attakora,Nana,D,62500.0,65575.52
RSL,Attinella,Jeff,GK,48825.0,48825.0
CHV,Avila,Eric,M,115000.0,135000.0
SEA,Azira,Michael,D,48504.0,51147.54
CLB,Baiden,Kingsley,M,36504.0,36504.0
RSL,Balchan,Rich,D,48500.0,48500.0
VAN,Ballouchy,Mehdi,M,65000.0,65000.0
SJ,Barklage,Brandon,M,65000.0,68415.21
NE,Barnes,Darrius,D,80000.0,86666.67
HOU,Barnes,Giles,M,230000.0,241158.33
CHV,Barrera,Leandro,F,50000.0,50000.0
SEA,Barrett,Chad,F,80000.0,85000.0
CLB,Barson,Chad,D,48825.0,48825.0
HOU,Beasley,DaMarcus,D,750000.0,779166.67
RSL,Beckerman,Kyle,M,350000.0,378750.0
CLB,Bedell,Adam,F,36504.0,36504.0
VAN,Beitashour,Steven,D,170000.0,177166.67
TOR,Bekker,Kyle,M,51150.0,77400.0
MTL,Beland-Goyette,Louis,M,36504.0,36504.0
RSL,Beltran,Anthony,D,186450.0,186450.0
TOR,Bendik,Joe,GK,140000.0,147375.0
NE,Bengtson,Jerry,F,144000.0,144000.0
DAL,Benitez,Jair,D,97875.0,97875.0
SJ,Bernardez,Victor,D,100008.0,141608.0
COL,Berner,John,GK,36500.0,36500.0
MTL,Bernier,Patrice,F-M,165000.0,205000.0
PHI,Berry,Austin,D,86994.0,101994.0
KC,Besler,Matt,D,600000.0,633250.0
KC,Bieler,Claudio,F,225000.0,225000.0
SJ,Bingham,David,GK,85910.0,130285.0
DC,Birnbaum,Steven,D,55000.0,85000.0
MTL,Bissue,James,F,48500.0,48500.0
NY,Bitolo,Ambroise,D,36500.0,36500.0
PHI,Blake,Andre,GK,75000.0,113000.0
TOR,Bloom,Mark,D,48825.0,48825.0
CHV,Bocanegra,Carlos,D,300000.0,333333.33
CHV,Bolanos,Luis,F,48504.0,48504.0
PHI,Bone,Corben,M,48825.0,51325.0
HOU,Boniek Garcia,Oscar,F,199992.0,258742.0
RSL,Borchers,Nat,D,225000.0,236968.75
