club,last_name,first_name,position,base_salary,guaranteed_compensation
COL,Ababio,Eddie,D,32604.0,32604.0
PHI,Adu,Freddy,M,475884.0,594884.0
RSL,Agorsor,Christopher,F,32604.0,32604.0
NY,Agudelo,Juan,F,55000.0,85000.0
KC,Aiyegbusi,Olukorede,D,42000.0,42000.0
VAN,Akloul,Mouloud,D,150000.0,150000.0
COL,Akpan,Andre,F,48000.0,48000.0
NY,Albright,Chris,D,100800.0,104133.33
POR,Alexander,Eric,M,46750.0,46750.0
RSL,Alexandre,Jean,M,42000.0,42000.0
POR,Alhassan,Kalif,M,60000.0,69250.0
SEA,Alonso,Osvaldo,M,140000.0,140000.0
NE,Alston,Kevin,D,100000.0,149000.0
LA,Alvarado,Sean,D,32604.0,32604.0
RSL,Alvarez,Arturo,M-F,192585.0,201922.5
COL,Amarikwa,Quincy,F,42000.0,42000.0
SJ,Ampaipitakwong,Anthony,M,32600.04,32600.04
CHV,Angel,Juan Pablo,F,1000000.0,1250000.0
CHI,Anibaba,Jalil,D,42000.0,82000.0
CLB,Anor,Bernardo,M,42000.0,42000.0
RSL,Araujo Jr.,Paulo,F,42000.0,42000.0
CHV,Arias,Sergio,GK,45000.0,45000.0
COL,Armstrong,David,M,42000.0,51464.29
KC,Arnaud,Davy,M,250000.0,258750.0
RSL,Arnoux,Cody,F,65400.0,71650.0
HOU,Ashe,Corey,M,80000.0,84500.0
SJ,Attakora-Gyan,Nana,D,45000.0,45000.0
NY,Auvray,Stephane,M,60000.0,80000.0
TFC,Avila,Eric,M,100000.0,133000.0
SJ,Baca,Rafael,M,32600.0,32600.0
CLB,Balchan,Rich,D,42000.0,58875.0
NY,Ballouchy,Mehdi,M,125625.0,125625.0
CHI,Banner,Michael,D,42000.0,42000.0
DC,Barklage,Brandon,M,42000.0,43566.67
NE,Barnes,Darrius,D,60500.0,61750.0
CHI,Barouch,Orr,F,32600.0,32600.0
LA,Barrett,Chad,F,192000.0,225333.33
RSL,Beckerman,Kyle,M,219996.0,231246.0
LA,Beckham,David,M,5500000.08,6500000.04
SJ,Beitashour,Steven,D,42000.0,42000.0
RSL,Beltran,Anthony,D,100000.0,135500.0
DAL,Benitez,Jair,D,150000.0,171250.0
LA,Berhalter,Gregg,D,96000.0,96000.0
KC,Besler,Matt,D,58410.0,69660.0
SJ,Bingham,David,GK,60000.0,99500.0
LA,Birchall,Chris,M,144000.0,157125.0
NE,Boggs,Zak,F-M,42000.0,42000.0
CHI,Bone,Corben,M,90000.0,151200.0
RSL,Borchers,Nat,D,159996.0,169058.5
TFC,Borman,Danleigh,M,42000.0,42000.0
DC,Boskovic,Branko,M,389166.67,525366.67
SEA,Boss,Terry,GK,42000.0,44500.0
HOU,Boswell,Bobby,D,210000.0,210000.0
TFC,Bouchiba,Elbekay,M,92004.0,92004.0
CHV,Bowen,Tristan,F,75000.0,106363.63
VAN,Boxall,Michael,D,42000.0,42000.0
CHV,Boyens,Andrew,D,60000.0,60000.0
CHV,Braun,Justin,F,85000.0,87500.0
POR,Braun,Frederick,M,32600.04,32600.04
KC,Bravo,Omar,F,120000.0,170000.0
DC,Brettschneider,Blake,F,42000.0,42000.0
VAN,Brovsky,Jeb,M,42000.0,42000.0
POR,Brown,Adin,GK,72000.0,76000.0
HOU,Bruin,Will,F,80000.0,125000.0
POR,Brunner,Eric,D,70000.0,74250.0
KC,Bunbury,Teal,F,85000.0,183000.0
DC,Burch,Marc,D,95000.0,97500.0
SJ,Burling,Bobby,D,42000.0,42000.0
CLB,Burns,Kevin,M,42000.0,42000.0
SJ,Busch,Jon,GK,145000.0,151800.0
PHI,Califf,Danny,D,250000.0,250000.0
HOU,Camargo,Luiz,M,168000.0,178000.0
HOU,Cameron,Geoff,M,220000.0,245000.0
TFC,Cann,Adrian,D,123996.0,132746.0
VAN,Cannon,Joe,GK,199500.0,209756.25
NE,Caraglio,Milton,F,54000.0,54000.0
LA,Cardozo,Paolo,M,42000.0,53250.0
HOU,Carr,Calen,F,74813.0,79063.0
SEA,Carrasco,Servando,M,42000.0,42000.0
PHI,Carroll,Brian,M,160000.0,160000.0
COL,Casey,Conor,F,400000.0,400000.0
DAL,Castillo,Fabian,F,42000.0,42000.0
KC,Cesar,Julio,D,210000.0,213750.0
COL,Ceus,Steward,GK,42000.0,42000.0
POR,Chabala,Michael,M,67500.0,75833.33
POR,Chara,Diego,M,100008.0,143758.0
CHI,Chaves,Diego,F,45000.0,45000.0
DAL,Chavez,Marvin,M,50000.0,50000.0
CHV,Chijindu,Chukwudi,M,42000.0,42000.0
HOU,Ching,Brian,F,375000.0,412500.0
NY,Chirgadze,Giorgi,F,42000.0,42000.0
VAN,Chiumiento,Davide,M/F,280000.0,280000.0
HOU,Clark,Colin,M,93713.0,98713.0
NE,Cochrane,Ryan,D,70000.0,71666.67
KC,Collin,Aurelien,D,185004.0,191254.0
COL,Comminges,Miguel,D,42000.0,42000.0
SJ,Convey,Bobby,M,313500.0,336000.0
CHI,Conway,Jon,GK,70000.0,79833.33
POR,Cooper,Kenny,F,250000.0,267500.0
TFC,Cordon,Oscar,M,32604.0,32604.0
NE,Coria,Franco,D,100000.0,105000.0
SJ,Corrales,Ramiro,M,165000.0,175625.0
CHV,Cortez,Chris,F,32604.0,32604.0
HOU,Costly,Carlo,F,335000.04,425583.37
NY,Coundoul,Bouna,GK,178250.0,179500.0
CHV,Courtois,Laurent,M,60000.0,206000.0
LA,Cristman,Adam,F,42000.0,42000.0
DC,Cronin,Steve,GK,72000.0,72000.0
SJ,Cronin,Sam,M,63250.0,111250.0
DAL,Cruz,Daniel,M,90000.0,106250.0
HOU,Cruz,Danny,M,80000.0,123000.0
CHI,Cuesta,Yamith,D,72000.0,82000.0
COL,Cummings,Omar,F,80438.0,89188.0
CLB,Cunningham,Jeffrey,F,140000.0,152500.0
KC,Cyrus,Daneil,D,42000.0,44991.56
DC,Da Luz,Austin,M,44000.0,82375.0
PHI,Daniel,Keon,M,42000.0,46410.0
POR,Danso,Mamdou,D,75000.0,75000.0
DC,Davies,Charlie,F,184620.0,244870.0
LA,Davies,Kyle,D,50004.0,52566.5
VAN,Davies,Philippe,M,32600.0,32600.0
HOU,Davis,Brad,M,235000.0,278062.5
SJ,Dawkins,Simon,M,60000.0,60000.0
TFC,de Guzman,Julian,M,1863996.0,1910746.0
CHV,De La Fuente,Bryan,M,50400.0,52200.0
LA,DeLaGarza,AJ,D,55100.0,77600.0
VAN,Demerit,Jay,D,300000.0,350000.0
HOU,Deric,Tyler,GK,42000.0,42000.0
DC,DeRosario,Dwayne,M,425000.0,493750.0
POR,Dike,Bright,F,42000.0,44937.5
KC,Diop,Ibrahim,M,60000.0,64250.0
HOU,Dixon,Alex,M,45000.0,50000.0
LA,Donovan,Landon,F,2300000.0,2300000.0
NE,Dube,Kheli,F,90000.0,99000.0
VAN,Duckett,Bilal,D,32600.0,32600.0
CHI,Dufty,Alec,GK,32600.04,32600.04
CLB,Duka,Dilaver,M,90000.0,223000.0
TFC,Dunfield,Terry,M,65000.0,65000.0
LA,Dunivant,Todd,D,135000.0,141750.0
COL,Earls,Danny,D,32604.0,32604.0
TFC,Eckersley,Richard,D,75000.0,90000.0
DAL,Edward,Edson,D,42000.0,42000.0
CLB,Ekpo,Emmanuel,M,200000.0,222250.0
CHV,Elliot,Simon,M,75000.0,79000.0
