club,last_name,first_name,position,base_salary,guaranteed_compensation
CHI,Armas,Chris,M,225000.0,225000.0
CHI,Banner,Michael,M,12900.0,12900.0
CHI,Barrett,Chad,F,41212.5,48712.5
CHI,Blanco,Cuauhtemoc,F,2492316.0,2666778.0
CHI,Brown,C.J.,D,106391.0,106391.0
CHI,Busch,Jon,GK,58008.0,58008.0
CHI,Carr,Calen,F,38000.0,50500.0
CHI,Conde,Wilman,D,144000.0,151500.0
CHI,Correa,Thiago,M,44100.0,44100.0
CHI,Curtin,Jeff,D,12900.0,12900.0
CHI,Curtin,Jim,D,120750.0,120750.0
CHI,Franks,Floyd,M,17700.0,17700.0
CHI,Guerrero,Ivan,D-M,160000.0,187500.0
CHI,Gutierrez,Diego,M,126500.0,126500.0
CHI,Mapp,Justin,M,130000.0,136000.0
CHI,Marques,Bruno,M,12900.0,12900.0
CHI,Monteiro,Jerson,F,17700.0,17700.0
CHI,Noble,Nick,GK,12900.0,12900.0
CHI,Pause,Logan,M,69300.0,69300.0
CHI,Pickens,Matt,GK,32340.0,32340.0
CHI,Plotkin,Brian,M,30000.0,30000.0
CHI,Robinson,Dasan,D,42500.0,42500.0
CHI,Rolfe,Chris,F,70000.0,74700.0
CHI,Russolillo,Jordan,D,12900.0,12900.0
CHI,Segares,Gonzalo,D,48300.0,50800.0
CHI,Soumare,Bakary,D,45000.0,78000.0
CHI,Telesford,Osei,D,36000.0,36625.0
CHI,Wanchope,Paulo,F,240000.0,267500.0
CHI,Woolard,Daniel,D,12900.0,12900.0
CHV,Arvizu,David,F,33000.0,40500.0
CHV,Bornstein,Jonathan,D,57500.0,57500.0
CHV,Brooks,Desmond,D,12900.0,12900.0
CHV,Burling,Bobby,F-D,12900.0,12900.0
CHV,Burpo,Preston,GK,52491.6,52491.6
CHV,Cunliffe,John,F,30000.0,45000.0
CHV,Flores,Jorge,M,12900.0,13275.0
CHV,Galindo,Maykel,F,72500.0,72500.0
CHV,Guzan,Brad,GK,52237.5,67237.5
CHV,Hamilton,Anthony,F,17700.0,17700.0
CHV,Hernandez,Jason,D,45000.0,45625.0
CHV,Kljestan,Sacha,M,70000.0,103000.0
CHV,Llamosa,Carlos,D,84000.0,84000.0
CHV,Lopez,Rodrigo,M,17700.0,17700.0
CHV,Marsch,Jesse,M,100000.0,109375.0
CHV,Mendoza,Francisco,M,90000.0,93750.0
CHV,Merlin,Laurent,M,60000.0,60000.0
CHV,Myers,Justin,GK,12900.0,12900.0
CHV,Nagamura,Paulo,M,89250.0,89250.0
CHV,Nunez,Ramon,M,100000.0,118000.0
CHV,Perez,Orlando,D,70000.0,70000.0
CHV,Razov,Ante,F,245000.0,248750.0
CHV,Robles,Eder,D,12900.0,12900.0
CHV,Solorzano,Erasmo,M,12900.0,12900.0
CHV,Suarez,Claudio,D,146991.6,146991.6
CHV,Thomas,Shavar,D,70000.0,73750.0
CHV,Vaughn,Lawson,D,30000.0,30000.0
CHV,Zotinca,Alex,D,67500.0,68750.0
CLB,Evans,Brad,F,17700.0,17700.0
CLB,Garey,Jason,F,41250.0,53750.0
CLB,Gaudette,Bill,GK,30000.0,30000.0
CLB,Gaven,Eddie,M,165000.0,188000.0
CLB,Gonzalez,Marcos,D,156000.0,162250.0
CLB,Grabavoy,Ned,M,45050.25,52550.25
CLB,Gruenebaum,Andy,GK,17700.0,17700.0
CLB,Hejduk,Frankie,D,150000.0,175000.0
CLB,Hendrickson,Ezra,D-M,76650.0,77900.0
CLB,Herron,Andy,F,140000.0,148750.0
CLB,Hesmer,William,GK,30870.0,30870.0
CLB,Hunter,Ben,F,12900.0,12900.0
CLB,Junge,Ryan,D,12900.0,12900.0
CLB,Kamara,Kei,F,33000.0,43000.0
CLB,Marshall,Chad,D,100000.0,123000.0
CLB,Miglioranzi,Stefani,M,70008.0,86258.0
