club,last_name,first_name,position,base_salary,guaranteed_compensation
LA,Adzemian,Vardan,D,12900.0,12900.0
LA,Alamo,Charles,GK,12900.0,12900.0
NE,Albright,Chris,D,160000.0,160000.0
HOU,Alcaraz,Johnny,M,12900.0,12900.0
LA,Allen,Ely,F,12900.0,12900.0
SJ,Alvarez,Arturo,M,166250.0,175587.5
NY,Angel,Juan Pablo,F,1500000.0,1593750.0
Pool,Angulo,Jose,F,12900.0,12900.0
SJ,Arce,Miguel,F,12900.0,12900.0
KC,Arnaud,Davy,M,105000.0,106875.0
HOU,Ashe,Corey,M,33000.0,33000.0
TFC,Attakora-Gyan,Nana,D,12900.0,12900.0
DAL,Avila,Eric,M,45000.0,78000.0
SJ,Ayres,Jay,D,17700.0,17700.0
NE,Badilla,Gabriel,D,138000.0,138000.0
COL,Ballouchy,Mehdi,M,75000.0,93000.0
CHI,Banner,Michael,D,12900.0,12900.0
LA,Barlow,Jeremy,D,12900.0,12900.0
TFC,Barrett,Chad,F,53773.13,61273.13
HOU,Barrett,Wade,D,148838.0,148838.0
RSL,Beckerman,Kyle,M,143000.0,145500.0
LA,Beckham,David,M,5500000.08,6500000.04
RSL,Beltran,Anthony,D,55000.0,90500.0
RSL,Besagno,Nikolas,D,100000.0,136500.0
CHI,Blanco,Cuauhtemoc,M,2492316.0,2666778.0
LA,Bolkan,Scott,M,12900.0,12900.0
RSL,Borchers,Nat,D,120000.0,127500.0
NY,Borman,Danleigh,M,17700.0,17700.0
CHV,Bornstein,Jonathan,D,77500.0,77500.0
NY,Boss,Terry,GK,33000.0,35500.0
HOU,Boswell,Robert,D,33000.0,33000.0
LA,Bowen,Tristan,F,45000.0,76363.63
NY,Boyens,Andrew,D,41250.0,43750.0
CHV,Braun,Justin,F,12900.0,12900.0
TFC,Brennan,Jim,D,175000.0,183250.0
NE,Brill,Sam,D,12900.0,12900.0
CHI,Brown,C.J.,D,111711.0,111711.0
HOU,Brown,Kyle,F,33000.0,33000.0
LA,Buddle,Edson,F,147000.0,157000.0
DC,Burch,Marc,D,33000.0,33000.0
COL,Burciaga,Jose,D,80000.0,82500.0
CHV,Burling,Bobby,D,17700.0,17700.0
CLB,Burns,Kevin,M,12900.0,12900.0
COL,Burpo,Preston,GK,55116.18,55116.18
DAL,Burse,Ray,GK,33000.0,33000.0
CHI,Busch,Jon,GK,80000.0,81250.0
HOU,Caig,Tony,GK,52596.0,52596.0
HOU,Cameron,Geoff,M,33000.0,33000.0
SJ,Cannon,Joe,GK,213000.0,213000.0
CHI,Carr,Calen,F,50600.0,63100.0
DC,Carreiro da Silva,Fred,M,210000.0,242000.0
CLB,Carroll,Brian,M,122500.0,126250.0
DC,Carroll,Jeff,D,12900.0,12900.0
DC,Carroll,Pat,D,12900.0,12900.0
COL,Casey,Conor,F,190008.0,190008.0
NE,Castro,Mauricio,M,90000.0,96250.0
NY,Cepero,Daniel,GK,12900.0,12900.0
HOU,Chabala,Michael,M,17700.0,17700.0
CHV,Chiles,Kraig,M,12900.0,12900.0
HOU,Ching,Brian,F,231000.0,231000.0
NY,Cichero,Gabriel,D,156000.0,157500.0
COL,Clark,Colin,M,33000.0,33000.0
HOU,Clark,Ricardo,M,225500.0,225500.0
SJ,Cochrane,Ryan,D,132000.0,133250.0
COL,Colaluca,Nico,M,70000.0,103000.0
CHI,Conde,Wilman,D,156000.0,163500.0
KC,Conrad,Jimmy,D,213750.0,225000.0
NY,Conway,Jon,GK,115000.0,115000.0
COL,Cooke,Terry,M,167500.0,172500.0
DAL,Cooper,Kenny,F,80000.0,83000.0
DC,Cordeiro,Ryan,M,17700.0,17700.0
SJ,Corrales,Ramiro,M,190000.0,202500.0
COL,Coundoul,Bouna,GK,33000.0,33000.0
DC,Crayton,Louis,GK,168000.0,175857.14
NE,Cristman,Adam,F,33000.0,33000.0
LA,Cronin,Steve,GK,75000.0,75000.0
COL,Cummings,Omar,F,33000.0,33000.0
SJ,Cunliffe,John,F,35500.0,50500.0
DAL,Cunningham,Jeffrey,F,245000.0,257500.0
CHV,Curtin,Jim,D,104004.0,104004.0
RSL,Cutler,Kenny,M,36000.0,36000.0
COL,Dalby,Greg,M,33000.0,33000.0
DAL,Daniels,Andrew,D,33000.0,33000.0
DAL,Davino,Dulio,D,400000.0,400000.0
HOU,Davis,Brad,M,126000.0,126000.0
DAL,Dello-Russo,Michael,D,33000.0,33000.0
SJ,Denton,Eric,D,55200.0,55200.0
HOU,DeRosario,Dwayne,M,324999.96,324999.96
RSL,Deuchar,Kenny,F,135000.0,145000.0
TFC,Dichio,Daniel,F,157500.0,165625.0
COL,DiRaimondo,John,M,17700.0,17700.0
DC,Doe,Francis,F,33000.0,40500.0
LA,Dominguez,Eduardo,D,192000.0,192000.0
LA,Donovan,Landon,F,900000.0,900000.0
