club,last_name,first_name,position,base_salary,guaranteed_compensation
PHI,Adu,Freddy,M,400000.0,519000.0
CHV,Agudelo,Juan,F,70000.0,100000.0
KC,Aiyegbusi,Olukorede,D,44100.0,44100.0
COL,Akpan,Andre,F,57200.0,57200.0
PHI,Albright,Chris,D,55000.0,55000.0
VAN,Alderson,Bryce,M,60000.0,75000.0
CHI,Alex,,M,96000.0,105950.0
POR,Alexander,Eric,M,56925.0,56925.0
SJ,Alexandre,Jean,M,44100.0,44100.0
POR,Alhassan,Kalif,M,70000.0,79250.0
SEA,Alonso,Osvaldo,M,185000.0,185000.0
NE,Alston,Kevin,D,120000.0,169000.0
RSL,Alvarez,Yordany,M,44100.0,44100.0
TOR,Amarikwa,Quincy,F,44100.0,44100.0
SJ,Ampaipitakwong,Anthony,M,44000.0,44000.0
CHV,Angel,Juan Pablo,F,350000.0,600000.0
POOL,Angevine,Scott,GK,33756.0,33756.0
NY,Angulo,Jose,F,33750.0,33750.0
CHI,Anibaba,Jalil,D,65450.0,105450.0
CLB,Anor,Bernardo,M,44100.0,44100.0
RSL,Araujo Jr.,Paulo,F,65000.0,65000.0
MTL,Arguez,Bryan,D/M,65000.0,65000.0
COL,Armstrong,David,M,44100.0,53564.29
MTL,Arnaud,Davy,M,275000.0,290000.0
CLB,Arrieta,Jairo,F,216000.0,225375.0
NY,Arteaga,Jhonny,F,44000.0,44000.0
HOU,Ashe,Corey,M,90000.0,94500.0
DC,Augusto,Raphael,M,44004.0,44004.0
TOR,Avila,Eric,M,125000.0,158000.0
SJ,Baca,Rafael,M,44000.0,44000.0
CLB,Balchan,Rich,D,51700.0,68575.0
SJ,Ballouchy,Mehdi,M,138188.0,138188.0
VAN,Barbara,Etienne,F,87500.0,87500.0
NY,Barklage,Brandon,M,44000.0,45566.67
NE,Barnes,Darrius,D,68063.0,69313.0
HOU,Barnes,Giles,M,120000.0,132750.0
CHI,Barouch,Orr,F,44000.0,44000.0
LA,Barrett,Chad,F,220000.0,253333.33
RSL,Beckerman,Kyle,M,300000.0,311250.0
LA,Beckham,David,M,3000000.0,3999999.96
SJ,Beitashour,Steven,D,44100.0,44100.0
RSL,Beltran,Anthony,D,125000.0,160500.0
POR,Bendik,Joe,GK,44000.0,44000.0
NE,Bengston,Jerry,F,120000.0,126840.0
DAL,Benitez,Jair,D,80000.0,80000.0
SJ,Bernardez,Victor,D,100000.0,100000.0
MTL,Bernier,Patrice,F-M,130000.0,149333.25
CHI,Berry,Austin,D,44000.0,59000.0
KC,Besler,Matt,D,91751.0,103001.0
SJ,Bingham,David,GK,71000.0,115375.0
CLB,Birchall,Chris,M,102000.0,109000.0
CHV,Bolanos,Miller,M,48000.0,48000.0
CHI,Bone,Corben,M,100000.0,161200.0
RSL,Bonfigli,Emiliano,F,44000.0,44000.0
VAN,Bonjour,Fernando,D,192000.0,276987.5
RSL,Borchers,Nat,D,200004.0,211972.75
NY,Borrajo,Jonathan,M-D,44000.0,44000.0
DC,Boskovic,Branko,M,195240.0,242340.0
HOU,Boswell,Bobby,D,200000.0,200000.0
CHV,Bowen,Tristan,F,100000.0,131363.63
POR,Boyd,Kris,F,1250000.0,1515000.0
LA,Boyens,Andrew,D,62500.0,65783.33
POR,Braun,Frederick,M,44000.0,44000.0
RSL,Braun,Justin,F,102000.0,104500.0
NE,Brettschneider,Blake,F,33756.0,33756.0
MTL,Brovsky,Jeb,M,33750.0,33750.0
HOU,Bruin,Will,F,90000.0,135000.0
POR,Brunner,Eric,D,100000.0,100625.0
LA,Buddle,Edson,F,225000.0,225000.0
KC,Bunbury,Teal,F,100000.0,198000.0
SEA,Burch,Marc,D,65000.0,65000.0
CHV,Burling,Bobby,D,48000.0,51333.33
SJ,Busch,Jon,GK,155004.0,166337.33
MTL,Bush,Evan,GK,44000.0,44000.0
NY,Cahill,Tim,M,3499999.92,3624999.92
CHV,Califf,Danny,D,275000.0,275000.0
MTL,Camara,Hassoun,D/M,75000.0,75000.0
HOU,Camargo,Luiz,M,192000.0,202000.0
TOR,Cann,Adrian,D,126000.0,134750.0
VAN,Cannon,Joe,GK,166250.0,175666.67
NE,Cardenas,Fernando,M/F,99996.0,99996.0
CHV,Cardozo,Paolo,M,70000.0,81250.0
HOU,Carr,Calen,F,78554.0,82804.0
SEA,Carrasco,Servando,M,44100.0,44100.0
PHI,Carroll,Brian,M,168000.0,168000.0
COL,Cascio,Tony,M,44000.0,77750.0
COL,Casey,Conor,F,400000.0,400000.0
SEA,Caskey,Alex,M,33756.0,33756.0
DAL,Castillo,Fabian,F,50000.0,56250.0
COL,Castrillon,Jaime,M,50000.0,68375.0
SEA,Cato,Cordell,F,44000.0,44000.0
KC,Cesar,Julio,D,252000.0,255750.0
COL,Ceus,Steward,GK,44100.0,44100.0
DC,Chabala,Michael,M,75000.0,83333.33
POR,Chara,Diego,M,150000.0,193750.0
SJ,Chavez,Marvin,M,150000.0,150000.0
HOU,Ching,Brian,F,192000.0,236000.0
HOU,Clark,Colin,M,105427.0,110427.0
HOU,Clark,Ricardo,M,260000.04,293750.04
VAN,Clarke,Caleb,F,44000.04,44000.04
KC,Collin,Aurelien,D,210000.0,216250.0
NY,Conde,Wilman,D,125000.0,141666.67
KC,Convey,Bobby,M,200000.0,215000.0
NY,Cooper,Kenny,F,275000.0,292500.0
TOR,Cordon,Oscar,M,44000.0,44000.0
SJ,Corrales,Ramiro,M,173250.0,183875.0
CHV,Correa,Jose Erik,F,48000.0,48000.0
CHV,Courtois,Laurent,M,120000.0,120000.0
HOU,Creavalle,Warren,D,44000.0,44000.0
SJ,Cronin,Sam,M,71156.25,119156.25
PHI,Cruz,Danny,M,100000.0,106500.0
COL,Cummings,Omar,F,81999.96,95999.96
PHI,Daniel,Keon,M,55000.0,59410.0
POR,Danso,Mamdou,D,82500.0,82500.0
VAN,Davidson,Jun Marques,M,67500.0,71136.67
HOU,Davis,Brad,M,265000.0,312062.5
SJ,Dawkins,Simon,M,50000.0,50000.0
DAL,de Guzman,Julian,M,1863996.0,1910746.0
LA,DeLaGarza,AJ,D,90000.0,112500.0
DC,Deleon,Nick,M,44000.0,79000.0
CHV,Delgado,Marco,M,44000.0,46500.0
VAN,DeMerit,Jay,D,300000.0,350000.0
HOU,Deric,Tyler,GK,44100.0,44100.0
DC,DeRosario,Dwayne,M,617857.2,663190.53
MTL,Di Vaio,Marco,F,1000008.0,1937508.0
NY,Digao,Rodrigo,D,90000.0,90000.0
POR,Dike,Bright,F,55000.0,57937.5
HOU,Dixon,Alex,M,47250.0,52250.0
LA,Donovan,Landon,F,2400000.0,2400000.0
DC,Dudar,Emiliano,D,225000.0,238333.33
CLB,Duka,Dilaver,M,110000.0,243000.0
TOR,Dunfield,Terry,M,86000.0,86000.0
LA,Dunivant,Todd,D,140000.0,146750.0
SEA,Duran,Andrew,D,33750.0,33750.0
KC,Dwyer,Dom,F,60000.0,72500.0
DC,Dykstra,Andrew,GK,44004.0,44004.0
TOR,Eckersley,Richard,D,210000.0,390000.0
KC,Ellis,Kevin,D,44000.0,44750.0
TOR,Emory,Logan,D,44000.0,44000.0
RSL,Espindola,Fabian,F,125000.0,125000.0
KC,Espinoza,Roger,M,125000.0,158750.0
SEA,Estrada,David,F,44000.0,44000.0
SEA,Evans,Brad,F,145475.0,159225.0
NE,Fagundez,Diego,F,55000.0,56000.0
PHI,Farfan,Gabriel,M,46200.0,46200.0
PHI,Farfan,Michael,M,57200.0,94700.0
NE,Feilhaber,Benny,M,400000.0,446000.0
CHI,Fernandez,Alvaro,M,300000.0,366666.67
RSL,Fernandez,Eduardo,GK,33750.0,33750.0
MTL,Ferrari,Matteo,D,130000.0,185475.0
DAL,Ferreira,David,M-F,600000.0,705000.0
CLB,Finlay,Ethan,F,44000.0,59000.0
SEA,Ford,Josh,GK,44000.0,44000.0
CHI,Franco,Guillermo,F,174000.0,174000.0
