Year	Category	Product	Sales	Rating
2017	Components	Chains	20,000	0.75
2017	Clothing	Bib-Shorts	4,000	0.22
2017	Clothing	Tights	36,000	1
2017	Components	Brakes	5,400	0.38
2017	Components	Bottom Brackets	600	0.27
2017	Clothing	Jerseys	7,500	0.4
2017	Accessories	Tires and Tubes	63,700	0.9
2017	Bikes	Cargo Bike	9,300	0.6
2017	Bikes	Mountain Bikes	8,500	0.46
2017	Accessories	Bike Racks	33,700	0.92
2017	Clothing	Caps	600	0.15
2017	Accessories	Pumps	30,700	0.95
2017	Accessories	Helmets	34,000	0.95
2017	Bikes	Road Bikes	16,900	0.65
2017	Accessories	Lights	36,700	0.9
2017	Accessories	Locks	35,000	1
2017	Clothing	Socks	3,700	0.48
2017	Components	Wheels	21,800	0.96
2017	Components	Handlebars	5,000	0.35
2017	Components	Pedals	6,200	0.38
2017	Clothing	Gloves	27,000	0.88
2017	Clothing	Vests	2,400	0.35
2017	Clothing	Shorts	23,000	1
2017	Components	Saddles	3,100	0.42
2017	Bikes	Touring Bikes	3,100	0.22
