name,short_descr,href,img_url
Abyssinian,"Abyssinians are highly intelligent and intensely inquisitive. They love to investigate and will leave no nook or cranny unexplored. They’re sometimes referred to as “Aby-grabbys” because they tend to take things that grab their interest. The playful Aby loves to jump and climb. Keep a variety of toys on hand to keep her occupied, including puzzle toys that challenge her intelligence.",https://www.purina.com/breeds/abyssinian-cat,https://www.purina.com/sites/g/files/auxxlc196/files/Abyssinian_body_7.jpg
American Bobtail,The American Bobtail is an athletic breed that looks like a bobtailed wildcat and has many dog-like tendencies.,https://www.purina.com/cats/cat-breeds/american-bobtail,https://www.purina.com/sites/g/files/auxxlc196/files/AmericanBobtail_body_6.jpg
American Curl,"With unique ears that curl back, and an inquisitive expression reminiscent of happy surprise, the American Curl brings a smile to everyone who meets her. ",https://www.purina.com/cats/cat-breeds/american-curl,https://www.purina.com/sites/g/files/auxxlc196/files/AmericanCurlSHA_body_6.jpg
American Shorthair,"Formerly used to keep rodents and vermin away from food stores, the American Shorthair still enjoys exercising her hunting skills on unsuspecting insects. As a smart, moderately active feline, she enjoys learning tricks and challenging her intelligence with puzzles and interactive toys.",https://www.purina.com/cats/cat-breeds/american-shorthair,https://www.purina.com/sites/g/files/auxxlc196/files/AmericanShorthair_body_6.jpg
American Wirehair,"Intelligent and highly adaptable, the American Wirehair is an American original, with a completely unique wired coat.",https://www.purina.com/cats/cat-breeds/american-wirehair,https://www.purina.com/sites/g/files/auxxlc196/files/AmericanWirehair_body_6.jpg
Balinese-Javanese,"The Balinese, also known as Javanese depending on coat color and pattern, is regal and aristocratic in appearance, but a curious kitten at heart. ",https://www.purina.com/cats/cat-breeds/balinese-javanese,https://www.purina.com/sites/g/files/auxxlc196/files/Javanese_body_6.jpg
Bengal,"Bengal Cats are curious and confident with the tameness of a domestic tabby and the beauty of an Asian Leopard Cat. Learn more about Bengals and their playful personality, plus information on their health and how to feed them.",https://www.purina.com/breeds/bengal-cat,https://www.purina.com/sites/g/files/auxxlc196/files/Bengal_body_6.jpg
Birman,"The Birman is a cat of distinction as well as legend. With their exotic ancestry, luxurious pointed coats, “white gloved” paws and mesmerizing blue eyes, this is a breed with undeniable charisma. ",https://www.purina.com/breeds/birman-cat-breed,https://www.purina.com/sites/g/files/auxxlc196/files/Birman_body_6.jpg
Bombay,"The Bombay is an easy-going, yet energetic cat. She does well in quiet apartments where she’s the center of attention as well as in lively homes with children and other pets. She’ll talk to you in a distinct voice, and you’re likely to find her in the warmest spot in your home, whether that’s in the sunlight from a window or curled up under the covers in bed with you. ",https://www.purina.com/cats/cat-breeds/bombay,https://www.purina.com/sites/g/files/auxxlc196/files/Bombay_body_6.jpg
British Shorthair,"The British Shorthair is an easygoing feline. She enjoys affection but isn’t needy and dislikes being carried. She’ll follow you from room to room, though, out of curiosity. British Shorthairs aren’t lap cats, but they do enjoy snuggling next to their people on the couch.",https://www.purina.com/cats/cat-breeds/british-shorthair,https://www.purina.com/sites/g/files/auxxlc196/files/BritishShorthair_body_6.jpg
Burmese,"The Burmese thrives on companionship with her humans and other cats. Like her Siamese ancestors, she enjoys conversation, but has a much softer, sweeter voice. ",https://www.purina.com/cats/cat-breeds/burmese,https://www.purina.com/sites/g/files/auxxlc196/files/Burmese_body_6.jpg
Chartreux,-,https://www.purina.com/cats/cat-breeds/chartreux,https://www.purina.com/sites/g/files/auxxlc196/files/Chartruese_body_6.jpg
Cornish Rex,-,https://www.purina.com/cats/cat-breeds/cornish-rex,https://www.purina.com/sites/g/files/auxxlc196/files/CornishRex_body_7.jpg
Devon Rex,"Because of her curly coat and her tail, which wags when she is happy, the Devon Rex is sometimes called a poodle who purrs. ",https://www.purina.com/cats/cat-breeds/devon-rex,https://www.purina.com/sites/g/files/auxxlc196/files/DevonRex_body_7.jpg
Egyptian Mau,"The Egyptian Mau is fiercely devoted to her humans and vocally shows signs of happiness and affection by meowing in a pleasant voice. She’ll also slowly swish her tail and knead with her front paws. She loves to display her hunting skills by chasing and retrieving a toy. As a moderate- to highly active breed, you may find her on top of your refrigerator or bookshelves.",https://www.purina.com/cats/cat-breeds/egyptian-mau,https://www.purina.com/sites/g/files/auxxlc196/files/EgyptianMau_body_7.jpg
European Burmese,-,https://www.purina.com/cats/cat-breeds/european-burmese,https://www.purina.com/sites/g/files/auxxlc196/files/EuropeanBurmese_body_7.jpg
Exotic Shorthair,"Known as the lazy man’s Persian, the Exotic Shorthair has the body type and easygoing nature of the Persian but without the coat length and need for daily grooming. ",https://www.purina.com/cats/cat-breeds/exotic-shorthair,https://www.purina.com/sites/g/files/auxxlc196/files/Exotic_body_6.jpg
Havana Brown,-,https://www.purina.com/cats/cat-breeds/havana-brown,https://www.purina.com/sites/g/files/auxxlc196/files/HavanaBrown_body_6.jpg
Himalayan,"The Himalayan Cat is a sweet and mild-tempered feline. She’s affectionate but selective. Although she loves lying in your lap and being pet, she may be reserved around guests. Serene, quiet environments with few day-to-day changes are best for the Himmie.",https://www.purina.com/cats/cat-breeds/himalayan,https://www.purina.com/sites/g/files/auxxlc196/files/Himilayan_body_6.jpg
Japanese Bobtail,-,https://www.purina.com/cats/cat-breeds/japanese-bobtail,https://www.purina.com/sites/g/files/auxxlc196/files/JapaneseBobtailSHOddEyed_body_6.jpg
Korat,-,https://www.purina.com/cats/cat-breeds/korat,https://www.purina.com/sites/g/files/auxxlc196/files/Korat_body_6.jpg
LaPerm,-,https://www.purina.com/cats/cat-breeds/laperm,https://www.purina.com/sites/g/files/auxxlc196/files/LaPerm_body_6.jpg
Maine Coon,"Maine Coon cats are gentle natured and friendly, making them good companions. They are often tenderly playful and curious, making them kitten-like throughout their lives.",https://www.purina.com/cats/cat-breeds/maine-coon,https://www.purina.com/sites/g/files/auxxlc196/files/MaineCoon_body_7.jpg
Manx,"When she’s not hunting bugs or rodents or standing guard, the Manx is an affectionate, even-tempered and playful cat. She loves to follow her favorite person from room to room and curling up on their lap for a snooze. Your Manx will even carry on a conversation with you in her quiet trill.",https://www.purina.com/cats/cat-breeds/manx,https://www.purina.com/sites/g/files/auxxlc196/files/ManxSH_body_6.jpg
Munchkin,"They may have short legs, but Munchkin Cats don’t let it hold them back. Although they can’t make big leaps like other breeds, they can make small jumps, climb and even sit back on their haunches to get a better look at something.",https://www.purina.com/cats/cat-breeds/munchkin,https://www.purina.com/sites/g/files/auxxlc196/files/Munchkin.jpg
Norwegian Forest,"The Norwegian Forest Cat is a gentle giant. They’re large and athletic, so you may find them sitting atop the highest point in your home, and they have no qualms about jumping down. Norwegian Forest Cats are fond of their family but are reserved with visitors.",https://www.purina.com/cats/cat-breeds/norwegian-forest-cat,https://www.purina.com/sites/g/files/auxxlc196/files/NorwegianForestCat_body_6.jpg
Ocicat,-,https://www.purina.com/cats/cat-breeds/ocicat,https://www.purina.com/sites/g/files/auxxlc196/files/Ocitcat_body_6.jpg
Oriental,"The Oriental is a sleek, elegant cat with large, flaring ears and almond-shaped eyes, often associated with the Siamese breeds. ",https://www.purina.com/cats/cat-breeds/oriental,https://www.purina.com/sites/g/files/auxxlc196/files/OrientalSH_body_6.jpg
Persian,"The docile Persian is a quiet feline who enjoys a calm and relaxing environment. Although she enjoys sitting in her humans’ laps and being pet, she’s just as happy to sit and observe everyone’s comings and goings from afar. Persians are independent and selective in who they show affection to.",https://www.purina.com/cats/cat-breeds/persian,https://www.purina.com/sites/g/files/auxxlc196/files/PersianSolid_body_6.jpg
Peterbald,-,https://www.purina.com/cats/cat-breeds/peterbald,https://www.purina.com/sites/g/files/auxxlc196/files/Peterbald_body_6.jpg
Pixiebob,-,https://www.purina.com/cats/cat-breeds/pixiebob,https://www.purina.com/sites/g/files/auxxlc196/files/PixieBob_body_6.jpg
Ragamuffin,-,https://www.purina.com/cats/cat-breeds/ragamuffin,https://www.purina.com/sites/g/files/auxxlc196/files/RagaMuffin_body_7.jpg
