Rank,Country,Revenues,Expenditures,Surplus (or deficit),Surplus percentage,Year,SurplusDeficit,SurplusPct
1,United States,3363e3,3893e3,"-530,000",-13.6%,2016 est.,-53e4,-0.13614179296172613
2,China,2465e3,2897e3,"-432,000",-14.9%,2016 est.,-432e3,-0.14911977908180873
3,Japan,1696e3,1931e3,"-235,000",-12.2%,2016 est.,-235e3,-0.12169860176074576
4,Germany,1507e3,1484e3,"23,000",1.5%,2016 est.,23e3,0.015498652291105142
5,France,1288e3,1369e3,"-81,000",-5.9%,2016 est.,-81e3,-0.059167275383491647
6,United Kingdom,996300,1097e3,"-100,700",-9.2%,2016 est.,-100700,-0.09179580674567
7,Italy,842500,889800,"-47,300",-5.3%,2016 est.,-47300,-0.053158013036637475
8,Brazil,632e3,677200,"-45,200",-6.7%,2016 est.,-45200,-0.0667454223272298
9,Canada,594700,632400,"-37,700",-6.0%,2016 est.,-37700,-0.0596141682479443
10,Spain,461300,512900,"-51,600",-10.1%,2016 est.,-51600,-0.10060440631702083
11,Australia,420500,446400,"-25,900",-5.8%,2016 est.,-25900,-0.058019713261648787
12,Netherlands,322600,333500,"-10,900",-3.3%,2016 est.,-10900,-0.032683658170914565
13,"Korea, South",304300,321400,"-17,100",-5.3%,2016 est.,-17100,-0.05320472930927189
14,Sweden,248300,250200,"-1,900",-0.8%,2016 est.,-1900,-0.0075939248601119
15,Belgium,232300,245e3,"-12,700",-5.2%,2016 est.,-12700,-0.051836734693877506
16,Mexico,224300,255900,"-31,600",-12.3%,2016 est.,-31600,-0.1234857366158656
17,Switzerland,215900,213400,"2,500",1.2%,2016 est.,2500,0.011715089034676662
18,India,200100,283100,"-83,000",-29.3%,2016 est.,-83e3,-0.2931826209819851
19,Norway,199800,188800,"11,000",5.8%,2016 est.,11e3,0.05826271186440679
20,Austria,187300,192600,"-5,300",-2.8%,2016 est.,-5300,-0.027518172377985484
21,Russia,186500,236600,"-50,100",-21.2%,2016 est.,-50100,-0.21174978867286565
22,Turkey,184300,198800,"-14,500",-7.3%,2016 est.,-14500,-0.07293762575452711
23,Denmark,156900,164500,"-7,600",-4.6%,2016 est.,-7600,-0.04620060790273561
24,Saudi Arabia,149700,236700,"-87,000",-36.8%,2016 est.,-87e3,-0.36755386565272496
25,Indonesia,128700,151400,"-22,700",-15.0%,2016 est.,-22700,-0.14993394980184938
26,Finland,127600,132700,"-5,100",-3.8%,2016 est.,-5100,-0.038432554634513894
27,Argentina,115900,141700,"-25,800",-18.2%,2016 est.,-25800,-0.18207480592801695
28,Venezuela,95620,228800,"-133,180",-58.2%,2016 est.,-133180,-0.5820804195804196
29,Anguilla,95,86,8,9.7%,2016 est.,9,0.10465116279069764
30,Greece,93340,102100,"-8,760",-8.6%,2016 est.,-8760,-0.08579823702252698
31,United Arab Emirates,90130,113e3,"-22,870",-20.2%,2016 est.,-22870,-0.20238938053097344
32,Portugal,87260,92250,"-4,990",-5.4%,2016 est.,-4990,-0.05409214092140924
33,Taiwan,80800,83950,"-3,150",-3.8%,2016 est.,-3150,-0.037522334723049444
34,Israel,80750,88400,"-7,650",-8.7%,2016 est.,-7650,-0.08653846153846156
35,Ireland,78470,80860,"-2,390",-3.0%,2016 est.,-2390,-0.02955725946079646
36,Thailand,76690,86940,"-10,250",-11.8%,2016 est.,-10250,-0.1178974005060962
37,South Africa,76620,86450,"-9,830",-11.4%,2016 est.,-9830,-0.11370734528629267
38,Colombia,76060,84230,"-8,170",-9.7%,2016 est.,-8170,-0.09699631960109223
39,Czechia,73740,74750,"-1,010",-1.4%,2016 est.,-1010,-0.013511705685618769
40,Poland,73400,86560,"-13,160",-15.2%,2016 est.,-13160,-0.1520332717190388
41,New Zealand,67610,67010,600,0.9%,2016 est.,600,0.008953887479480782
42,Iran,65870,72290,"-6,420",-8.9%,2016 est.,-6420,-0.08880896389542126
43,Peru,60840,66460,"-5,620",-8.5%,2016 est.,-5620,-0.08456214264219075
44,Egypt,60090,92370,"-32,280",-34.9%,2016 est.,-32280,-0.3494641117245859
45,Hong Kong,59090,59070,20,0.0%,2016 est.,20,3.3858134416786534e-4
46,Hungary,57320,60080,"-2,760",-4.6%,2016 est.,-2760,-0.04593874833555256
47,Romania,56840,62140,"-5,300",-8.5%,2016 est.,-5300,-0.08529127775989698
48,Malaysia,52660,63010,"-10,350",-16.4%,2016 est.,-10350,-0.1642596413267735
49,Iraq,52430,77870,"-25,440",-32.7%,2016 est.,-25440,-0.3266983433928342
50,Cuba,52370,58590,"-6,220",-10.6%,2016 est.,-6220,-0.10616146100017065
51,Chile,49520,55740,"-6,220",-11.2%,2016 est.,-6220,-0.11158952278435597
52,Vietnam,48040,57210,"-9,170",-16.0%,2016 est.,-9170,-0.16028666317077434
53,Kuwait,47140,65320,"-18,180",-27.8%,2016 est.,-18180,-0.2783221065523577
54,Singapore,46860,44830,"2,030",4.5%,2016 est.,2030,0.0452821771135401
55,Philippines,45540,48760,"-3,220",-6.6%,2016 est.,-3220,-0.06603773584905659
56,Algeria,42690,66450,"-23,760",-35.8%,2016 est.,-23760,-0.35756207674943563
57,Pakistan,41770,54630,"-12,860",-23.5%,2016 est.,-12860,-0.23540179388614313
58,Qatar,41710,53950,"-12,240",-22.7%,2016 est.,-12240,-0.2268767377201112
59,Slovakia,34870,37040,"-2,170",-5.9%,2016 est.,-2170,-0.058585313174945974
60,Ecuador,30900,34900,"-4,000",-11.5%,2016 est.,-4e3,-0.1146131805157593
61,Ukraine,27800,30870,"-3,070",-9.9%,2016 est.,-3070,-0.09944930353093617
62,Angola,27270,33500,"-6,230",-18.6%,2016 est.,-6230,-0.18597014925373134
63,Luxembourg,25850,25520,330,1.3%,2016 est.,330,0.012931034482758674
64,Morocco,25220,29430,"-4,210",-14.3%,2016 est.,-4210,-0.14305130818892287
65,Bangladesh,23780,35320,"-11,540",-32.7%,2016 est.,-11540,-0.32672706681766706
66,Kazakhstan,23350,27250,"-3,900",-14.3%,2016 est.,-3900,-0.14311926605504588
67,Croatia,21470,22720,"-1,250",-5.5%,2016 est.,-1250,-0.05501760563380287
68,Belarus,21210,20920,290,1.4%,2016 est.,290,0.013862332695984803
69,Uzbekistan,21090,21230,-140,-0.7%,2016 est.,-140,-0.006594441827602493
70,Oman,20260,31550,"-11,290",-35.8%,2016 est.,-11290,-0.35784469096671945
71,Slovenia,19320,20510,"-1,190",-5.8%,2016 est.,-1190,-0.058020477815699634
72,Bulgaria,18440,19180,-740,-3.9%,2016 est.,-740,-0.03858185610010423
73,Serbia,16200,17080,-880,-5.2%,2016 est.,-880,-0.051522248243559665
74,Bolivia,15440,17660,"-2,220",-12.6%,2016 est.,-2220,-0.1257078142695357
75,Lithuania,14680,15120,-440,-2.9%,2016 est.,-440,-0.02910052910052907
76,Uruguay,14290,15900,"-1,610",-10.1%,2016 est.,-1610,-0.1012578616352201
77,Kenya,12890,17850,"-4,960",-27.8%,2016 est.,-4960,-0.27787114845938377
78,Macau,12120,7004,"5,116",73.0%,2016 est.,5116,0.73043974871502
79,Dominican Republic,11700,13e3,"-1,300",-10.0%,2016 est.,-1300,-0.09999999999999998
80,Panama,11700,12410,-710,-5.7%,2016 est.,-710,-0.05721192586623691
81,Nigeria,11400,21210,"-9,810",-46.3%,2016 est.,-9810,-0.4625176803394625
82,Azerbaijan,11020,12180,"-1,160",-9.5%,2016 est.,-1160,-0.09523809523809523
83,Sri Lanka,10980,15540,"-4,560",-29.3%,2016 est.,-4560,-0.2934362934362934
84,Iceland,10350,7911,"2,439",30.8%,2016 est.,2439,0.30830489192263943
85,Ethiopia,10070,11850,"-1,780",-15.0%,2016 est.,-1780,-0.150210970464135
86,Lebanon,9953,14440,"-4,487",-31.1%,2016 est.,-4487,-0.31073407202216063
87,Tunisia,9882,11770,"-1,888",-16.0%,2016 est.,-1888,-0.16040781648258284
88,Latvia,9766,10110,-344,-3.4%,2016 est.,-344,-0.03402571711177049
89,Estonia,9559,9596,-37,-0.4%,2016 est.,-37,-0.003855773238849558
