quote,author,likes,category
"Don't cry because it's over, smile because it happened.",Dr. Seuss,174616,cry|crying|experience|happiness|joy|life|misattributed-dr-seuss|optimism|sadness|smile|smiling
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,138415,best|life|love|mistakes|out-of-control|truth|worst
Be yourself; everyone else is already taken.,Oscar Wilde,130176,be-yourself|honesty|inspirational|misattributed-oscar-wilde
Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,Albert Einstein,116961,human-nature|humor|infinity|philosophy|science|stupidity|universe
"Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",Bernard M. Baruch,111385,ataraxy|be-yourself|confidence|fitting-in|individuality|those-who-matter
"So many books, so little time.",Frank Zappa,109930,books|humor
"You've gotta dance like there's nobody watching,",William W. Purkey,108773,dance|heaven|hurt|inspirational|life|love|sing
A room without books is like a body without a soul.,Marcus Tullius Cicero,107147,books|simile|soul
You know you're in love when you can't fall asleep because reality is finally better than your dreams.,Dr. Seuss,105310,dreams|love|reality|sleep
"You only live once, but if you do it right, once is enough.",Mae West,97524,humor|life
Be the change that you wish to see in the world.,Mahatma Gandhi,95892,action|change|inspirational|philosophy|wish
In three words I can sum up everything I've learned about life: it goes on.,Robert Frost,90340,life
"If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.",J.K. Rowling,84232,
"Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .",C.S. Lewis,79347,friendship
Don’t walk in front of me… I may not follow,Albert Camus,78427,friends|friendship|misattributed-albert-camus
No one can make you feel inferior without your consent.,Eleanor Roosevelt,77023,confidence|inspirational|wisdom
"If you tell the truth, you don't have to remember anything.",Mark Twain,76017,lies|lying|memory|truth
A friend is someone who knows all about you and still loves you.,Elbert Hubbard,72718,friend|friendship|knowledge|love
"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",Maya Angelou,70121,
Always forgive your enemies; nothing annoys them so much.,Oscar Wilde,68976,enemies|forgiveness|strategy
Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,66683,carpe-diem|education|inspirational|learning
"To live is the rarest thing in the world. Most people exist, that is all.",Oscar Wilde,65541,life
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,Martin Luther King Jr.,65388,darkness|drive-out|hate|inspirational|light|love|peace
I am so clever that sometimes I don't understand a single word of what I am saying.,Oscar Wilde,63567,intelligence|self-deprecation
"Without music, life would be a mistake.",Friedrich Nietzsche,61032,inspirational|music|philosophy
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,Ralph Waldo Emerson,59808,accomplishment|be-yourself|conformity|individuality
