year_film,year_award,ceremony,category,nominee,film,win
1943,1944,1,Best Performance by an Actress in a Supporting Role in any Motion Picture,Katina Paxinou,For Whom The Bell Tolls,True
1943,1944,1,Best Performance by an Actor in a Supporting Role in any Motion Picture,Akim Tamiroff,For Whom The Bell Tolls,True
1943,1944,1,Best Director - Motion Picture,Henry King,The Song Of Bernadette,True
1943,1944,1,Picture,The Song Of Bernadette,,True
1943,1944,1,Actress In A Leading Role,Jennifer Jones,The Song Of Bernadette,True
1943,1944,1,Actor In A Leading Role,Paul Lukas,Watch On The Rhine,True
1944,1945,2,Best Performance by an Actress in a Supporting Role in any Motion Picture,Agnes Moorehead,Mrs. Parkington,True
1944,1945,2,Best Performance by an Actor in a Supporting Role in any Motion Picture,Barry Fitzgerald,Going My Way,True
1944,1945,2,Best Director - Motion Picture,Leo McCarey,Going My Way,True
1944,1945,2,Picture,Going My Way,,True
1944,1945,2,Actress In A Leading Role,Ingrid Bergman,Gaslight,True
1944,1945,2,Actor In A Leading Role,Alexander Knox,Wilson,True
1945,1946,3,Best Performance by an Actress in a Supporting Role in any Motion Picture,Angela Lansbury,The Picture of Dorian Gray,True
1945,1946,3,Best Performance by an Actor in a Supporting Role in any Motion Picture,J. Carroll Naish,A Medal For Benny,True
1945,1946,3,Best Director - Motion Picture,Billy Wilder,The Lost Weekend,True
1945,1946,3,Promoting International Understanding,Frank Sinatra,The House I Live In,True
1945,1946,3,Picture,The Lost Weekend,,True
1945,1946,3,Actress In A Leading Role,Ingrid Bergman,The Bells of St. Mary's,True
1945,1946,3,Actor In A Leading Role,Ray Milland,The Lost Weekend,True
1946,1947,4,Best Performance by an Actress in a Supporting Role in any Motion Picture,Anne Baxter,The Razor's Edge,True
1946,1947,4,Best Performance by an Actor in a Supporting Role in any Motion Picture,Clifton Webb,The Razor's Edge,True
1946,1947,4,Best Director - Motion Picture,Frank Capra,It's A Wonderful Life,True
1946,1947,4,Promoting International Understanding,"Switzerland, Leopold Lindtberg",The Last Chance,True
1946,1947,4,Special Achievement Award,Harold Russell,The Best Years Of Our Lives,False
1946,1947,4,Picture,The Best Years Of Our Lives,,True
1946,1947,4,Actress In A Leading Role,Rosalind Russell,Sister Kenny,True
1946,1947,4,Actor In A Leading Role,Gregory Peck,The Yearling,True
1947,1948,5,Best Performance by an Actress in a Supporting Role in any Motion Picture,Celeste Holm,Gentleman's Agreement,True
1947,1948,5,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,Miracle On 34th Street,True
1947,1948,5,Best Director - Motion Picture,Elia Kazan,Gentleman's Agreement,True
1947,1948,5,Best Screenplay - Motion Picture,George Seaton,Miracle On 34th Street,True
1947,1948,5,Best Original Score - Motion Picture,Max Steiner,Life With Father,True
1947,1948,5,Special Achievement Award,Walt Disney,Bambi,False
1947,1948,5,New Star Of The Year - Actress,Lois Maxwell,That Hagen Girl,True
1947,1948,5,New Star Of The Year - Actor,Richard Widmark,Kiss Of Death,True
1947,1948,5,Picture,Gentleman's Agreement,,True
1947,1948,5,Juvenile Performance,Dean Stockwell,Gentleman's Agreement,True
1947,1948,5,Actress In A Leading Role,Rosalind Russell,Mourning Becomes Electra,True
1947,1948,5,Actor In A Leading Role,Ronald Colman,A Double Life,True
1947,1948,5,Cinematography,Jack Cardiff,Black Narcissus,True
1948,1949,6,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ellen Corby,I Remember Mama,True
1948,1949,6,Best Performance by an Actor in a Supporting Role in any Motion Picture,Walter Huston,The Treasure of the Sierra Madre,True
1948,1949,6,Best Director - Motion Picture,John Huston,The Treasure of the Sierra Madre,True
1948,1949,6,Best Screenplay - Motion Picture,Richard Schweizer,The Search,True
1948,1949,6,Best Original Score - Motion Picture,Brian Easdale,The Red Shoes,True
1948,1949,6,Promoting International Understanding,Fred Zinnemann,The Search,True
1948,1949,6,Picture,Johnny Belinda,,True
1948,1949,6,Picture,The Treasure of the Sierra Madre,,True
1948,1949,6,Juvenile Performance,Ivan Jandl,The Search,True
1948,1949,6,Actress In A Leading Role,Jane Wyman,Johnny Belinda,True
1948,1949,6,Actor In A Leading Role,Laurence Olivier,Hamlet (1948),True
1948,1949,6,Foreign Film - English Language,"United Kingdom, Laurence Olivier",Hamlet (1948),True
1948,1949,6,Cinematography,Gabriel Figueroa,The Pearl,True
1949,1950,7,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mercedes McCambridge,All The King's Men,True
1949,1950,7,Best Performance by an Actress in a Supporting Role in any Motion Picture,Miriam Hopkins,The Heiress,False
1949,1950,7,Best Performance by an Actor in a Supporting Role in any Motion Picture,James Whitmore,Battleground,True
1949,1950,7,Best Performance by an Actor in a Supporting Role in any Motion Picture,David Brian,Intruder In The Dust,False
1949,1950,7,Best Director - Motion Picture,Robert Rossen,All The King's Men,True
1949,1950,7,Best Director - Motion Picture,William Wyler,The Heiress,False
1949,1950,7,Best Screenplay - Motion Picture,Robert Pirosh,Battleground,True
1949,1950,7,Best Screenplay - Motion Picture,Walter Doniger,Rope of Sand,False
1949,1950,7,Best Motion Picture - Foreign Language,The Bicycle Thief,"Italy, Vittorio De Sica",True
1949,1950,7,Best Motion Picture - Foreign Language,The Fallen Idol,"United Kingdom, Carol Reed",False
1949,1950,7,Best Original Score - Motion Picture,Johnny Green,The Inspector General,True
1949,1950,7,Best Original Score - Motion Picture,George Duning,All The King's Men,False
1949,1950,7,Promoting International Understanding,Vincent Sherman,The Hasty Heart,True
1949,1950,7,Promoting International Understanding,Maurice Cloche,Monsieur Vincent,False
1949,1950,7,New Star Of The Year - Actress,Mercedes McCambridge,All The King's Men,True
1949,1950,7,New Star Of The Year - Actress,Ruth Roman,Champion,False
1949,1950,7,New Star Of The Year - Actor,Richard Todd,The Hasty Heart,True
1949,1950,7,New Star Of The Year - Actor,Juano Hernandez,Intruder In The Dust,False
1949,1950,7,Outstanding Use Of Color,The Adventures of Ichabod and Mr. Toad,,True
1949,1950,7,Outstanding Use Of Color,On The Town,,False
1949,1950,7,Picture,All The King's Men,,True
1949,1950,7,Picture,Come To The Stable,,False
1949,1950,7,Actress In A Leading Role,Olivia de Havilland,The Heiress,True
1949,1950,7,Actress In A Leading Role,Deborah Kerr,"Edward, My Son",False
1949,1950,7,Actor In A Leading Role,Broderick Crawford,All The King's Men,True
1949,1950,7,Actor In A Leading Role,Richard Todd,The Hasty Heart,False
1949,1950,7,Cinematography,Franz F. Planer,Champion,True
1949,1950,7,Cinematography,Burnett Guffey,All The King's Men,False
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Gloria Swanson,Sunset Boulevard,True
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Bette Davis,All About Eve,False
1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Judy Holliday,Born Yesterday,False
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,José Ferrer,Cyrano de Bergerac (1950),True
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,Louis Calhern,The Magnificent Yankee,False
1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,James Stewart,Harvey,False
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Fred Astaire,Three Little Words,True
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dan Dailey,When Willie Comes Marching Home,False
1950,1951,8,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Harold Lloyd,The Sin Of Harold Diddlebock,False
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Josephine Hull,Harvey,True
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Judy Holliday,Adam's Rib,False
1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Thelma Ritter,All About Eve,False
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmund Gwenn,Mister 880,True
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,Erich von Stroheim,Sunset Boulevard,False
1950,1951,8,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Sanders,All About Eve,False
1950,1951,8,Best Director - Motion Picture,Billy Wilder,Sunset Boulevard,True
1950,1951,8,Best Director - Motion Picture,George Cukor,Born Yesterday,False
1950,1951,8,Best Director - Motion Picture,John Huston,The Asphalt Jungle,False
1950,1951,8,Best Director - Motion Picture,Joseph L. Mankiewicz,All About Eve,False
1950,1951,8,Best Screenplay - Motion Picture,Joseph L. Mankiewicz,All About Eve,True
1950,1951,8,Best Screenplay - Motion Picture,"Charles Brackett, Billy Wilder, D. M. Marshman Jr.",Sunset Boulevard,False
1950,1951,8,Best Screenplay - Motion Picture,"Ben Maddow, John Huston",The Asphalt Jungle,False
1950,1951,8,Best Original Score - Motion Picture,Franz Waxman,Sunset Boulevard,True
1950,1951,8,Best Original Score - Motion Picture,Leith Stevens,Destination Moon,False
1950,1951,8,Best Original Score - Motion Picture,Bronislau Kaper,A Life Of Her Own,False
1950,1951,8,Promoting International Understanding,Delmer Daves,Broken Arrow,True
1950,1951,8,Promoting International Understanding,George Seaton,The Big Lift,False
1950,1951,8,Promoting International Understanding,William A. Wellman,The Next Voice You Hear...,False
1950,1951,8,New Star Of The Year,Gene Nelson,Tea For Two,True
1950,1951,8,New Star Of The Year,Mala Powers,Cyrano de Bergerac (1950),False
1950,1951,8,New Star Of The Year,Debbie Reynolds,Three Little Words,False
1950,1951,8,Picture,Sunset Boulevard,,True
1950,1951,8,Picture,Born Yesterday,,False
1950,1951,8,Picture,Cyrano de Bergerac (1950),,False
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,Born Yesterday,True
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Spring Byington,Louisa,False
1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Betty Hutton,Annie Get Your Gun,False
1950,1951,8,Henrietta Award (World Film Favorites),Gregory Peck,,True
1950,1951,8,Henrietta Award (World Film Favorites),Jane Wyman,,True
1950,1951,8,Cinematography - Color,Robert L. Surtees,King Solomon's Mines,True
1950,1951,8,Cinematography - Color,Ernest Palmer,Broken Arrow,False
1950,1951,8,Cinematography - Color,George Barnes,Samson and Delilah,False
1950,1951,8,Cinematography - Black And White,Franz F. Planer,Cyrano de Bergerac (1950),True
1950,1951,8,Cinematography - Black And White,Harold Rosson,The Asphalt Jungle,False
1950,1951,8,Cinematography - Black And White,John F. Seitz,Sunset Boulevard,False
1951,1952,9,Best Motion Picture - Drama,A Place In The Sun,,True
1951,1952,9,Best Motion Picture - Drama,Quo Vadis?,,False
1951,1952,9,Best Motion Picture - Drama,A Streetcar Named Desire (1951),,False
1951,1952,9,Best Motion Picture - Drama,Bright Victory,,False
1951,1952,9,Best Motion Picture - Drama,Detective Story,,False
1951,1952,9,Best Motion Picture - Musical or Comedy,An American In Paris,,True
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Jane Wyman,The Blue Veil,True
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Vivien Leigh,A Streetcar Named Desire (1951),False
1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Shelley Winters,A Place In The Sun,False
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Fredric March,Death of a Salesman (1951),True
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Kirk Douglas,Detective Story,False
1951,1952,9,Best Performance by an Actor in a Motion Picture - Drama,Arthur Kennedy,Bright Victory,False
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,On The Riviera,True
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bing Crosby,Here Comes The Groom,False
1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gene Kelly,An American In Paris,False
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kim Hunter,A Streetcar Named Desire (1951),True
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,Detective Story,False
1951,1952,9,Best Performance by an Actress in a Supporting Role in any Motion Picture,Thelma Ritter,"Mating Season, The",False
1951,1952,9,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Ustinov,Quo Vadis?,True
1951,1952,9,Best Director - Motion Picture,Laslo Benedek,Death of a Salesman (1951),True
1951,1952,9,Best Director - Motion Picture,Vincente Minnelli,An American In Paris,False
1951,1952,9,Best Director - Motion Picture,George Stevens,A Place In The Sun,False
1951,1952,9,Best Screenplay - Motion Picture,Robert Buckner,Bright Victory,True
1951,1952,9,Best Original Score - Motion Picture,Victor Young,September Affair,True
1951,1952,9,Best Original Score - Motion Picture,Bernard Herrmann,The Day The Earth Stood Still,False
1951,1952,9,Best Original Score - Motion Picture,Dimitri Tiomkin,The Well,False
1951,1952,9,Promoting International Understanding,Robert Wise,The Day The Earth Stood Still,True
1951,1952,9,Special Achievement Award,Alain Resnais,Pictura ,False
1951,1952,9,New Star Of The Year - Actress,Pier Angeli,Teresa,True
1951,1952,9,New Star Of The Year - Actor,Kevin McCarthy,Death of a Salesman (1951),True
1951,1952,9,Actress In A Leading Role - Musical Or Comedy,June Allyson,Too Young To Kiss,True
1951,1952,9,Henrietta Award (World Film Favorite),Esther Williams,,True
1951,1952,9,Henrietta Award (World Film Favorite),Alan Ladd,,True
1951,1952,9,Cinematography - Color,William V. Skall,Quo Vadis?,True
1951,1952,9,Cinematography - Black And White,Franz F. Planer,Death of a Salesman (1951),True
1951,1952,9,Cinematography - Black And White,Franz F. Planer,Decision Before Dawn,False
1951,1952,9,Cinematography - Black And White,William C. Mellor,A Place In The Sun,False
1952,1953,10,Best Motion Picture - Drama,The Greatest Show On Earth,,True
1952,1953,10,Best Motion Picture - Drama,"Come Back, Little Sheba",,False
1952,1953,10,Best Motion Picture - Drama,The Happy Time,,False
1952,1953,10,Best Motion Picture - Drama,High Noon,,False
1952,1953,10,Best Motion Picture - Drama,The Thief,,False
1952,1953,10,Best Motion Picture - Musical or Comedy,With a Song in My Heart,,True
1952,1953,10,Best Motion Picture - Musical or Comedy,Hans Christian Andersen,,False
1952,1953,10,Best Motion Picture - Musical or Comedy,I'll See You in My Dreams,,False
1952,1953,10,Best Motion Picture - Musical or Comedy,Singin' in the Rain,,False
1952,1953,10,Best Motion Picture - Musical or Comedy,Star and Stripes Forever,,False
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Shirley Booth,"Come Back, Little Sheba",True
1952,1953,10,Best Performance by an Actress in a Motion Picture - Drama,Joan Crawford,Sudden Fear,False
