frozen,beverage,snack,household,group
3350,1550,750,2350,g2
3000,1100,750,2500,g3
2550,1850,200,750,g1
3600,1500,800,2900,g3
3000,1100,500,2000,g2
3050,1400,650,2000,g2
3050,1300,700,2800,g3
2200,1500,100,650,g1
2500,1700,100,750,g1
3850,1900,1100,3350,g3
2450,1200,500,1650,g2
3600,1600,900,3000,g3
3150,1400,750,2550,g3
2450,1550,50,750,g1
3200,1400,1100,2800,g3
2500,1750,150,650,g1
2550,1250,550,1500,g2
2800,1350,650,2100,g2
2950,1500,750,2100,g2
2450,1500,100,700,g1
2750,1150,650,2000,g2
3450,1600,1150,2850,g3
3050,1400,600,2350,g2
2900,1350,950,2550,g3
3300,1500,700,2200,g2
2850,1450,650,2100,g2
2750,2100,100,700,g1
3100,1400,900,2400,g3
2300,1800,100,500,g1
2150,1500,50,550,g1
2400,1700,100,950,g1
2550,1750,150,700,g1
3400,1400,700,2400,g2
3150,1700,1200,2800,g3
3100,1100,750,2250,g2
3150,1250,950,2500,g3
2700,1850,100,750,g1
2900,1350,600,1950,g2
2350,1600,100,650,g1
3150,1350,900,2450,g3
3350,1550,700,2200,g2
2800,1250,550,1950,g2
2750,1250,650,2000,g2
3250,1500,900,2750,g3
3000,1500,900,2400,g3
2400,1700,100,800,g1
3800,1500,1050,3300,g3
3150,1150,650,2200,g2
2450,1550,50,750,g1
2750,1300,600,2200,g2
2800,1500,650,2050,g2
2550,1900,150,750,g1
2950,1500,900,2550,g3
2900,2000,100,600,g1
3150,1650,1250,3000,g3
3400,1500,1050,2750,g3
2750,1200,550,1900,g2
2800,1450,650,1800,g2
3050,1500,900,2450,g3
2650,1850,100,750,g1
3250,1500,1100,2900,g3
2750,1750,100,650,g1
3000,1700,800,2250,g2
3350,1500,1150,2600,g3
3100,1700,1150,2700,g3
3850,1500,1150,3050,g3
3450,1550,1150,2550,g3
2700,1700,200,750,g1
3350,1550,1200,2800,g3
2500,1700,200,800,g1
2600,2050,50,750,g1
2850,1300,500,1750,g2
2500,1000,500,1750,g2
3350,1650,1250,2850,g3
3700,1400,950,3050,g3
3200,1350,950,2650,g3
2900,1300,600,2000,g2
3000,1350,800,2550,g2
3350,1250,900,2900,g3
2850,1400,650,2250,g2
2550,1650,250,850,g1
2900,1400,1200,2550,g3
2500,1600,100,600,g1
2400,1500,50,700,g1
3150,1250,750,2450,g2
3650,1450,900,3150,g3
2250,1150,150,650,g1
3300,1450,650,2300,g2
3050,1450,700,2350,g2
3100,1450,650,2150,g2
2300,1550,100,750,g1
2450,1250,850,2250,g3
2850,1250,1000,2500,g3
3550,1500,1050,2950,g3
2800,1400,1000,2450,g3
2850,1500,600,2100,g2
2500,1750,300,800,g1
3150,1450,900,2800,g3
2500,1500,100,800,g1
3450,1550,750,2450,g2
3850,1400,1000,3350,g3
2550,1900,100,800,g1
3400,1600,1150,2950,g3
2550,1900,200,950,g1
3150,1650,800,2350,g2
2700,1700,100,850,g1
3250,1500,1000,2600,g3
2500,1150,500,1650,g2
2700,1950,200,850,g1
3350,1650,1050,2850,g3
3850,1300,1150,3450,g3
2700,1500,750,2250,g2
2400,1550,100,800,g1
2850,2200,200,750,g1
3000,1450,750,2250,g2
3200,1600,1150,2650,g3
2500,1650,100,700,g1
3950,1900,1000,3200,g3
2950,1600,900,2400,g2
2600,1350,700,1950,g2
2200,1600,100,650,g1
3250,1400,750,2300,g2
2300,1600,100,700,g1
2300,1700,150,700,g1
2500,1800,100,700,g1
2450,1550,50,750,g1
2400,1500,150,700,g1
3200,1400,1050,2800,g3
3600,1800,1250,3050,g3
2800,1500,750,2250,g2
2900,1350,950,2550,g3
2850,1900,150,850,g1
3200,1550,900,2750,g3
2600,1700,100,700,g1
2900,1350,500,2050,g2
3350,1500,850,2500,g2
2700,1950,200,650,g1
2550,1700,100,750,g1
2550,1750,100,700,g1
2600,1750,100,750,g1
3450,1550,1050,2700,g3
3050,1500,700,2300,g2
3250,1600,1000,2550,g3
3200,1450,650,2150,g2
2850,1400,650,2050,g2
2750,1200,500,1850,g2
2350,1600,100,800,g1
3500,1600,700,2350,g2
2200,1450,100,700,g1
3200,1600,750,2250,g2
