Flavour,Calories,Total Fat (g),Trans Fat (g),Carbohydrates (g),Sugars (g),Protein (g),Category
Bananas Foster,160,8.0,0.2,20,16,2.0,std
Baseball Nut,160,9.0,0.2,19,13,3.0,std
Beavertails Pastry,170,9.0,0.3,21,15,3.0,std
Blackberry Frozen Yogurt,120,4.0,0.1,17,16,3.0,std
Blue Raspberry Sherbet,130,2.0,0.1,26,20,2.0,light
Blueberry Cheesecake,150,8.0,0.3,18,14,3.0,std
Brownie Sundae(No Sugar Added),120,5.0,0.1,21,4,3.0,std
Caramel Praline Cheesecake,170,8.0,0.2,21,17,3.0,std
NSA Caramel Turtle Truffle,200,8.0,0.2,38,7,5.0,std
Cherries Jubilee,220,11.0,0.4,26,19,4.0,rich
Chocoholic’s Resolution,190,11.0,0.2,22,17,3.0,std
Chocolate,230,13.0,0.4,25,18,5.0,rich
Chocolate Chip,240,15.0,0.5,23,18,5.0,rich
Chocolate Chip Cookie Dough,280,15.0,0.5,31,23,5.0,rich
Chocolate Fudge,150,9.0,0.3,17,12,3.0,std
Chocolate Hazelnut Truffle,280,17.0,0.4,29,20,5.0,rich
Chocolate Mousse Royale,180,11.0,0.2,18,13,3.0,std
Citrus Twist Ice,100,0.0,0.0,25,18,0.0,light
Cookies ‘n Cake,190,10.0,0.2,21,16,3.0,std
Cookies ‘n Cream,270,17.0,0.4,25,18,5.0,rich
Cotton Candy,240,12.0,0.4,31,20,4.0,rich
Easter Egg Hunt,180,11.0,0.4,21,17,2.0,std
French Vanilla,180,10.0,0.3,16,16,3.0,std
Fudge Brownie,180,12.0,0.3,18,13,3.0,std
German Chocolate Cake,190,10.0,0.2,21,16,4.0,std
Gold Medal Ribbon,240,12.0,0.4,30,23,4.0,rich
Green Tea,140,9.0,0.3,13,10,3.0,std
Icing on the Cake,320,18.0,0.4,36,28,4.0,rich
Jamoca Almond Fudge,260,15.0,0.4,28,20,5.0,rich
Love Potion #31,260,14.0,0.4,29,24,4.0,rich
Lunar Cheesecake,180,11.0,0.4,18,13,3.0,std
Made with Snickers,170,9.0,0.3,21,16,3.0,std
Mango Mania,130,6.0,0.2,17,14,2.0,std
Mango Sorbet,70,0.0,0.0,16,12,0.0,light
Mango Tango,230,10.0,0.4,29,24,4.0,rich
Maple Walnut,260,17.0,0.4,22,17,5.0,rich
Maui Brownie Madness,230,11.0,0.2,30,22,6.0,rich
Mint Chocolate Chip,240,15.0,0.5,23,18,5.0,rich
Mom’s Makin Cookies,190,9.0,0.2,24,18,2.0,std
Nutty Coconut,280,19.0,0.4,23,17,6.0,rich
Old Fashioned Butter Pecan,260,18.0,0.4,20,16,5.0,rich
Peanut Butter ‘n Banana,180,12.0,0.3,15,11,4.0,std
Peanut Butter ‘n Chocolate,290,20.0,0.4,24,17,7.0,rich
Peanut Butter ‘n Jelly,190,12.0,0.2,16,12,4.0,std
Perils of Praline,160,6.0,0.2,21,20,3.0,std
NSA Pineapple Coconut,160,6.0,0.2,30,8,5.0,std
Pink Bubble Gum,150,7.0,0.3,20,17,3.0,std
Pistachio Almond,270,18.0,0.5,21,15,7.0,rich
Praline ‘n Cream,270,14.0,0.4,32,26,4.0,rich
Pumpkin Cheesecake,160,7.0,0.3,21,17,3.0,std
Rainbow Sherbet,130,2.0,0.1,27,20,1.0,light
Raspberry Cheese Louise,220,9.0,0.3,30,24,5.0,rich
Red Velvet,160,9.0,0.3,18,15,3.0,std
Reese® NHL® Power Play,330,21.0,0.4,30,23,8.0,rich
Reese Peanut Butter Cup,180,11.0,0.3,17,14,4.0,std
Rocky Road,250,14.0,0.4,29,20,5.0,rich
Rum Raisin,230,11.0,0.4,30,25,4.0,rich
Salty Caramel,160,8.0,0.3,18,15,3.0,std
Splish Splash,70,0.5,0.0,16,12,0.5,light
Strawberry Cheesecake,250,13.0,0.4,28,22,4.0,rich
Strawberry Sorbet,70,0.0,0.0,17,13,0.1,light
Trio De Janeiro,90,1.5,0.0,17,13,1.0,light
Vanilla,220,14.0,0.5,20,16,5.0,rich
Vanilla Pomegranate Parfait Frozen Yogurt,140,5.0,0.1,20,14,3.0,std
NF Vanilla Yogurt,130,0.4,0.0,25,20,6.0,std
Very Berry Strawberry,200,10.0,0.4,24,21,4.0,rich
Watermelon Splash,120,0.5,0.0,27,20,0.1,light
Wild ‘n Reckless,80,1.5,0.0,16,12,1.0,light
Winter White Chocolate,160,8.0,0.2,20,16,2.0,std
World Class Chocolate,260,60.0,0.4,25,18,5.0,rich
