Country,Rank,Track_id,Streams,Track Name,Artist,URL,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,duration_ms,key,mode,Artist_id,Artist_popularity,Artist_follower,Artist_img
global,1.0,25sgk305KZfyuqVBQIahim,1166185736,Sweet but Psycho,Ava Max,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,0.0691,0.719,0.704,0.0,0.166,-4.724,0.0476,0.628,133.002,4,187436,1,1,4npEfmQ6YuiwW1GpUmaq3F,87,1025358,https://i.scdn.co/image/4b914c6470c8458674538afe1b90b8ce4e777e96
global,2.0,2Fxmhks0bxGSBdJ92vM42m,1052358787,bad guy,Billie Eilish,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,0.562,135.128,4,194088,7,1,6qqNVTkY8uBg9cP3Jd7DAH,98,18867904,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
global,3.0,6ocbgoVGwYJhOv1GgI9NsF,789094044,7 rings,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,0.592,0.778,0.317,0.0,0.0881,-10.732,0.334,0.327,140.048,4,178627,1,0,66CXWjxzNUsdJxJ2JdwvnR,97,40958727,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
global,4.0,1rgnBhdG2JDFTbYkYRZAku,764208309,Dance Monkey,Tones and I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,0.688,0.825,0.593,0.000161,0.17,-6.401,0.0988,0.54,98.078,4,209755,6,0,2NjfBq1NflQcKSeiDooVjY,92,484241,https://i.scdn.co/image/c128f5ef4d210a67610acdb8e095a73bc9965596
global,5.0,6v3KW9xbzN5yKLt9YKDYA2,763064359,Señorita,Shawn Mendes,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,0.0392,0.759,0.548,0.0,0.0828,-6.049,0.029,0.749,116.967,4,190800,9,0,7n2wHs1TKAczGzO7Dd2rGr,94,23152263,https://i.scdn.co/image/6bd59cfbd3e1e6394af710bddcd62999aae31c6f
global,6.0,5w9c2J52mkdntKOmRLeM2m,715027898,Con Calma,Daddy Yankee,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,0.11,0.737,0.86,1.94e-06,0.0574,-2.652,0.0593,0.656,93.989,4,193227,8,0,4VMYDCV2IEDYJArk749S6m,95,15857952,https://i.scdn.co/image/01dae15758ba1a3d18e6e35c27681dcf9da6ce21
global,7.0,2VxeLyX666F8uXCJ0dZF8B,714097238,Shallow,Lady Gaga,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,0.385,0.0,0.231,-6.362,0.0308,0.323,95.799,4,215733,7,1,1HY2Jd0NmPuamShAr6KMms,89,10181517,https://i.scdn.co/image/ea76c82c05174105751f850c8a1db426dd03aa78
global,8.0,7qEHsqek33rTcFNT9PFqLf,661930419,Someone You Loved,Lewis Capaldi,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,0.446,109.891,4,182161,1,1,4GNC7GD6oZMSxPGyXy4MNB,92,2143489,https://i.scdn.co/image/5ed13d249e562fea4e296aaeb745ce06d27ec88f
global,9.0,2dpaYNEQHiRxtZbfNsse99,620829467,Happier,Marshmello,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,0.191,0.687,0.792,0.0,0.167,-2.749,0.0452,0.671,100.015,4,214290,5,1,64KEffDW9EtZ1y2vBYgq8T,90,20341696,https://i.scdn.co/image/eb88f6dde0844337248826abb86c6e0b0ef05973
global,10.0,6MWtB6iiXyIwun0YzU6DFP,615519053,Wow.,Post Malone,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,0.385,99.947,4,149520,11,0,246dkjvS1zLTtiykXe5h60,100,21335421,https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f
global,11.0,5p7ujcrUXASCNwRaWNHR1C,605653817,Without Me,Halsey,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,0.533,136.041,4,201661,6,1,26VFTg2z8YR0cCuwLzESi2,92,9063023,https://i.scdn.co/image/1ccc88afcd13131dc35a1bd028922dbc748a55fb
global,12.0,5iwz1NiezX7WWjnCgY5TH4,591435651,Calma - Remix,Pedro Capó,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,0.773,0.0,0.143,-4.218,0.0524,0.761,126.899,4,238200,11,0,4QVBYiagIaa6ZGSPMbybpy,83,827312,https://i.scdn.co/image/59560d8ff7e8f7f8155dcae199b4f8828cce5cc7
global,13.0,6Qs4SXO9dwPj5GKvVOv8Ki,560659214,Dancing With A Stranger (with Normani),Sam Smith,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,0.45,0.741,0.52,1.97e-06,0.222,-7.513,0.0656,0.347,102.998,4,171030,8,1,2wY79sveU1sp5g7SokKOiI,92,11220622,https://i.scdn.co/image/871eeb6c9b0f60dfe982380d1357a7beb85fb3fd
global,14.0,6vBdBCoOhKHiYDDOcorfNo,501130662,Goodbyes (Feat. Young Thug),Post Malone,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,0.447,0.58,0.653,0.0,0.111,-3.818,0.0745,0.175,150.231,4,174960,5,1,246dkjvS1zLTtiykXe5h60,100,21335421,https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f
global,15.0,70eFcWOvlMObDhURTqT4Fv,499741532,Beautiful People (feat. Khalid),Ed Sheeran,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,0.548,92.977,4,197867,5,0,6eUKZXaKkcviH0Ku9w2n3V,98,57463755,https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99
global,16.0,6u7jPi22kF8CTQ3rb9DHE7,490147372,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,0.639,136.041,4,157067,6,1,7jVv8c5Fj3E9VhNjxT4snq,87,2218983,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
global,17.0,2ksOAxtIxY8yElEWw8RhgK,486837636,China,Anuel AA,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,0.0846,0.786,0.808,0.000289,0.0822,-3.702,0.0882,0.609,105.027,4,301714,7,1,2R21vXR83lH98kGeO99Y66,96,9911627,https://i.scdn.co/image/8eebdbd3738acd6a69228ed3240a06e4e53ca651
global,18.0,2TH65lNHgvLxCKXM3apjxI,478232047,Callaita,Bad Bunny,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,0.6,0.61,0.624,2.12e-06,0.243,-4.773,0.309,0.244,176.169,4,250534,2,1,4q3ewBCX7sLwd24euuV69X,98,17863391,https://i.scdn.co/image/22590f4021a00d1cad0821cc46a54395960342ee
global,19.0,2JvzF1RMd7lE3KmFlsyZD8,471425764,MIDDLE CHILD,J. Cole,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,0.149,0.837,0.364,0.0,0.271,-11.713,0.276,0.463,123.984,4,213594,8,1,6l3HvQ5sa6mXTsMTB19rO5,91,10036739,https://i.scdn.co/image/1e9eeefb2c94579150fc37916e8319b975ec8a52
global,20.0,1rqqCSm0Qe4I9rUvWncaom,470921270,High Hopes,Panic! At The Disco,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,0.193,0.579,0.904,0.0,0.064,-2.729,0.0618,0.681,82.014,4,190947,5,1,20JZFwl6HVl6yg8a4H3ZqK,88,8777959,https://i.scdn.co/image/58518a04cdd1f20a24cf0545838f3a7b775f8080
global,21.0,2xLMifQCjDGFmkHkpNLD9h,458994547,SICKO MODE,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,0.446,155.008,4,312820,8,1,0Y5tJX1MQlPlqiwlOH1tJY,98,7626718,https://i.scdn.co/image/fec51156ed94b7ee30fbd4c7fd29b4a840e7daec
global,22.0,3e9HZxeyfWwjeyPAMmWSSQ,457296092,"thank u, next",Ariana Grande,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,0.412,106.966,4,207320,1,1,66CXWjxzNUsdJxJ2JdwvnR,97,40958727,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
global,23.0,0hVXuCcriWRGvwMV1r5Yn9,453524592,I Don't Care (with Justin Bieber),Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,0.0912,0.798,0.675,0.0,0.0894,-5.041,0.0442,0.842,101.956,4,219947,6,1,6eUKZXaKkcviH0Ku9w2n3V,98,57463755,https://i.scdn.co/image/f55cab0739390cf3b2c2f773b9c779b2f0ae8a99
global,24.0,4kV4N9D1iKVxx1KLvtTpjS,437732762,"break up with your girlfriend, i'm bored",Ariana Grande,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,0.0421,0.726,0.554,0.0,0.106,-5.29,0.0917,0.335,169.999,4,190440,5,0,66CXWjxzNUsdJxJ2JdwvnR,97,40958727,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
global,25.0,7FGq80cy8juXBCD2nrqdWU,437445791,Eastside (with Halsey & Khalid),benny blanco,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,0.549,0.632,0.686,0.0,0.2,-7.665,0.243,0.329,89.949,4,170770,6,0,5CiGnKThu5ctn9pBxv7DGa,83,458671,https://i.scdn.co/image/6397158bae9bf66c29bb425edba14961dbf14a20
global,26.0,21jGcNKet2qwijlDFuPiPb,428712946,Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,0.553,120.042,4,215280,0,1,246dkjvS1zLTtiykXe5h60,100,21335421,https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f
global,27.0,5qmq61DAAOUaW8AUo8xKhh,428395771,Truth Hurts,Lizzo,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,0.11,0.715,0.624,0.0,0.123,-3.046,0.114,0.412,158.087,4,173325,4,0,56oDRnqbIiwx4mymNEv7dS,88,1838446,https://i.scdn.co/image/e33e4245fe5901ed940ba95070bb8d56679b6fe0
global,28.0,2IRZnDFmlqMuOrYOLnZZyc,424959272,Going Bad (feat. Drake),Meek Mill,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,0.259,0.889,0.496,0.0,0.252,-6.365,0.0905,0.544,86.003,4,180522,4,0,20sxb77xiYeusSH8cVdatc,88,3826161,https://i.scdn.co/image/2c9ec5abeb91b41b6fac18ec974c7a2b85319c5d
global,29.0,5WHTFyqSii0lmT9R21abT8,415230966,Don't Call Me Up,Mabel,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,0.296,0.674,0.881,3.01e-06,0.0793,-2.853,0.147,0.234,98.994,4,178480,9,1,1MIVXf74SZHmTIp4V4paH4,82,554723,https://i.scdn.co/image/f6cdfc9316e797af4b4039244bf59796c9f2977f
global,30.0,285pBltuF7vW8TeWk8hdRR,413902280,Lucid Dreams,Juice WRLD,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,0.218,83.903,4,239836,6,0,4MCBfE4596Uoi2O4DtmEMz,98,7403812,https://i.scdn.co/image/d8e62447a338a882b490460da20e90aac6d60ae7
global,31.0,0uUNN1nSoUx1A4fkDCWDQ7,407647986,So Am I,Ava Max,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7,0.0737,0.682,0.656,0.0,0.353,-4.67,0.0435,0.607,130.089,4,183027,6,1,4npEfmQ6YuiwW1GpUmaq3F,87,1025358,https://i.scdn.co/image/4b914c6470c8458674538afe1b90b8ce4e777e96
global,32.0,7dt6x5M1jzdTEt8oCbisTK,405953336,Better Now,Post Malone,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,0.331,0.68,0.578,0.0,0.135,-5.804,0.04,0.341,145.038,4,231267,10,1,246dkjvS1zLTtiykXe5h60,100,21335421,https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f
global,33.0,6b2RcmUt1g9N9mQ3CbjX2Y,399479470,How Do You Sleep?,Sam Smith,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,0.153,0.477,0.682,0.0,0.0763,-4.931,0.0925,0.345,110.567,5,202205,1,0,2wY79sveU1sp5g7SokKOiI,92,11220622,https://i.scdn.co/image/871eeb6c9b0f60dfe982380d1357a7beb85fb3fd
global,34.0,0e7ipj03S05BNilyu5bRzt,395449434,rockstar (feat. 21 Savage),Post Malone,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,0.124,0.585,0.52,7.01e-05,0.131,-6.136,0.0712,0.129,159.801,4,218147,5,0,246dkjvS1zLTtiykXe5h60,100,21335421,https://i.scdn.co/image/93fec27f9aac86526b9010e882037afbda4e3d5f
global,35.0,51Fjme0JiitpyXKuyQiCDo,394840154,Lalala,Y2K,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,0.181,0.843,0.391,0.0,0.137,-7.899,0.0845,0.496,129.972,4,160627,2,1,6USMTwO0MNDnKte5a5h0xx,81,134196,https://i.scdn.co/image/10df130e3c229399bcecc55ce0eda289b60e0047
global,36.0,7fa9MBXhVfQ8P8Df9OEbD8,391247076,Girls Like You (feat. Cardi B),Maroon 5,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,0.568,0.851,0.541,0.0,0.13,-6.825,0.0505,0.448,124.959,4,235545,0,1,04gDigrS5kc9YWfZHwBETP,94,21668307,https://i.scdn.co/image/608c7b23420c9556a7eabd9097f7e171a91d3871
