Transaction,Item,date_time,period_day,weekday_weekend
1,Bread,30-10-2016 09:58,morning,weekend
2,Scandinavian,30-10-2016 10:05,morning,weekend
2,Scandinavian,30-10-2016 10:05,morning,weekend
3,Hot chocolate,30-10-2016 10:07,morning,weekend
3,Jam,30-10-2016 10:07,morning,weekend
3,Cookies,30-10-2016 10:07,morning,weekend
4,Muffin,30-10-2016 10:08,morning,weekend
5,Coffee,30-10-2016 10:13,morning,weekend
5,Pastry,30-10-2016 10:13,morning,weekend
5,Bread,30-10-2016 10:13,morning,weekend
6,Medialuna,30-10-2016 10:16,morning,weekend
6,Pastry,30-10-2016 10:16,morning,weekend
6,Muffin,30-10-2016 10:16,morning,weekend
7,Medialuna,30-10-2016 10:19,morning,weekend
7,Pastry,30-10-2016 10:19,morning,weekend
7,Coffee,30-10-2016 10:19,morning,weekend
7,Tea,30-10-2016 10:19,morning,weekend
8,Pastry,30-10-2016 10:20,morning,weekend
8,Bread,30-10-2016 10:20,morning,weekend
9,Bread,30-10-2016 10:21,morning,weekend
9,Muffin,30-10-2016 10:21,morning,weekend
10,Scandinavian,30-10-2016 10:25,morning,weekend
10,Medialuna,30-10-2016 10:25,morning,weekend
11,Bread,30-10-2016 10:27,morning,weekend
11,Medialuna,30-10-2016 10:27,morning,weekend
11,Bread,30-10-2016 10:27,morning,weekend
12,Jam,30-10-2016 10:30,morning,weekend
12,Coffee,30-10-2016 10:30,morning,weekend
12,Tartine,30-10-2016 10:30,morning,weekend
12,Pastry,30-10-2016 10:30,morning,weekend
12,Tea,30-10-2016 10:30,morning,weekend
13,Basket,30-10-2016 10:31,morning,weekend
13,Bread,30-10-2016 10:31,morning,weekend
13,Coffee,30-10-2016 10:31,morning,weekend
14,Bread,30-10-2016 10:32,morning,weekend
14,Medialuna,30-10-2016 10:32,morning,weekend
14,Pastry,30-10-2016 10:32,morning,weekend
15,Mineral water,30-10-2016 10:34,morning,weekend
15,Scandinavian,30-10-2016 10:34,morning,weekend
16,Bread,30-10-2016 10:37,morning,weekend
16,Medialuna,30-10-2016 10:37,morning,weekend
16,Coffee,30-10-2016 10:37,morning,weekend
17,Hot chocolate,30-10-2016 10:38,morning,weekend
18,Farm House,30-10-2016 10:41,morning,weekend
19,Farm House,30-10-2016 10:43,morning,weekend
19,Bread,30-10-2016 10:43,morning,weekend
20,Bread,30-10-2016 10:45,morning,weekend
20,Medialuna,30-10-2016 10:45,morning,weekend
21,Coffee,30-10-2016 10:49,morning,weekend
21,Coffee,30-10-2016 10:49,morning,weekend
21,Medialuna,30-10-2016 10:49,morning,weekend
21,Bread,30-10-2016 10:49,morning,weekend
22,Jam,30-10-2016 10:52,morning,weekend
23,Scandinavian,30-10-2016 10:53,morning,weekend
