breed,link,img_url,href_html,img_html
Affenpinscher,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Affenpinscher/,https://www.pedigree.com.au/img/breeds/thumbnails/affenpinscher_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Affenpinscher/'>Affenpinscher</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/affenpinscher_tn.jpg />
Afghan Hound,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Afghan-Hound/,https://www.pedigree.com.au/img/breeds/thumbnails/afghan_hound_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Afghan-Hound/'>Afghan Hound</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/afghan_hound_tn.jpg />
Airedale Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Airedale-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/airedale_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Airedale-Terrier/'>Airedale Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/airedale_terr_tn.jpg />
Akita,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Akita/,https://www.pedigree.com.au/img/breeds/thumbnails/akita_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Akita/'>Akita</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/akita_tn.jpg />
Alaskan Malamute,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Alaskan-Malamute/,https://www.pedigree.com.au/img/breeds/thumbnails/alaskan_malamute_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Alaskan-Malamute/'>Alaskan Malamute</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/alaskan_malamute_tn.jpg />
American Staffordshire Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/American-Staffordshire-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/american_staff_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/American-Staffordshire-Terrier/'>American Staffordshire Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/american_staff_terr_tn.jpg />
Australian Cattle Dog,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Australian-Cattle-Dog/,https://www.pedigree.com.au/img/breeds/thumbnails/aust_cattle_dog_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Australian-Cattle-Dog/'>Australian Cattle Dog</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/aust_cattle_dog_tn.jpg />
Australian Kelpie,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Australian-Kelpie/,https://www.pedigree.com.au/img/breeds/thumbnails/aust_kelpie_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Australian-Kelpie/'>Australian Kelpie</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/aust_kelpie_tn.jpg />
Australian Shepherd,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Australian-Shepherd/,https://www.pedigree.com.au/img/breeds/thumbnails/aust_shepherd_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Australian-Shepherd/'>Australian Shepherd</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/aust_shepherd_tn.jpg />
Australian Silky Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Australian-Silky-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/aust_silky_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Australian-Silky-Terrier/'>Australian Silky Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/aust_silky_terr_tn.jpg />
Australian Stumpy Tail Cattle Dog,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Australian-Stumpy-Tail-Cattle-Dog/,https://www.pedigree.com.au/img/breeds/thumbnails/aust_stumpy_tail_cattle_dog_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Australian-Stumpy-Tail-Cattle-Dog/'>Australian Stumpy Tail Cattle Dog</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/aust_stumpy_tail_cattle_dog_tn.jpg />
Australian Terrier,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Australian-Terrier/,https://www.pedigree.com.au/img/breeds/thumbnails/aust_terr_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Australian-Terrier/'>Australian Terrier</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/aust_terr_tn.jpg />
Basenji,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Basenji/,https://www.pedigree.com.au/img/breeds/thumbnails/basenji_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Basenji/'>Basenji</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/basenji_tn.jpg />
Basset Fauve De Bretagne,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Basset-Fauve-De-Bretagne/,https://www.pedigree.com.au/img/breeds/thumbnails/bass_f_bret_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Basset-Fauve-De-Bretagne/'>Basset Fauve De Bretagne</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/bass_f_bret_tn.jpg />
Basset Hound,https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Basset-Hound/,https://www.pedigree.com.au/img/breeds/thumbnails/basset_hound_tn.jpg,<a href='https://www.pedigree.com.au/dog-breed-information/dog-breed-gallery/Basset-Hound/'>Basset Hound</a>,<img src=https://www.pedigree.com.au/img/breeds/thumbnails/basset_hound_tn.jpg />
