gender,height
F,151.03254022688478
F,157.87363755167607
F,155.95344974422795
F,149.32333135365144
F,156.504831851706
F,162.71444755596542
F,159.88994617322984
F,156.0036534259628
F,156.20698250832817
F,154.07961524382094
F,161.40565807028457
F,150.73304283374364
F,161.67660044167945
F,152.6911268039522
F,160.19464001283163
F,162.67836133978273
F,158.54334798260675
F,160.2523925623821
F,145.37151145456366
F,153.5998923288701
F,149.6758203413531
F,162.85805063727264
F,156.38021419947296
F,152.9221477643126
F,162.4086735514998
F,160.54844773979056
F,156.67569585900668
F,158.69540951568825
F,165.7276693952565
F,154.35887390180557
F,162.54847863057182
F,164.1624620321058
F,161.69468452589823
F,157.24690860115535
F,158.5236285546521
F,162.30256984245244
F,161.941265385537
F,158.58123110417162
F,157.2992859595224
F,153.88087069605237
F,150.14766623846668
F,158.92312287281183
F,158.53968991760152
F,159.60859842279376
F,164.3420285906422
F,156.55319958419565
F,151.17861446947063
F,166.40970469930485
F,163.2314197969821
F,166.97480959897626
F,155.3460930899242
F,162.0796361769921
F,166.2877204596213
F,168.0571080433144
F,167.81622687117488
F,151.4576916013491
F,150.7589653123525
F,147.26652913291338
F,149.7996202586399
F,156.4203697012668
F,168.73272540108024
F,167.71040688770657
F,157.82154409944945
F,155.477484359413
F,162.60534604661834
F,160.66798520122717
F,150.3252737330236
F,147.85683208484977
F,155.02617583801177
F,153.48439726779563
F,153.58463095393856
F,157.28887478764204
F,153.90992105457707
F,148.49186126238862
F,159.26150118135305
F,148.07489558470678
F,165.47504812751774
F,152.39089592920945
F,163.16209154021055
F,158.1602050662363
F,152.22442392378397
F,151.42870994597925
F,160.4848953602071
F,166.28699541168902
F,169.03152255363415
F,156.35415795761753
F,156.48422143567942
F,160.99486412051763
F,160.72719947583923
F,155.8535714606152
F,164.512241342996
F,156.88384995722933
F,161.26608441777447
F,144.88662698792626
F,159.66671073214974
F,158.87561431640054
F,163.34997823115324
F,167.4782631793832
F,147.0126980855915
F,165.7724640330304
F,155.80643212227193
F,165.72382748845197
F,172.74367211557626
F,167.91489470932845
F,164.2576175068375
F,165.82217123402938
F,157.56047606104866
F,146.97708514929872
F,160.3445016435971
F,148.38427141529326
F,161.61215599403042
F,154.918754938254
F,171.0006140728764
F,150.98862981254464
F,162.61936719933684
F,149.03358469981666
F,159.12484756806975
F,158.45552130967593
F,161.60704341947465
F,154.17073134323553
F,160.08237057622327
F,171.25291642636503
F,148.31373100200128
F,155.17892413557786
F,166.31933023492263
F,162.49934047699946
F,169.05052776414482
F,160.9869596872569
F,153.45725259563383
F,156.9243612990848
F,156.77442628778283
F,166.45397087572215
F,160.479308272959
F,156.9855161604445
F,169.41532145338647
F,147.891389935622
F,155.713020988814
F,153.3659608419571
F,172.3572521352185
F,156.97342811735763
F,167.14447081656732
F,159.6018219311724
F,158.89740551866024
F,154.2929314450074
F,154.78924406716612
F,159.2199334134714
F,163.19037467414427
F,153.80724025189744
F,155.40843326067017
F,166.44054759864423
F,159.6927952900952
F,162.23741317561738
F,157.73333283135932
F,151.75825594659605
F,164.19134366867627
F,155.90748584343274
F,152.4019524343267
F,163.98323601287302
F,145.64591212997007
F,162.40899483671723
F,158.53169019932412
F,162.42663201491857
F,161.1540261739391
F,168.2819993744361
F,159.34934490645213
F,159.60786189350375
F,155.40042845968665
F,156.57418842054386
F,157.12297905763967
F,164.07318359334297
F,164.67168938103478
F,166.1611702782529
F,166.3307138247806
F,162.30611472396237
F,161.58247071623936
F,158.3540611977758
F,159.21111307373525
F,170.3821231732364
F,166.16980100939497
F,164.5786772810157
F,160.2383253381321
F,167.3538081413675
F,162.59608777509277
F,163.0814477030122
F,150.41639404218563
F,159.7307200033152
F,149.46723464281908
F,164.07074086899024
F,167.4681587361814
F,152.35965310415915
F,168.0804668612593
F,161.21156563632115
F,159.7360049909136
F,153.19715473059682
F,164.80350170691352
F,151.4055864633136
F,162.25094968727348
F,149.64050239955952
F,146.9336196704945
F,168.51597417162807
F,157.81832591540453
F,160.5609482617639
F,154.80355156546088
F,158.79550441691651
F,154.02685150644783
F,154.04613775050007
F,160.53531177726754
F,155.75211382601145
F,151.6725524562455
F,166.6930081619946
F,158.18672647446132
F,165.68675372900702
F,165.2181008289037
F,162.4915011986442
F,156.33284296575584
F,164.29948906705292
F,162.01945756971318
