country,year,continent,lifeExp,pop,gdpPercap
Afghanistan,1952,Asia,28.801,8425333,779.4453145
Afghanistan,1957,Asia,30.331999999999997,9240934,820.8530296
Afghanistan,1962,Asia,31.997,10267083,853.1007099999999
Afghanistan,1967,Asia,34.02,11537966,836.1971382
Afghanistan,1972,Asia,36.088,13079460,739.9811057999999
Afghanistan,1977,Asia,38.438,14880372,786.11336
Afghanistan,1982,Asia,39.854,12881816,978.0114388000001
Afghanistan,1987,Asia,40.821999999999996,13867957,852.3959447999999
Afghanistan,1992,Asia,41.674,16317921,649.3413952000001
Afghanistan,1997,Asia,41.763000000000005,22227415,635.341351
Afghanistan,2002,Asia,42.129,25268405,726.7340548
Afghanistan,2007,Asia,43.828,31889923,974.5803384
Albania,1952,Europe,55.23,1282697,1601.056136
Albania,1957,Europe,59.28,1476505,1942.2842440000002
Albania,1962,Europe,64.82,1728137,2312.888958
Albania,1967,Europe,66.22,1984060,2760.196931
Albania,1972,Europe,67.69,2263554,3313.422188
Albania,1977,Europe,68.93,2509048,3533.0039100000004
Albania,1982,Europe,70.42,2780097,3630.880722
Albania,1987,Europe,72.0,3075321,3738.9327350000003
Albania,1992,Europe,71.581,3326498,2497.4379010000002
Albania,1997,Europe,72.95,3428038,3193.054604
Albania,2002,Europe,75.65100000000001,3508512,4604.211737
Albania,2007,Europe,76.423,3600523,5937.029525999999
Algeria,1952,Africa,43.077,9279525,2449.008185
Algeria,1957,Africa,45.685,10270856,3013.976023
Algeria,1962,Africa,48.303000000000004,11000948,2550.81688
Algeria,1967,Africa,51.407,12760499,3246.991771
Algeria,1972,Africa,54.518,14760787,4182.663766
Algeria,1977,Africa,58.013999999999996,17152804,4910.4167560000005
Algeria,1982,Africa,61.368,20033753,5745.160213
Algeria,1987,Africa,65.79899999999999,23254956,5681.358539
Algeria,1992,Africa,67.744,26298373,5023.216647
Algeria,1997,Africa,69.152,29072015,4797.295051
Algeria,2002,Africa,70.994,31287142,5288.040382
Algeria,2007,Africa,72.301,33333216,6223.367465
Angola,1952,Africa,30.015,4232095,3520.610273
Angola,1957,Africa,31.999000000000002,4561361,3827.9404649999997
Angola,1962,Africa,34.0,4826015,4269.276742
Angola,1967,Africa,35.985,5247469,5522.776375
Angola,1972,Africa,37.928000000000004,5894858,5473.288004999999
Angola,1977,Africa,39.483000000000004,6162675,3008.647355
Angola,1982,Africa,39.942,7016384,2756.953672
Angola,1987,Africa,39.906,7874230,2430.208311
Angola,1992,Africa,40.647,8735988,2627.8456850000002
Angola,1997,Africa,40.963,9875024,2277.140884
Angola,2002,Africa,41.003,10866106,2773.287312
Angola,2007,Africa,42.731,12420476,4797.231267
Argentina,1952,Americas,62.485,17876956,5911.315053
Argentina,1957,Americas,64.399,19610538,6856.856212000001
Argentina,1962,Americas,65.142,21283783,7133.166023000001
Argentina,1967,Americas,65.634,22934225,8052.953020999999
Argentina,1972,Americas,67.065,24779799,9443.038526
Argentina,1977,Americas,68.48100000000001,26983828,10079.026740000001
Argentina,1982,Americas,69.942,29341374,8997.897412
Argentina,1987,Americas,70.774,31620918,9139.671389
Argentina,1992,Americas,71.868,33958947,9308.41871
Argentina,1997,Americas,73.275,36203463,10967.28195
Argentina,2002,Americas,74.34,38331121,8797.640716
Argentina,2007,Americas,75.32,40301927,12779.379640000001
Australia,1952,Oceania,69.12,8691212,10039.595640000001
Australia,1957,Oceania,70.33,9712569,10949.64959
Australia,1962,Oceania,70.93,10794968,12217.226859999999
