default,student,balance,income
No,No,696,63952
No,No,1089,46890
No,No,753,29020
Yes,No,1801,24152
Yes,No,1975,38221
No,No,518,28231
No,No,499,56343
No,No,561,44403
No,Yes,1020,13094
No,No,28,35414
No,No,370,31231
Yes,No,1804,23096
No,No,1722,21623
No,No,0,24818
No,Yes,465,15625
No,No,1266,29698
No,No,628,38436
No,No,1037,38490
No,No,670,53666
No,No,711,40507
No,No,1133,39860
No,No,0,45560
No,No,674,46481
No,No,1381,47470
No,No,315,44690
No,No,31,42191
No,Yes,1559,22047
Yes,No,1902,53394
Yes,Yes,1878,17473
No,No,0,49792
No,Yes,1154,15221
Yes,No,1823,53526
No,No,214,33904
Yes,Yes,1957,18805
No,No,878,29561
No,No,1433,42798
No,No,405,28493
Yes,Yes,2205,14271
No,No,465,33998
No,No,765,39600
No,No,1118,30558
No,No,507,58027
Yes,No,1434,47311
No,Yes,1555,15957
Yes,Yes,1836,18944
No,No,1076,23632
Yes,No,1578,61220
Yes,No,2075,40882
No,No,1154,61794
Yes,Yes,2179,15302
No,No,217,26975
Yes,No,2073,52335
Yes,Yes,1748,13715
No,No,0,47447
No,No,795,25704
No,No,1124,46052
No,No,1172,34513
No,No,1006,33348
Yes,Yes,2117,12143
Yes,No,2023,32094
No,No,1626,61438
No,No,425,37351
No,No,1530,29479
Yes,No,1563,51704
No,No,576,41699
No,No,1105,35450
Yes,No,1530,30003
No,No,1575,45957
No,Yes,601,16266
No,Yes,792,21347
No,No,89,24086
No,No,1309,47432
No,Yes,153,17840
No,No,1167,34467
Yes,No,1028,40346
No,No,926,61937
Yes,Yes,1803,29100
No,No,1015,37952
Yes,Yes,1721,15179
Yes,Yes,2169,18195
Yes,Yes,2004,18860
Yes,Yes,1627,17546
Yes,No,1672,66466
Yes,No,1408,48012
No,No,891,43535
Yes,Yes,2352,24067
No,No,196,41346
No,No,1700,53844
No,No,1096,23954
No,No,748,45626
Yes,No,1889,48956
No,Yes,748,11613
No,No,1057,45099
Yes,No,1797,47068
No,No,561,37884
Yes,No,2040,50930
No,No,1001,32748
No,Yes,1282,22360
No,Yes,1436,27658
Yes,No,1741,35067
No,Yes,927,22473
No,Yes,953,18121
No,No,1363,35387
No,No,0,50861
No,No,373,30826
No,No,631,32752
Yes,Yes,1812,17962
No,No,308,39121
No,No,1358,50662
No,No,1422,38224
No,No,1373,22182
No,Yes,1969,23674
