region,name_th,name_en,population,area_km2,abbr,abbr3,iso
กลาง,ชัยนาท,Chai Nat,329722,2469.7,ชน,CNT,TH-18
กลาง,นครนายก,Nakhon Nayok,259342,2122,นย,NYK,TH-26
กลาง,นครปฐม,Nakhon Pathom,911492,2168.3,นฐ,NPT,TH-73
กลาง,นครสวรรค์,Nakhon Sawan,1065334,9597.7,นว,NSN,TH-60
กลาง,นนทบุรี,Nonthaburi,1229735,622.3,นบ,NBI,TH-12
กลาง,ปทุมธานี,Pathum Thani,1129115,1525.9,ปท,PTE,TH-13
กลาง,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,808360,2556.6,อย,AYA,TH-14
กลาง,พิจิตร,Phichit,541868,4531,พจ,PCT,TH-66
กลาง,พิษณุโลก,Phitsanulok,813852,10815.8,พล,PLK,TH-65
กลาง,เพชรบูรณ์,Phetchabun,996031,12668.4,พช,PNB,TH-67
กลาง,ลพบุรี,Lop Buri,755854,6199.8,ลบ,LRI,TH-16
กลาง,สมุทรปราการ,Samut Prakan,1310766,1004.1,สป,SPK,TH-11
กลาง,สมุทรสงคราม,Samut Songkhram,194057,416.7,สส,SKM,TH-75
กลาง,สมุทรสาคร,Samut Sakhon,491887,872.3,สค,SKN,TH-74
กลาง,สระบุรี,Saraburi,617384,3576.5,สบ,SRI,TH-19
กลาง,สิงห์บุรี,Sing Buri,214661,822.5,สห,SBR,TH-17
กลาง,สุโขทัย,Sukhothai,601778,6596.1,สท,STI,TH-64
กลาง,สุพรรณบุรี,Suphan Buri,845950,5358,สพ,SPB,TH-72
กลาง,อ่างทอง,Ang Thong,284970,968.4,อท,ATG,TH-15
กลาง,อุทัยธานี,Uthai Thani,327959,6730.3,อน,UTI,TH-61
ตะวันตก,กาญจนบุรี,Kanchanaburi,839776,19483.2,กจ,KRI,TH-71
ตะวันตก,ตาก,Tak,525684,16406.6,ตก,TAK,TH-63
ตะวันตก,ประจวบคีรีขันธ์,Prachuap Khiri Khan,509134,6367.6,ปข,PKN,TH-77
ตะวันตก,เพชรบุรี,Phetchaburi,464033,6225.1,พบ,PBI,TH-76
ตะวันตก,ราชบุรี,Ratchaburi,839075,5196.5,รบ,RBR,TH-70
ตะวันออก,จันทบุรี,Chanthaburi,514616,6338,จบ,CTI,TH-22
ตะวันออก,ฉะเชิงเทรา,Chachoengsao,673933,5351,ฉช,CCO,TH-24
ตะวันออก,ชลบุรี,Chon Buri,1509125,4363,ชบ,CBI,TH-20
ตะวันออก,ตราด,Trat,220921,2819,ตร,TRT,TH-23
ตะวันออก,ปราจีนบุรี,Prachin Buri,466572,4762.4,ปจ,PRI,TH-25
ตะวันออก,ระยอง,Rayong,626402,3552,รย,RYG,TH-21
ตะวันออก,สระแก้ว,Sa Kaeo,485632,7195.1,สก,SKW,TH-27
ตะวันออกเฉียงเหนือ,กาฬสินธุ์,Kalasin,982578,6946.7,กส,KSN,TH-46
ตะวันออกเฉียงเหนือ,ขอนแก่น,Khon Kaen,1767601,10886,ขก,KKN,TH-40
ตะวันออกเฉียงเหนือ,ชัยภูมิ,Chaiyaphum,1127423,12778.3,ชย,CPM,TH-36
ตะวันออกเฉียงเหนือ,นครพนม,Nakhon Phanom,703392,5512.7,นพ,NPM,TH-48
ตะวันออกเฉียงเหนือ,นครราชสีมา,Nakhon Ratchasima,2628818,20494,นม,NMA,TH-30
ตะวันออกเฉียงเหนือ,บึงกาฬ,Bueng Kan,385053,4305,บก,BKN,TH-38
ตะวันออกเฉียงเหนือ,บุรีรัมย์,Buri Ram,1553765,10322.9,บร,BRM,TH-31
ตะวันออกเฉียงเหนือ,มหาสารคาม,Maha Sarakham,940911,5291.7,มค,MKM,TH-44
ตะวันออกเฉียงเหนือ,มุกดาหาร,Mukdahan,339575,4339.8,มห,MDH,TH-49
ตะวันออกเฉียงเหนือ,ยโสธร,Yasothon,539542,4161.7,ยส,YST,TH-35
ตะวันออกเฉียงเหนือ,ร้อยเอ็ด,Roi Et,1309708,8299.4,รอ,RET,TH-45
ตะวันออกเฉียงเหนือ,เลย,Loei,624066,11424.6,ลย,LEI,TH-42
ตะวันออกเฉียงเหนือ,ศรีสะเกษ,Si Sa Ket,1452471,8840,ศก,SSK,TH-33
ตะวันออกเฉียงเหนือ,สกลนคร,Sakon Nakhon,1122905,9605.8,สน,SNK,TH-47
ตะวันออกเฉียงเหนือ,สุรินทร์,Surin,1381761,8124.1,สร,SRN,TH-32
ตะวันออกเฉียงเหนือ,หนองคาย,Nong Khai,912937,3027,นค,NKI,TH-43
ตะวันออกเฉียงเหนือ,หนองบัวลำภู,Nong Bua Lam Phu,502868,3859,นภ,NBP,TH-39
ตะวันออกเฉียงเหนือ,อุดรธานี,Udon Thani,1544786,11730.3,อด,UDN,TH-41
ตะวันออกเฉียงเหนือ,อุบลราชธานี,Ubon Ratchathani,1813088,15744.8,อบ,UBN,TH-34
ตะวันออกเฉียงเหนือ,อำนาจเจริญ,Amnat Charoen,372137,3161.2,อจ,ACR,TH-37
