month,brand,1300cc,1600cc,1800cc,2000cc,gt2000cc,elec,total
1,ALFA ROMEO,0,0,0,0,1,0,1
1,AUDI,0,2,0,14,0,0,16
1,BENTLEY,0,0,0,0,2,0,2
1,BMW,1,45,0,586,64,0,696
1,CADILLAC,0,0,0,0,1,0,1
1,CHERY,0,0,0,1,0,0,1
1,CHEVROLET,0,103,59,80,501,0,743
1,FERRARI,0,0,0,0,2,0,2
1,FIAT,0,3,0,0,1,0,4
1,FORD,73,525,0,40,2503,0,3141
1,HONDA,333,7500,3504,1467,232,0,13036
1,HYUNDAI,0,2,29,2,57,0,90
1,ISUZU,0,0,0,1747,2509,0,4256
1,JAGUAR,0,0,0,3,3,0,6
1,KIA,2,7,0,0,1,0,10
1,LAMBORGHINI,0,0,0,0,2,0,2
1,LAND ROVER,0,0,0,0,4,0,4
1,LEXUS,0,0,1,6,113,0,120
1,MASERATI,0,0,0,0,2,0,2
1,MAZDA,1306,839,0,1131,602,0,3878
1,MERCEDES BENZ,0,161,46,372,605,0,1184
1,MG,0,567,36,0,0,0,603
1,MINI COOPER,0,55,0,64,0,0,119
1,MITSUBISHI,1244,0,6,21,4658,0,5929
1,NISSAN,1542,572,50,573,549,0,3286
1,PEUGEOT,0,1,0,0,0,0,1
1,PORSCHE,0,0,0,7,53,0,60
1,PROTON,0,15,0,0,0,0,15
1,RANGE ROVER,0,0,0,0,4,0,4
1,ROLLS-ROYCE,0,0,0,0,1,0,1
1,SUBARU,0,0,0,290,16,0,306
1,SUZUKI,1557,95,0,0,0,0,1652
1,TATA,0,0,0,0,3,0,3
1,TOYOTA,4799,6199,1161,550,10327,0,23036
1,VOLKSWAGEN,2,1,0,5,0,0,8
1,VOLVO,0,25,0,78,8,0,111
1,อื่น ๆ ,0,0,0,0,3,1,4
2,ALFA ROMEO,0,0,0,0,1,0,1
2,AUDI,0,0,0,10,0,0,10
2,BMW,0,60,0,689,52,0,801
2,CHEVROLET,0,76,62,96,702,0,936
2,FERRARI,0,0,0,0,5,0,5
2,FIAT,0,0,0,0,1,0,1
2,FORD,63,564,0,45,2623,0,3295
2,HONDA,272,7771,2966,1292,276,0,12577
2,HYUNDAI,0,2,62,1,64,0,129
2,ISUZU,0,0,0,2604,1874,0,4478
2,JAGUAR,0,0,0,1,3,0,4
2,JEEP,0,0,0,0,3,0,3
2,KIA,0,7,0,0,2,0,9
2,LAMBORGHINI,0,0,0,0,5,0,5
2,LAND ROVER,0,0,0,0,5,0,5
2,LEXUS,0,0,1,4,87,0,92
2,MASERATI,0,0,0,0,1,0,1
2,MAZDA,1342,849,0,1246,621,0,4058
2,MERCEDES BENZ,0,193,42,475,672,0,1382
2,MG,0,573,49,0,0,0,622
2,MINI COOPER,1,58,0,61,0,0,120
2,MITSUBISHI,1354,0,5,21,4471,0,5851
2,MITSUOKA,0,0,0,2,1,0,3
2,NISSAN,1611,580,77,864,642,0,3774
2,PEUGEOT,0,17,0,1,0,0,18
2,PORSCHE,0,0,0,5,42,0,47
2,PROTON,0,14,0,0,0,0,14
2,RANGE ROVER,0,0,0,0,5,0,5
2,ROLLS-ROYCE,0,0,0,0,2,0,2
2,SKODA,0,1,0,0,0,0,1
2,SSANGYONG,0,0,0,3,0,0,3
2,SUBARU,0,0,0,276,6,0,282
2,SUZUKI,1488,96,0,1,0,0,1585
2,TATA,0,0,0,0,6,0,6
2,TOYOTA,4247,4110,816,481,9087,0,18741
2,VOLKSWAGEN,1,1,0,4,0,0,6
2,VOLVO,0,28,0,65,14,0,107
2,อื่น ๆ ,0,0,0,0,2,0,2
3,ALFA ROMEO,0,0,1,0,0,0,1
3,ASTON MARTIN,0,0,0,0,2,0,2
3,AUDI,0,0,0,15,1,0,16
3,BENTLEY,0,0,0,0,4,0,4
3,BMW,0,55,0,658,55,0,768
3,CHEVROLET,0,66,43,92,739,0,940
3,DAIHATSU,3,0,0,0,0,0,3
3,FERRARI,0,0,0,0,11,0,11
3,FORD,61,480,0,38,2668,0,3247
3,HONDA,234,6846,2249,970,226,0,10525
3,HYUNDAI,0,2,50,7,77,0,136
3,ISUZU,0,0,0,3340,1264,0,4604
3,JEEP,0,0,0,1,2,0,3
3,KIA,1,6,0,2,1,0,10
3,LAND ROVER,0,0,0,0,4,0,4
3,LEXUS,0,0,0,14,71,0,85
3,MAZDA,1435,911,0,1309,532,0,4187
3,MERCEDES BENZ,0,174,41,554,650,0,1419
3,MG,0,576,30,0,0,0,606
