Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
1,00:01:40.910000,David Rudisha,KEN,1988-12-17,1,London,2012-09-08,Men,800 m
2,00:01:41.010000,David Rudisha,KEN,1988-12-17,1,Rieti,2010-08-29,Men,800 m
3,00:01:41.090000,David Rudisha,KEN,1988-12-17,1,Berlin,2010-08-22,Men,800 m
4,00:01:41.110000,Wilson Kipketer,DEN,1970-12-12,1,Köln,1997-08-24,Men,800 m
5,00:01:41.240000,Wilson Kipketer,DEN,1970-12-12,1,Zürich,1997-08-13,Men,800 m
6,00:01:41.330000,David Rudisha,KEN,1988-12-17,1,Rieti,2011-10-09,Men,800 m
7,00:01:41.510000,David Rudisha,KEN,1988-12-17,1,Heusden-Zolder,2010-10-07,Men,800 m
8,00:01:41.540000,David Rudisha,KEN,1988-12-17,1,Saint-Denis,2012-06-07,Men,800 m
9,00:01:41.730000,Sebastian Coe,GBR,1956-09-29,1,Firenze,1981-10-06,Men,800 m
9,00:01:41.730000,Wilson Kipketer,DEN,1970-12-12,1,Stockholm,1997-07-07,Men,800 m
9,00:01:41.730000,Nijel Amos,BOT,1994-03-15,2,London,2012-09-08,Men,800 m
12,00:01:41.740000,David Rudisha,KEN,1988-12-17,1,New York City,2012-09-06,Men,800 m
13,00:01:41.770000,Joaquim Cruz,BRA,1963-03-12,1,Köln,1984-08-26,Men,800 m
14,00:01:41.830000,Wilson Kipketer,DEN,1970-12-12,1,Rieti,1996-01-09,Men,800 m
15,00:01:42.010000,David Rudisha,KEN,1988-12-17,1,Rieti,2009-06-09,Men,800 m
16,00:01:42.040000,David Rudisha,KEN,1988-12-17,1,Oslo,2010-04-06,Men,800 m
17,00:01:42.120000,David Rudisha,KEN,1988-12-17,1,Nairobi,2012-06-23,Men,800 m
18,00:01:42.150000,David Rudisha,KEN,1988-12-17,1,Rio de Janeiro,2016-08-15,Men,800 m
19,00:01:42.170000,Wilson Kipketer,DEN,1970-12-12,1,Tokyo,1996-09-16,Men,800 m
20,00:01:42.200000,Wilson Kipketer,DEN,1970-12-12,1,Bruxelles,1997-08-22,Men,800 m
21,00:01:42.230000,Abubaker Kaki Khamis,SUD,1989-06-21,2,Oslo,2010-04-06,Men,800 m
22,00:01:42.270000,Wilson Kipketer,DEN,1970-12-12,1,Bruxelles,1999-03-09,Men,800 m
23,00:01:42.280000,Sammy Koskei,KEN,1961-05-14,2,Köln,1984-08-26,Men,800 m
24,00:01:42.320000,Wilson Kipketer,DEN,1970-12-12,1,Rieti,2002-08-09,Men,800 m
25,00:01:42.330000,Sebastian Coe,GBR,1956-09-29,1,Oslo,1979-05-07,Men,800 m
26,00:01:42.340000,Joaquim Cruz,BRA,1963-03-12,1,Zürich,1984-08-22,Men,800 m
26,00:01:42.340000,Wilfred Bungei,KEN,1980-07-24,2,Rieti,2002-08-09,Men,800 m
28,00:01:42.370000,Mohammed Aman,ETH,1994-01-10,1,Bruxelles,2013-06-09,Men,800 m
29,00:01:42.410000,Joaquim Cruz,BRA,1963-03-12,1,Bruxelles,1984-08-24,Men,800 m
30,00:01:42.450000,Nijel Amos,BOT,1994-03-15,1,Monaco,2014-07-18,Men,800 m
31,00:01:42.470000,Yuriy Borzakovskiy,RUS,1981-04-12,1,Bruxelles,2001-08-24,Men,800 m
32,00:01:42.490000,Joaquim Cruz,BRA,1963-03-12,1,Koblenz,1985-08-28,Men,800 m
33,00:01:42.510000,Wilson Kipketer,DEN,1970-12-12,1,Nice,1996-10-07,Men,800 m
33,00:01:42.510000,Amel Tuka,BIH,1991-01-09,1,Monaco,2015-07-17,Men,800 m
35,00:01:42.520000,Wilfred Bungei,KEN,1980-07-24,1,Bruxelles,2003-05-09,Men,800 m
36,00:01:42.530000,Timothy Kitum,KEN,1994-11-20,3,London,2012-09-08,Men,800 m
36,00:01:42.530000,Mohammed Aman,ETH,1994-01-10,1,Zürich,2012-08-30,Men,800 m
36,00:01:42.530000,Pierre-Ambroise Bosse,FRA,1992-05-11,2,Monaco,2014-07-18,Men,800 m
39,00:01:42.540000,Joaquim Cruz,BRA,1963-03-12,1,Köln,1985-08-25,Men,800 m
40,00:01:42.550000,André Bucher,SUI,1976-10-19,1,Zürich,2001-08-17,Men,800 m
41,00:01:42.570000,Wilson Kipketer,DEN,1970-12-12,1,Monaco,1999-04-08,Men,800 m
42,00:01:42.580000,Vebjørn Rodal,NOR,1972-09-16,1,Atlanta,1996-07-31,Men,800 m
43,00:01:42.590000,Wilson Kipketer,DEN,1970-12-12,1,Monaco,1996-10-08,Men,800 m
44,00:01:42.600000,Johnny Gray,USA,1960-06-19,2,Koblenz,1985-08-28,Men,800 m
45,00:01:42.610000,Wilson Kipketer,DEN,1970-12-12,1,Zürich,1996-08-14,Men,800 m
45,00:01:42.610000,Wilson Kipketer,DEN,1970-12-12,1,Lausanne,1997-02-07,Men,800 m
45,00:01:42.610000,David Rudisha,KEN,1988-12-17,1,Monaco,2011-07-22,Men,800 m
45,00:01:42.610000,Taoufik Makhloufi,ALG,1988-04-29,2,Rio de Janeiro,2016-08-15,Men,800 m
49,00:01:42.620000,Patrick Ndururi,KEN,1969-01-12,2,Zürich,1997-08-13,Men,800 m
