CountryCode,IOC,FIFA,ShortName,TableName,LongName,Alpha2Code,CurrencyUnit,SpecialNotes,Region,IncomeGroup,Wb2Code,NationalAccountsBaseYear,NationalAccountsReferenceYear,SnaPriceValuation,LendingCategory,OtherGroups,SystemOfNationalAccounts,AlternativeConversionFactor,PppSurveyYear,BalanceOfPaymentsManualInUse,ExternalDebtReportingStatus,SystemOfTrade,GovernmentAccountingConcept,ImfDataDisseminationStandard,LatestPopulationCensus,LatestHouseholdSurvey,SourceOfMostRecentIncomeAndExpenditureData,VitalRegistrationComplete,LatestAgriculturalCensus,LatestIndustrialData,LatestTradeData,LatestWaterWithdrawalData
AFG,AFG,AFG,Afghanistan,Afghanistan,Islamic State of Afghanistan,AF,Afghan afghani,Fiscal year end: March 20; reporting period for national accounts data: FY (from 2013 are CY). National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.,South Asia,Low income,AF,2002/03,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,NA,NA,Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),1979,"Multiple Indicator Cluster Survey (MICS), 2010/11","Integrated household survey (IHS), 2008",NA,2013/14,NA,2013,2e3
ALB,ALB,ALB,Albania,Albania,Republic of Albania,AL,Albanian lek,NA,Europe & Central Asia,Upper middle income,AL,Original chained constant price data are rescaled.,1996,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2008/09","Living Standards Measurement Study Survey (LSMS), 2011/12",Yes,2012,2011,2013,2006
DZA,ALG,ALG,Algeria,Algeria,People's Democratic Republic of Algeria,DZ,Algerian dinar,NA,Middle East & North Africa,Upper middle income,DZ,1980,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 1995",NA,NA,2010,2013,2001
ASM,ASA,ASA,American Samoa,American Samoa,American Samoa,AS,U.S. dollar,NA,East Asia & Pacific,Upper middle income,AS,NA,NA,NA,NA,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011 (household consumption only).,NA,NA,Special trade system,NA,NA,2010,NA,NA,Yes,2007,NA,NA,NA
ADO,NA,NA,Andorra,Andorra,Principality of Andorra,AD,Euro,NA,Europe & Central Asia,High income: nonOECD,AD,2000,NA,Value added at basic prices (VAB),NA,NA,Country uses the 1968 System of National Accounts methodology.,NA,NA,NA,NA,Special trade system,NA,NA,2011. Population data compiled from administrative registers.,NA,NA,Yes,NA,NA,2006,NA
AGO,ANG,ANG,Angola,Angola,People's Republic of Angola,AO,Angolan kwanza,"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2002.",Sub-Saharan Africa,Upper middle income,AO,2002,NA,Value added at producer prices (VAP),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,199196,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2014,"Malaria Indicator Survey (MIS), 2011","Integrated household survey (IHS), 2008/09",NA,2015,NA,NA,2005
ATG,ANT,ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,AG,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,High income: nonOECD,AG,2006,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,NA,NA,Yes,2007,NA,2013,2005
ARB,NA,NA,Arab World,Arab World,Arab World,1A,NA,Arab World aggregate. Arab World is composed of members of the League of Arab States.,NA,NA,1A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG,ARG,ARG,Argentina,Argentina,Argentine Republic,AR,Argentine peso,The base year has changed to 2004.,Latin America & Caribbean,High income: nonOECD,AR,2004,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 2008 System of National Accounts methodology.,197184,NA,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2011/12","Integrated household survey (IHS), 2012",Yes,2013,2002,2013,2011
ARM,ARM,ARM,Armenia,Armenia,Republic of Armenia,AM,Armenian dram,NA,Europe & Central Asia,Lower middle income,AM,Original chained constant price data are rescaled.,1996,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,199095,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2010","Integrated household survey (IHS), 2012",Yes,2013/14,2008,2013,2012
