ID	Marital Status	Gender	Yearly Income	Children	Education	Occupation	Home Owner	Cars	Commute Distance	Region	Age	BikeBuyer
22711	Single	Male	30000	0	Partial College	Clerical	No	1	0-1 Miles	Europe	33	Yes
13555	Married	Female	40000	0	Graduate Degree	Clerical	Yes	0	0-1 Miles	Europe	37	Yes
28907	Married	Male	160000	5	Partial College	Professional	No	3	10+ Miles	Europe	55	No
2	Single	Male	160000	0	Graduate Degree	Management	Yes	2	0-1 Miles	Pacific	47	No
25410	Single	Female	70000	2	Bachelors	Skilled Manual	No	1	0-1 Miles	North America	38	Yes
4	Married	Female	120000	2	Bachelors	Management	Yes	3	2-5 Miles	North America	40	No
15756	Single	Female	70000	0	High School	Professional	Yes	2	5-10 Miles	Pacific	49	Yes
11085	Single	Female	60000	0	High School	Professional	No	2	5-10 Miles	North America	49	No
17974	Married	Female	30000	1	Bachelors	Clerical	Yes	0	2-5 Miles	Europe	38	Yes
21008	Single	Female	20000	1	Partial College	Manual	No	0	0-1 Miles	Europe	46	Yes
28985	Single	Male	50000	0	Bachelors	Management	No	2	1-2 Miles	North America	64	No
11087	Married	Female	70000	2	Partial College	Professional	No	0	0-1 Miles	North America	49	No
20434	Single	Male	60000	0	Partial College	Skilled Manual	No	2	1-2 Miles	North America	31	Yes
14902	Married	Female	40000	0	Partial College	Clerical	Yes	1	1-2 Miles	North America	50	Yes
11091	Married	Male	90000	0	Partial College	Professional	Yes	1	5-10 Miles	North America	49	No
11094	Single	Male	70000	0	Partial College	Skilled Manual	No	1	0-1 Miles	Pacific	44	No
18568	Single	Female	50000	2	Bachelors	Skilled Manual	Yes	1	2-5 Miles	North America	39	Yes
16366	Married	Female	40000	0	Partial College	Clerical	Yes	1	1-2 Miles	North America	51	Yes
20768	Single	Male	40000	0	Partial College	Clerical	Yes	1	1-2 Miles	North America	48	Yes
11098	Single	Female	60000	0	Partial College	Skilled Manual	No	1	0-1 Miles	Pacific	45	No
18269	Single	Female	60000	2	Bachelors	Professional	Yes	2	5-10 Miles	Pacific	43	Yes
11102	Single	Female	80000	5	Bachelors	Professional	Yes	4	1-2 Miles	Pacific	41	No
11113	Married	Male	70000	4	Bachelors	Professional	Yes	2	5-10 Miles	Pacific	44	No
26529	Single	Female	70000	0	Graduate Degree	Professional	Yes	0	2-5 Miles	North America	37	Yes
11114	Single	Female	70000	4	Partial College	Skilled Manual	Yes	2	5-10 Miles	Pacific	44	No
23612	Single	Female	90000	0	Partial College	Professional	No	2	2-5 Miles	Europe	62	Yes
11115	Married	Male	70000	4	Partial College	Skilled Manual	Yes	2	0-1 Miles	Pacific	44	No
11116	Married	Male	70000	4	Partial College	Skilled Manual	Yes	2	5-10 Miles	Pacific	44	No
11118	Single	Male	80000	0	Partial College	Skilled Manual	No	1	0-1 Miles	Pacific	49	No
19441	Single	Male	40000	0	Graduate Degree	Clerical	Yes	0	0-1 Miles	Europe	37	Yes
11103	Single	Female	70000	0	Bachelors	Professional	Yes	1	5-10 Miles	Pacific	42	Yes
