Rank,Title,RatingTomatometer,No. of Reviews,Genres
1,Black Panther (2018),97,444,action|adventure
2,Mad Max: Fury Road (2015),97,394,action|adventure
3,Wonder Woman (2017),93,410,action|adventure
4,Metropolis (1927),99,118,action|adventure
5,Coco (2017),97,308,action|adventure
6,Dunkirk (2017),92,413,action|adventure
7,Incredibles 2 (2018),94,332,action|adventure
8,Star Wars: The Last Jedi (2017),91,419,action|adventure
9,Logan (2017),93,371,action|adventure
10,Star Wars: Episode VII - The Force Awakens (2015),93,402,action|adventure
11,King Kong (1933),98,56,action|adventure
12,The Adventures of Robin Hood (1938),100,45,action|adventure
13,Thor: Ragnarok (2017),92,370,action|adventure
14,Baby Driver (2017),93,343,action|adventure
15,Zootopia (2016),97,268,action|adventure
16,Seven Samurai (Shichinin no Samurai) (1956),100,58,action|adventure
17,Spider-Man: Homecoming (2017),92,350,action|adventure
18,Up (2009),98,290,action|adventure
19,The Jungle Book (2016),95,307,action|adventure
20,War for the Planet of the Apes (2017),93,323,action|adventure
21,The Treasure of the Sierra Madre (1948),100,45,action|adventure
22,Lawrence of Arabia (1962),98,80,action|adventure
23,The Dark Knight (2008),94,332,action|adventure
24,Captain America: Civil War (2016),91,381,action|adventure
25,Jaws (1975),97,79,action|adventure
26,Harry Potter and the Deathly Hallows - Part 2 (2011),96,320,action|adventure
27,The Hurt Locker (2009),97,277,action|adventure
28,Aliens (1986),99,68,action|adventure
29,The LEGO Movie (2014),96,240,action|adventure
30,Skyfall (2012),92,362,action|adventure
31,Ant-Man and the Wasp (2018),88,364,action|adventure
32,Star Wars: Episode IV - A New Hope (1977),93,114,action|adventure
33,WALL-E (2008),96,252,action|adventure
34,Moana (2016),95,261,action|adventure
35,The Searchers (1956),100,42,action|adventure
36,Star Trek (2009),94,342,action|adventure
37,Kubo and the Two Strings (2016),97,207,action|adventure
38,The 39 Steps (1935),96,46,action|adventure
39,Rio Bravo (1959),100,40,action|adventure
40,The Terminator (1984),100,59,action|adventure
41,Mission: Impossible Rogue Nation (2015),93,300,action|adventure
42,Marvel's The Avengers (2012),92,340,action|adventure
43,The African Queen (1951),98,42,action|adventure
44,Star Wars: Episode V - The Empire Strikes Back (1980),95,92,action|adventure
45,Once Upon a Time in the West (1968),98,58,action|adventure
46,Apocalypse Now (1979),96,85,action|adventure
47,Blade Runner 2049 (2017),87,389,action|adventure
48,The French Connection (1971),98,55,action|adventure
49,True Grit (2010),96,270,action|adventure
50,Isle of Dogs (2018),89,314,action|adventure
51,Throne of Blood (1957),98,42,action|adventure
52,"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes) (1972)",98,46,action|adventure
53,Badlands (1974),98,52,action|adventure
54,Avengers: Infinity War (2018),84,408,action|adventure
55,Yellow Submarine (1968),97,59,action|adventure
56,Guardians of the Galaxy (2014),91,306,action|adventure
57,Iron Man (2008),93,274,action|adventure
58,Chicken Run (2000),97,170,action|adventure
59,Spartacus (1960),96,54,action|adventure
60,The Princess Bride (1987),97,71,action|adventure
61,Hunt for the Wilderpeople (2016),96,185,action|adventure
62,Ghostbusters (1984 Original) (1984),97,71,action|adventure
63,Goldfinger (1964),97,60,action|adventure
64,Paths of Glory (1957),95,55,action|adventure
65,Casino Royale (2006),94,252,action|adventure
66,All Is Lost (2013),94,228,action|adventure
67,Ran (1985),96,80,action|adventure
68,The Lego Batman Movie (2017),90,289,action|adventure
69,Doctor Strange (2016),89,338,action|adventure
70,A Fistful of Dollars (Per un Pugno di Dollari) (1964),98,47,action|adventure
71,Assault on Precinct 13 (1976),98,42,action|adventure
72,X-Men: Days of Future Past (2014),90,306,action|adventure
73,No Country for Old Men (2007),93,279,action|adventure
74,The Lord of the Rings: The Two Towers (2002),95,250,action|adventure
75,Looper (2012),93,257,action|adventure
76,Back to the Future (1985),96,77,action|adventure
77,The Right Stuff (1983),98,46,action|adventure
78,Gojira (1956),93,70,action|adventure
79,"Crouching Tiger, Hidden Dragon (2001)",97,153,action|adventure
80,The Fugitive (1993),96,74,action|adventure
81,Dawn Of The Planet Of The Apes (2014),90,297,action|adventure
82,Mad Max 2: The Road Warrior (1982),98,43,action|adventure
83,Mandy (2018),92,213,action|adventure
84,Who Framed Roger Rabbit (1988),97,63,action|adventure
85,Annihilation (2018),89,271,action|adventure
86,Close Encounters of the Third Kind (1977),96,57,action|adventure
87,Diva (1981),98,48,action|adventure
88,The Bridge on the River Kwai (1957),94,54,action|adventure
89,Babe (1995),97,70,action|adventure
90,Dr. No (1962),96,54,action|adventure
91,The Lion King (1994),93,123,action|adventure
92,Sicario (2015),92,250,action|adventure
93,Jurassic Park (1993),91,123,action|adventure
94,In the Line of Fire (1993),96,67,action|adventure
95,Raiders of the Lost Ark (1981),95,75,action|adventure
96,From Russia With Love (1964),96,55,action|adventure
97,Superman (1978),94,65,action|adventure
98,Saving Private Ryan (1998),93,137,action|adventure
99,The Lord of the Rings: The Return of the King (2003),93,270,action|adventure
100,Embrace Of The Serpent (El Abrazo De La Serpiente) (2016),96,139,action|adventure
1,Inside Out (2015),98,347,animation
2,Coco (2017),97,308,animation
3,Paddington 2 (2018),100,216,animation
4,Incredibles 2 (2018),94,332,animation
5,Snow White and the Seven Dwarfs (1937),98,47,animation
6,Toy Story 2 (1999),100,163,animation
7,Zootopia (2016),97,268,animation
8,Up (2009),98,290,animation
9,Toy Story 3 (2010),98,299,animation
10,Finding Nemo (2003),99,262,animation
11,Pinocchio (1940),100,47,animation
12,Finding Dory (2016),94,309,animation
13,Toy Story (1995),100,81,animation
14,The LEGO Movie (2014),96,240,animation
15,WALL-E (2008),96,252,animation
16,Moana (2016),95,261,animation
17,Kubo and the Two Strings (2016),97,207,animation
18,Shaun the Sheep Movie (2015),99,160,animation
19,Ratatouille (2007),96,246,animation
20,Only Yesterday (1991),100,53,animation
21,How to Train Your Dragon (2010),98,205,animation
22,Isle of Dogs (2018),89,314,animation
23,The Incredibles (2004),97,239,animation
24,Yellow Submarine (1968),97,59,animation
25,Beauty and the Beast (1991),94,113,animation
