month	habit
Jan	ใจแข็ง จริงจัง ทะเยอทะยาน ดื้อ ชอบวิจารณ์ ทำงานเก่ง ฉลาด เจ้าระเบียบ
Feb	รักอิสระ ขี้รำคาญ โลกส่วนตัวสูง อารมณ์เปลี่ยนง่าย มีเสน่ห์ แอบเซ็กซี่
Mar	เป็็นตัวของตัวเอง ลึกลับ ใจกว้าง ขี้สงสาร รักความสงบ โกธรง่ายหายเร็ว
Apr	ตัดสินใจเร็ว แต่มักจะเสียใจในภายหลังอยู่บ่อย ๆ เป็นคนมีชีวิตชีวา
May	ใจแข็ง ปากแข็ง เอาแต่ใจ ทำงานเก่ง ลางสังหรณ์แม่นยำ รักศิลปะ
Jun	วิสัยทัศน์กว้างไกล ช่างฝัน ไอเดียดี ความรู้สึกไว สุภาพ นุ่มนวล
Jul	เป็นคนเฮฮา เพื่อนเยอะ มีความมุ่งมั่น พูดจาน่าฟัง อ่อนไหวง่าย
Aug	อ่อนโยน ห่วงใยคนอื่น เป็นคนตลก มีความเป็นผุ้นำ เก่งงานศิลปะ ดนตรี
Sep	ประนีประนอมเก่ง ความรู้สึกไว เจ้าระเบียบ ความจำดี ชอบเดินทาง
Oct	ชอบพูด บุคลิกดี ให้ความสำคัญกับเพื่อนเป็นที่หนึ่ง ขี้งอน ดื้อ รักศิลปะ รักเด็ก
Nov	มีไอเดียแปลกใหม่ พูดน้อย เก็บความลับเก่ง รักสันโดษ โรเเมนติก 
Dec	ใจกว้าง เซ็กซี่ มีทักษะผู้นำสูง ผู้คนเคารพนับถือ ชอบเข้าสังคม
