Date,SET
1975-04-30,100
1975-05-31,89.98
1975-06-30,91.64
1975-07-31,98.02
1975-08-31,98.39
1975-09-30,92.1
1975-10-31,91.1
1975-11-30,89.07
1975-12-31,84.07
1976-01-31,82.55
1976-02-29,80.9
1976-03-31,77.57
1976-04-30,80.7
1976-05-31,78.12
1976-06-30,77.63
1976-07-31,78.38
1976-08-31,79.92
1976-09-30,79.65
1976-10-31,80.08
1976-11-30,80.66
1976-12-31,82.69
1977-01-31,87.55
1977-02-28,89.95
1977-03-31,97.68
1977-04-30,101.24
1977-05-31,104.15
1977-06-30,113.47
1977-07-31,127.8
1977-08-31,150.07
1977-09-30,149.93
1977-10-31,192.62
1977-11-30,182.45
1977-12-31,181.58
1978-01-31,201.01
1978-02-28,202.05
1978-03-31,188.61
1978-04-30,182.38
1978-05-31,187.91
1978-06-30,189.99
1978-07-31,184.75
1978-08-31,194.18
1978-09-30,206.93
1978-10-31,242.85
1978-11-30,239.8
1978-12-31,257.73
1979-01-31,239.81
1979-02-28,229.43
1979-03-31,218.09
1979-04-30,175.88
1979-05-31,183.72
1979-06-30,175.58
1979-07-31,175.09
1979-08-31,170.91
1979-09-30,169.32
1979-10-31,158.47
1979-11-30,152.45
1979-12-31,149.4
1980-01-31,136.84
1980-02-29,137.91
1980-03-31,138.25
1980-04-30,129.63
1980-05-31,124.11
1980-06-30,127.81
1980-07-31,126.61
1980-08-31,120.36
1980-09-30,118.87
1980-10-31,119.04
1980-11-30,127.88
1980-12-31,124.67
1981-01-31,126.88
1981-02-28,127.05
1981-03-31,124.31
1981-04-30,121.62
1981-05-31,116.99
1981-06-30,112.41
1981-07-31,111.61
1981-08-31,104.68
1981-09-30,105.12
1981-10-31,105.04
1981-11-30,108.35
1981-12-31,106.62
1982-01-31,106.77
1982-02-28,106.16
1982-03-31,102.98
1982-04-30,104.89
1982-05-31,105.83
1982-06-30,106.61
1982-07-31,108.16
1982-08-31,124.09
1982-09-30,126.24
1982-10-31,127.49
1982-11-30,120.84
1982-12-31,123.5
1983-01-31,125.8
1983-02-28,125.03
1983-03-31,131.33
1983-04-30,137.27
1983-05-31,138.04
1983-06-30,139.88
1983-07-31,148.36
1983-08-31,144.73
1983-09-30,142.04
1983-10-31,138.6
1983-11-30,136.31
1983-12-31,134.47
1984-01-31,133.77
1984-02-29,131.4
1984-03-31,130.09
1984-04-30,132.73
1984-05-31,131.64
1984-06-30,133.14
1984-07-31,132.24
1984-08-31,132.89
1984-09-30,132.89
1984-10-31,135.84
1984-11-30,143.22
1984-12-31,142.29
1985-01-31,139.65
1985-02-28,139.47
1985-03-31,145.11
1985-04-30,151.14
1985-05-31,155.02
1985-06-30,155.19
1985-07-31,158.08
1985-08-31,150.71
1985-09-30,146.74
1985-10-31,146.11
1985-11-30,142.11
1985-12-31,134.95
1986-01-31,139.02
1986-02-28,136.5
1986-03-31,129.85
1986-04-30,129.54
1986-05-31,129.08
1986-06-30,131.51
1986-07-31,141.51
1986-08-31,149.84
1986-09-30,162.37
1986-10-31,183.77
1986-11-30,186.46
1986-12-31,207.2
1987-01-31,209.92
1987-02-28,208.79
1987-03-31,228.97
1987-04-30,250.19
1987-05-31,269.07
1987-06-30,299.87
1987-07-31,313.96
1987-08-31,353.15
1987-09-30,428.19
1987-10-31,299.83
1987-11-30,290.42
1987-12-31,284.94
1988-01-31,318.87
1988-02-29,374.83
1988-03-31,388.9
1988-04-30,413.91
1988-05-31,424.93
1988-06-30,452.7
1988-07-31,457.01
1988-08-31,436.55
1988-09-30,444.61
1988-10-31,418.74
1988-11-30,392.86
1988-12-31,386.73
1989-01-31,433.68
1989-02-28,435.78
1989-03-31,440.88
1989-04-30,500.21
1989-05-31,552.54
1989-06-30,606.21
1989-07-31,624.13
1989-08-31,681.92
1989-09-30,689.51
1989-10-31,695.01
1989-11-30,769.83
1989-12-31,879.19
1990-01-31,853.72
1990-02-28,813.67
1990-03-31,851.53
1990-04-30,855.97
1990-05-31,1000.71
1990-06-30,1060.22
1990-07-31,1115.73
1990-08-31,862.75
1990-09-30,641.56
1990-10-31,649.37
1990-11-30,544.3
1990-12-31,612.86
1991-01-31,658.47
1991-02-28,769.13
1991-03-31,865.74
1991-04-30,876.01
