title_id,title,complete_title,release_year,rating,rater,casts,casts_slug,genres,tags,screenwriter,director,poster,synopsis,country,type,episodes,aired,aired_on,original_network,duration,score,ranked,popularity,content_rating,watchers
739603-sparkling-watermelon,Twinkling Watermelon,Twinkling Watermelon (2023),2023,9.2,30340,Ryeoun|Choi Hyun Wook|Seol In Ah|Shin Eun Soo|Kim Joo Ryoung|Bong Jae Hyun,/people/23633-ryeo-woon|/people/40661-choi-hyun-wook|/people/14261-seol-in-ah|/people/13190-shin-eun-soo|/people/5355-kim-joo-ryung|/people/16044-bong-jae-hyun,Romance|Youth|Drama|Fantasy,Time Travel|Child From The Future|Sign Language|Father-Son Relationship|Deafness|Music|1990s|Coming Of Age|Comedy|Student Female Lead (Vote or add tags),Jin Soo Wan,Son Jung Hyun,https://i.mydramalist.com/2w44jE_4c.jpg,"In 2023, Eun Gyeol is a CODA (Child of Deaf Adults) high-school student, but he has a passion for music. During the day, he is a studious model pupil, but at night, he rocks out as a guitarist in a band. But when he stumbles across a strange yet alluring music store, he goes hurtling back in time to 1995. Here, he comes face to face with his father, Ha Yi Chan – as a high schooler! Yi Chan takes Eun Gyeol for a lunatic when the latter calls him “dad”. Worse still, it looks like Yi Chan has a crush on an icy cellist named Se Kyeong – not his future mother, Cheong Ah! In a bid to put things “right,” Eun Gyeol joins a band fronted by his future father. But will this be enough to help Eun Gyeol bring his future parents together... and will he ever get back to the 2020s?(Source: Viki)",South Korea,Drama,16,"Sep 25, 2023 - Nov 14, 2023","Monday, Tuesday",TVING tvN,1 hr. 10 min.,"9.2 (scored by 30,340 users)",16,152,15+ - Teens 15 or older,59645
49231-move-to-heaven,Move to Heaven,Move to Heaven (2021),2021,9.1,44372,Lee Je Hoon|Tang Jun Sang|Hong Seung Hee|Jung Suk Yong|Jung Young Joo|Lee Moon Shik,/people/1810-lee-je-hoon|/people/10227-tang-jun-sang|/people/26995-hong-seung-hee|/people/3564-jung-seok-yong|/people/17136-jung-young-joo|/people/379-lee-moon-shik,Life|Drama,Uncle-Nephew Relationship|Autism|Death|Tearjerker|Mourning|Savant Syndrome|Life Lesson|Cleaning And Organizing|Asperger’s Syndrome|Autistic Male Lead (Vote or add tags),Yoon Ji Ryun,Kim Sung Ho,https://i.mydramalist.com/Rle36_4c.jpg,"Han Geu Roo is an autistic 20-year-old. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people, and deliver them to the bereaved family.When Geu Roo's father dies, Geu Roo's guardianship passes to his uncle, ex-convict Cho Sang Gu, who is a martial arts fighter in underground matches. Per the father's will, Sang Gu must care for and work with Geu Roo in “Move To Heaven” for three months to gain full guardianship and claim the inheritance. Eying money, Sang Gu agrees to the conditions and moves in.(Source: MyDramaList)~~ Adapted from the nonfiction essay ""Things Left Behind"" by professional trauma cleaner Kim Sae Byul.",South Korea,Drama,10,"May 14, 2021",Friday,Netflix,52 min.,"9.1 (scored by 44,372 users)",22,65,18+ Restricted (violence & profanity),89948
702267-weak-hero,Weak Hero Class 1,Weak Hero Class 1 (2022),2022,9.1,36551,Park Ji Hoon|Choi Hyun Wook|Hong Kyung|Kim Su Gyeom|Lee Yeon|Shin Seung Ho,/people/16211-park-ji-hoon|/people/40661-choi-hyun-wook|/people/15693-hong-kyung|/people/45409-kim-su-gyeom|/people/34743-lee-yeon|/people/19705-shin-seung-ho,Action|Youth|Drama,Skilled Fighter|Violence|Adapted From A Webtoon|Friendship|School Bullying|Bromance|Fight|High School|Introverted Male Lead|Gang (Vote or add tags),,Park Dhan Hee,https://i.mydramalist.com/pq2lr_4c.jpg,"Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school. (Source: Asianwiki)~~ Adapted from the webtoon “Weak Hero” (약한영웅) written by SeoPass (서패스) and illustrated by Kim Jin Seok  (김진석). ~~ Release dates: Oct 7, 2022 (Festival) || Nov 18, 2022 (Online)",South Korea,Drama,8,"Nov 18, 2022",Friday,Wavve,40 min.,"9.1 (scored by 36,551 users)",26,101,18+ Restricted (violence & profanity),74083
57173-hospital-playlist-2,Hospital Playlist Season 2,Hospital Playlist Season 2 (2021),2021,9.1,29124,Jo Jung Suk|Yoo Yeon Seok|Jung Kyung Ho|Kim Dae Myung|Jeon Mi Do|Shin Hyun Been,/people/1974-jo-jung-suk|/people/1908-yoo-yeon-seok|/people/698-jung-kyung-ho|/people/7712-kim-dae-myung|/people/30283-jeun-mi-do|/people/1510-shin-hyun-bin,Romance|Life|Drama|Medical,Multiple Mains|Band|Music|Multiple Couples|Comedy|Illness|Strong Female Lead|Bromance|Divorced Male Lead|Long Distance Relationship (Vote or add tags),Lee Woo Jung,Shin Won Ho,https://i.mydramalist.com/dKY0d_4c.jpg,"Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.(Source: Netflix)",South Korea,Drama,12,"Jun 17, 2021 - Sep 16, 2021",Thursday,Netflix tvN,1 hr. 40 min.,"9.1 (scored by 29,124 users)",27,137,15+ - Teens 15 or older,62496
25560-moving,Moving,Moving (2023),2023,9.1,24097,Ryu Seung Ryong|Han Hyo Joo|Zo In Sung|Cha Tae Hyun|Ryu Seung Beom|Kim Sung Kyun,/people/960-ryu-seung-ryong|/people/300-han-hyo-joo|/people/433-jo-in-sung|/people/284-cha-tae-hyun|/people/1271-ryu-seung-beom|/people/3044-kim-sung-kyun,Action|Thriller|Mystery|Supernatural,Graphic Violence|Supernatural Power|Romance|Student Female Lead|Student Male Lead|Family Relationship|Past And Present|Multiple Mains|Fantasy|Suspense (Vote or add tags),Kang Full,Park In Je,https://i.mydramalist.com/x4kN8X_4c.jpg,"Kim Bong Seok, Jang Hee Soo, and Lee Gang Hoon, seemingly typical high school students, bear extraordinary inherited powers. Bong Seok can fly, Hee Soo possesses exceptional athleticism and rapid injury recovery, and Gang Hoon wields uncanny strength and speed. As they conceal their gifts, their parents fight to shield them from exploitation by others, navigating a delicate balance between secrecy and protection.(Source: MyDramaList)~~ Adapted from the webtoon “Moving” (무빙) by Kang Full (강풀).",South Korea,Drama,20,"Aug  9, 2023 - Sep 20, 2023",Wednesday,Disney+ Hulu,47 min.,"9.1 (scored by 24,097 users)",30,181,18+ Restricted (violence & profanity),53236
54625-flower-of-evil,Flower of Evil,Flower of Evil (2020),2020,9.1,59503,Lee Joon Gi|Moon Chae Won|Jang Hee Jin|Seo Hyun Woo|Nam Ki Ae|Son Jong Hak,/people/207-lee-joon-gi|/people/1220-moon-chae-won|/people/638-jang-hee-jin|/people/6962-seo-hyun-woo|/people/12012-nam-ki-ae|/people/9446-son-jong-hak,Thriller|Romance|Crime|Melodrama,Family Secret|Psychological|Mystery|Suspense|Hidden Personality|Antisocial Personality Disorder|Investigation|Deception|Smart Female Lead|Murder (Vote or add tags),Yoo Jung Hee,Kim Chul Gyu|Yoon Jong Ho,https://i.mydramalist.com/WAEAp_4c.jpg,"Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and doting father to his young daughter. But his perfect façade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hee Sung’s behavior and begins to wonder if he could possibly be hiding something from her. (Source: MyDramaList)",South Korea,Drama,16,"Jul 29, 2020 - Sep 23, 2020","Wednesday, Thursday",tvN,1 hr. 10 min.,"9.1 (scored by 59,503 users)",31,26,15+ - Teens 15 or older,126276
52939-can-this-person-be-translated,Alchemy of Souls,Alchemy of Souls (2022),2022,9.1,52843,Lee Jae Wook|Jung So Min|Hwang Min Hyun|Shin Seung Ho|Yoo  Joon Sang|Oh Na Ra,/people/22279-lee-jae-wook|/people/346-jung-so-min|/people/9607-hwang-min-hyun|/people/19705-shin-seung-ho|/people/2422-yoo-joon-sang|/people/2915-oh-na-ra,Action|Historical|Romance|Fantasy,Transmigration|Master-Disciple Relationship|Multiple Mains|Hidden Identity|Supernatural|Body Swap|Elemental Power|Strong Female Lead|Fake Identity|Comedy (Vote or add tags),Hong Jung Eun|Hong Mi Ran,Park Joon Hwa,https://i.mydramalist.com/Beg4z_4c.jpg,"Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.It follows the story of an elite assassin named Naksu, whose soul is accidentally trapped inside the weak body of Mu Deok—Jang Uk's servant from a powerful and noble mage family in the country. The young master of the Jang Family, Jang Uk, holds a dark secret about his scandalous birth. He wants the formidable assassin to help change his destiny.(Source: Soompi; The Korea Herald)",South Korea,Drama,20,"Jun 18, 2022 - Aug 28, 2022","Saturday, Sunday",Netflix tvN,1 hr. 20 min.,"9.1 (scored by 52,843 users)",33,51,15+ - Teens 15 or older,98809
36269-doctor-playbook,Hospital Playlist,Hospital Playlist (2020),2020,9.1,45756,Jo Jung Suk|Yoo Yeon Seok|Jung Kyung Ho|Kim Dae Myung|Jeon Mi Do|Shin Hyun Been,/people/1974-jo-jung-suk|/people/1908-yoo-yeon-seok|/people/698-jung-kyung-ho|/people/7712-kim-dae-myung|/people/30283-jeun-mi-do|/people/1510-shin-hyun-bin,Romance|Life|Drama|Medical,Multiple Mains|Slow Romance|Multiple Couples|Friendship|Bromance|Slight Romance|Strong Female Lead|Healing|Nice Male Lead|Music (Vote or add tags),Lee Woo Jung|Kim Song Hee,Shin Won Ho,https://i.mydramalist.com/RXXL6_4c.jpg,"The stories of people going through their days are seemingly ordinary but actually special at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets its ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.(Source: Korean = Naver || Translation = YeoNiverse at MyDramaList)",South Korea,Drama,12,"Mar 12, 2020 - May 28, 2020",Thursday,Netflix tvN,1 hr. 30 min.,"9.1 (scored by 45,756 users)",36,42,15+ - Teens 15 or older,102791
13544-reply-1988,Reply 1988,Reply 1988 (2015),2015,9.1,46160,Lee Hye Ri|Go Kyung Pyo|Ryu Jun Yeol|Park Bo Gum|Lee Dong Hwi|Sung Dong Il,/people/2664-hyeri|/people/2374-go-kyung-pyo|/people/9534-ryu-joon-yeol|/people/4157-park-bo-gum|/people/7505-lee-dong-hwi|/people/1113-sung-dong-il,Comedy|Romance|Life|Youth,Nostalgia|Multiple Couples|Poor Family|Love Triangle|Friendship|High School|Mother-Son Relationship|Coming Of Age|Bromance|Poor Female Lead (Vote or add tags),Lee Woo Jung|Kim Song Hee,Shin Won Ho|Yoo Hak Chan,https://i.mydramalist.com/EVe0p_4c.jpg,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight. Sung Sun Woo is the perfect student, student council president and a caring and dependable son in his family. Ryu Dong Ryong is a geek who knows more about girls and life than the rest of his friends, but his poor academic score prevents him from being able to go to college. Choi Taek is a genius baduk player who dropped out of school to go professional. As the group of friends gets into and out of mischief around the neighborhood, what experiences from these memorable times together will they carry with them into their future lives? (Source: Viki)",South Korea,Drama,20,"Nov  6, 2015 - Jan 16, 2016","Friday, Saturday",tvN,1 hr. 35 min.,"9.1 (scored by 46,160 users)",40,41,15+ - Teens 15 or older,106375
25172-my-ajusshi,My Mister,My Mister (2018),2018,9.0,28039,Lee Sun Kyun|IU|Park Ho San|Song Sae Byuk|Lee Ji Ah|Kim Young Min,/people/441-lee-sun-gyun|/people/426-iu|/people/10727-park-ho-san|/people/1989-song-sae-byeok|/people/1106-lee-ji-ah|/people/5404-kim-young-min,Psychological|Life|Drama,Nice Male Lead|Depression|Healing|Poor Female Lead|Strong Female Lead|Infidelity|Lying|Power Struggle|Deception|Grandma-Granddaughter Relationship (Vote or add tags),Park Hae Young,Kim Won Suk|Kim Sang Woo,https://i.mydramalist.com/2lb8k_4c.jpg,"Park Dong Hoon is a middle-aged engineer who is married to attorney Kang Yoon Hee. However, his life is not that happy as he has two unemployed brothers, Sang Hoon and Gi Hoon, who rely on him. Moreover, his wife is secretly having an affair with CEO Do Joon Yeong, his current boss and college junior.Receiving an unexpected bribe one day, Dong Hoon notices that his co-worker Lee Ji An witnessed the incident. Ji An is a young part-time worker at Dong Hoon's company who is drowning in debt and left alone to take care of her ill grandmother. Dong Hoon then gets entangled in his brothers' struggle to get back on their feet and the company's internal rivalry between the company's CEO and the people opposing him. All the while, unaware that CEO Joon Yeong wants to get rid of him and that Ji An is working for him.(Source: MyDramaList)",South Korea,Drama,16,"Mar 21, 2018 - May 17, 2018","Wednesday, Thursday",tvN,1 hr. 17 min.,"9.0 (scored by 28,039 users)",48,100,15+ - Teens 15 or older,75365
