Year,Month,DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,CRSDepTime,DepDelay,DepDel15,CRSArrTime,ArrDelay,ArrDel15,Cancelled
2013,4,8,1,US,13303,11057,0640,1,0,0847,-8,0,0
2013,7,8,1,9E,11193,11433,1750,0,0,1905,22,1,0
2013,9,17,2,DL,10397,13495,1501,-1,0,1538,-11,0,0
2013,7,21,7,WN,13232,11066,0910,0,0,1115,-4,0,0
2013,8,23,5,OO,12892,14679,1530,-4,0,1623,-7,0,0
2013,9,26,4,US,14107,11057,1350,-1,0,2050,-19,0,0
2013,4,20,6,B6,13204,14843,0720,-5,0,1001,-3,0,0
2013,8,22,4,OO,11292,13891,1212,4,0,1328,-5,0,0
2013,9,11,3,MQ,11042,12953,0755,-6,0,0929,-12,0,0
2013,10,3,4,US,14107,14747,1020,-6,0,1326,5,0,0
2013,5,15,3,DL,13198,13487,0700,-3,0,0825,-16,0,0
2013,9,2,1,WN,13198,13796,1400,-1,0,1540,-22,0,0
2013,4,2,2,WN,15016,10693,0805,-4,0,0905,1,0,0
2013,10,29,2,DL,14869,14107,1358,-2,0,1435,-4,0,0
2013,6,17,1,9E,11433,11042,1035,-7,0,1132,-12,0,0
2013,8,19,1,WN,14107,10800,1855,4,0,2015,6,0,0
2013,6,1,6,WN,11292,14831,0830,-3,0,1005,-6,0,0
2013,9,22,7,AA,13303,13930,2110,31,1,2315,21,1,0
2013,10,15,2,AS,12889,14057,0705,-10,0,0919,-9,0,0
2013,9,4,3,WN,13204,14730,1050,87,1,1250,85,1,0
2013,4,19,5,AA,14107,11298,1115,8,0,1540,-6,0,0
2013,5,9,4,DL,10397,10721,1915,89,1,2156,91,1,0
2013,9,11,3,US,13796,14107,1225,-10,0,1416,-14,0,0
2013,10,23,3,WN,10693,13495,1240,19,1,1405,21,1,0
2013,6,23,7,AS,13204,14747,1850,-8,0,2154,-34,0,0
2013,6,23,7,EV,11618,10397,1950,0,0,2215,2,0,0
2013,5,29,3,AS,14747,14107,2115,-9,0,2355,-30,0,0
2013,6,27,4,AA,11298,14893,2135,61,1,2305,58,1,0
2013,6,25,2,DL,13244,10397,0600,10,0,0817,3,0,0
2013,10,4,5,AA,14831,11298,0620,-7,0,1155,-22,0,0
2013,7,12,5,WN,13198,11292,0705,-1,0,0745,-7,0,0
2013,6,9,7,WN,11618,13232,2030,-2,0,2155,-3,0,0
2013,4,9,2,VX,12892,14747,0920,-3,0,1200,15,1,0
2013,10,5,6,MQ,13931,13303,1850,-1,0,2120,-5,0,0
2013,5,5,7,WN,13342,10721,0730,-5,0,1045,-2,0,0
2013,9,12,4,WN,13495,10821,0800,-6,0,1125,6,0,0
2013,5,19,7,AA,14679,11298,1530,52,1,2030,39,1,0
2013,10,28,1,UA,12266,12892,1029,35,1,1210,27,1,0
2013,10,11,5,F9,14771,11292,0610,3,0,0940,7,0,0
2013,10,5,6,EV,11298,11042,0750,1,0,1128,12,0,0
2013,9,4,3,UA,12264,14771,0855,-4,0,1152,-31,0,0
2013,6,20,4,WN,11433,15016,1950,3,0,2020,-2,0,0
2013,5,16,4,DL,11433,12889,1520,-3,0,1648,-18,0,0
2013,8,12,1,DL,11278,10397,1600,-8,0,1752,36,1,0
2013,8,30,5,DL,10821,14869,0725,-7,0,1001,-26,0,0
2013,5,12,7,WN,13342,11292,0620,-3,0,0750,-8,0,0
2013,7,25,4,AA,11298,14683,1935,8,0,2040,3,0,0
2013,8,16,5,WN,10821,14730,1245,42,1,1425,32,1,0
2013,7,20,6,EV,10397,11618,1228,45,1,1454,36,1,0
2013,8,17,6,AA,11298,15016,0840,-7,0,1020,-13,0,0
2013,4,12,5,UA,11618,15304,1540,35,1,1827,53,1,0
2013,8,30,5,UA,14908,14771,1355,3,0,1520,0,0,0
2013,10,20,7,AA,12889,11298,1410,2,0,1855,15,1,0
2013,4,20,6,F9,11292,14057,2059,8,0,2233,18,1,0
2013,7,26,5,US,14057,14107,0850,25,1,1122,22,1,0
2013,5,7,2,MQ,10792,13930,1540,-3,0,1625,-17,0,0
2013,10,28,1,B6,10721,12451,1925,-10,0,2221,-9,0,0
2013,10,21,1,UA,11292,13930,1123,18,1,1448,42,1,0
2013,9,30,1,WN,10140,12191,1330,-3,0,1625,-7,0,0
2013,8,13,2,DL,13796,14869,1320,-3,0,1559,-12,0,0
2013,6,21,5,FL,14122,10397,1700,-5,0,1837,-6,0,0
2013,5,21,2,DL,10397,15304,1725,2,0,1856,-12,0,0
2013,9,30,1,DL,10397,12478,1502,13,0,1735,1,0,0
2013,9,26,4,DL,12892,11193,2322,-1,0,0634,-14,0,0
2013,6,27,4,DL,10397,14107,0805,2,0,0859,-14,0,0
2013,6,17,1,DL,13198,14869,0615,-5,0,0749,-13,0,0
2013,4,13,6,WN,13232,10693,0825,-2,0,0945,3,0,0
2013,4,2,2,DL,10397,11057,1043,-4,0,1205,-17,0,0
2013,8,18,7,WN,15016,14100,1855,12,0,2200,4,0,0
2013,4,8,1,UA,12892,13930,2323,-1,0,0519,-12,0,0
2013,8,5,1,FL,15304,10397,0615,3,0,0744,-2,0,0
2013,8,15,4,VX,12892,14831,0700,-6,0,0810,-14,0,0
2013,10,26,6,UA,10721,11618,0603,-1,0,0730,-7,0,0
2013,7,3,3,WN,14307,13204,1850,-2,0,2135,-13,0,0
2013,10,12,6,AA,12892,10693,1125,-3,0,1715,-19,0,0
2013,7,15,1,EV,11193,13930,2000,95,1,2029,73,1,0
2013,9,13,5,DL,10397,10792,0812,-4,0,1011,-4,0,0
2013,9,25,3,9E,12339,12478,1413,-5,0,1630,-22,0,0
2013,4,23,2,WN,11259,13495,1050,10,0,1210,17,1,0
2013,6,28,5,AA,13871,11298,1600,2,0,1755,-12,0,0
2013,9,18,3,EV,12451,12266,1441,-5,0,1604,-10,0,0
2013,8,3,6,AA,14747,11298,1045,3,0,1630,5,0,0
2013,4,11,4,US,14107,14869,0740,-6,0,1019,-4,0,0
2013,8,11,7,WN,14107,13796,2120,23,1,2310,32,1,0
2013,8,28,3,WN,14869,13796,1735,0,0,1825,-7,0,0
2013,5,5,7,EV,11042,10397,1300,-2,0,1458,-19,0,0
2013,6,25,2,OO,11292,14057,1530,22,1,1719,34,1,0
2013,6,18,2,B6,15304,11618,2012,77,1,2300,94,1,0
2013,5,15,3,WN,14747,12889,1725,7,0,1950,5,0,0
2013,4,27,6,US,13930,14107,0500,-6,0,0642,-21,0,0
2013,4,10,3,EV,10397,13871,1105,0,0,1234,-12,0,0
2013,10,17,4,EV,11042,14524,1912,-5,0,2024,-4,0,0
2013,9,17,2,WN,12892,14107,0630,8,0,0745,7,0,0
2013,8,23,5,EV,12266,13198,1905,-2,0,2110,-12,0,0
2013,8,5,1,DL,14100,10397,1930,-10,0,2141,-27,0,0
2013,10,16,3,AS,11618,14747,1835,-6,0,2148,-25,0,0
2013,10,30,3,DL,10397,11433,2030,0,0,2219,3,0,0
2013,9,23,1,MQ,13930,10397,0745,12,0,1030,13,0,0
2013,5,16,4,AA,14683,11298,0855,113,1,1005,125,1,0
2013,10,15,2,DL,11433,11298,1725,0,0,1915,5,0,0
2013,10,23,3,US,11057,11618,0747,-8,0,0930,-14,0,0
2013,7,27,6,AA,11298,10397,1520,49,1,1835,41,1,0
2013,7,13,6,AA,11298,12892,2015,85,1,2130,57,1,0
2013,9,22,7,WN,14683,14679,1600,30,1,1650,28,1,0
2013,4,11,4,DL,11193,10397,0815,1,0,0946,-5,0,0
2013,10,1,2,AA,10693,11298,1150,-10,0,1350,-32,0,0
2013,8,15,4,WN,12889,10140,1735,22,1,2000,18,1,0
2013,5,28,2,EV,10693,13930,0944,-4,0,1120,-1,0,0
2013,7,23,2,B6,12478,11697,1430,29,1,1735,19,1,0
2013,7,21,7,OO,12889,11292,0918,-9,0,1204,4,0,0
2013,10,1,2,WN,13796,10800,1645,4,0,1745,4,0,0
2013,10,3,4,UA,12889,14771,0753,-1,0,0939,-16,0,0
2013,10,29,2,WN,14107,13232,1320,26,1,1835,-1,0,0
2013,9,17,2,DL,11278,10397,1200,15,1,1351,20,1,0
2013,9,9,1,MQ,11193,12478,1225,-2,0,1429,-2,0,0
2013,10,28,1,EV,11278,11193,0655,-4,0,0826,-17,0,0
2013,9,8,7,OO,14771,10800,1907,-7,0,2024,-13,0,0
2013,4,14,7,WN,12889,13232,1315,10,0,1840,-3,0,0
2013,7,6,6,AA,10529,11298,1250,-4,0,1540,-18,0,0
2013,9,17,2,WN,12889,14771,1700,74,1,1830,70,1,0
2013,4,1,1,AA,11298,13851,1855,2,0,1950,1,0,0
2013,5,1,3,WN,11292,12889,0745,1,0,0840,4,0,0
2013,5,18,6,9E,11193,11433,0940,-5,0,1050,-18,0,0
2013,8,18,7,DL,10397,12339,1959,26,1,2136,3,0,0
2013,9,5,4,B6,12953,14027,0729,-10,0,1021,-19,0,0
2013,6,2,7,B6,12478,14635,1210,-11,0,1510,-13,0,0
2013,10,13,7,HA,13830,12173,1915,-5,0,1949,-5,0,0
2013,8,12,1,AA,12892,11298,1245,1,0,1800,-5,0,0
2013,5,28,2,UA,14771,12478,0710,-6,0,1548,5,0,0
2013,8,7,3,WN,14679,14831,1530,6,0,1650,1,0,0
2013,9,12,4,9E,11193,13495,1140,13,0,1247,0,0,0
2013,10,10,4,B6,14869,12954,1925,-4,0,2010,-11,0,0
2013,6,21,5,VX,11618,12892,0915,-2,0,1215,-14,0,0
2013,5,19,7,AS,12892,14747,1935,-9,0,2210,1,0,0
2013,9,2,1,UA,12266,14100,1257,154,1,1722,150,1,0
2013,5,6,1,US,11057,13303,1145,-3,0,1349,10,0,0
2013,5,21,2,EV,14730,11618,0600,6,0,0801,15,1,0
2013,4,13,6,YV,12173,13830,0800,150,1,0835,161,1,0
2013,7,2,2,FL,14122,10397,1335,-5,0,1512,8,0,0
2013,10,25,5,AS,14831,13830,0935,22,1,1154,10,0,0
2013,6,19,3,UA,12266,11278,1854,-2,0,2259,-19,0,0
2013,4,19,5,WN,12892,14771,2150,46,1,2310,38,1,0
2013,6,14,5,UA,12266,13930,1311,1,0,1550,-9,0,0
2013,10,9,3,FL,13232,10397,1015,13,0,1300,14,0,0
2013,8,15,4,WN,14107,12889,1900,94,1,2000,93,1,0
2013,4,9,2,US,14107,10299,1950,105,1,0032,101,1,0
2013,10,25,5,DL,10397,13303,1249,-6,0,1441,1,0,0
2013,8,2,5,9E,14524,11433,1215,-8,0,1411,-22,0,0
2013,4,25,4,WN,10693,12889,0855,-4,0,1100,8,0,0
2013,4,11,4,EV,12266,14492,1007,16,1,1350,16,1,0
2013,4,3,3,MQ,14492,12953,2005,16,1,2145,20,1,0
2013,5,15,3,HA,13830,12173,1337,-1,0,1412,6,0,0
2013,7,19,5,AA,12478,12892,0730,-9,0,1025,-44,0,0
2013,8,28,3,AA,11298,12889,1515,-4,0,1605,-13,0,0
2013,5,5,7,UA,11292,14057,2207,0,0,2356,-16,0,0
2013,10,8,2,DL,11697,10397,0645,-12,0,0835,3,0,0
