Rank,Country,Maths
1,Singapore,564
2,Hong Kong,548
3,Macau,544
4,Taiwan,542
5,Japan,532
6,China,531
7,South Korea,524
8,Switzerland,521
9,Estonia,520
10,Canada,516
11,Netherlands,512
12,Denmark,511
13,Finland,511
14,Slovenia,510
15,Belgium,507
16,Germany,506
17,Poland,504
18,Ireland,504
19,Norway,502
20,Austria,497
21,New Zealand,495
22,Vietnam,495
23,Russia,494
24,Sweden,494
25,Australia,494
26,France,493
27,United Kingdom,492
28,Czech Republic,492
29,Portugal,492
30,Italy,490
31,Iceland,488
32,Spain,486
33,Luxembourg,486
34,Latvia,482
35,Malta,479
36,Lithuania,478
37,Hungary,477
38,Slovakia,475
39,Israel,470
40,United States,470
41,Croatia,464
42,Kazakhstan,460
43,Greece,454
44,Romania,444
46,Bulgaria,441
47,Cyprus,437
48,United Arab Emirates,427
49,Chile,423
50,Turkey,420
51,Moldova,420
52,Uruguay,418
53,Montenegro,418
54,Trinidad and Tobago,417
55,Thailand,415
56,Albania,413
57,Mexico,408
59,Georgia,404
60,Qatar,402
61,Costa Rica,400
62,Lebanon,396
63,Colombia,390
64,Peru,387
65,Indonesia,386
66,Jordan,380
67,Brazil,377
68,Macedonia,371
69,Tunisia,367
70,Kosovo,362
71,Algeria,360
72,Dominican Republic,328
