branch,ncust,customer,age,ed,employ,address,income,debtinc,creddebt,othdebt,default
3,3017,10012,28,High school degree,7,2,44,17.7,2.9905919999999995,4.797408,No
3,3017,10017,64,Post-undergraduate degree,34,17,116,14.7,5.047391999999999,12.004608000000001,No
3,3017,10030,40,Did not complete high school,20,12,61,4.8,1.042368,1.885632,No
3,3017,10039,30,Did not complete high school,11,3,27,34.5,1.7512199999999998,7.5637799999999995,No
3,3017,10069,25,Did not complete high school,2,2,30,22.400000000000002,0.75936,5.96064,Yes
3,3017,10071,35,Did not complete high school,2,9,38,10.9,1.4621260000000003,2.679874,Yes
3,3017,10096,26,Some college,2,4,38,11.899999999999999,0.954142,3.567858,Yes
3,3017,10128,25,Did not complete high school,4,2,30,14.399999999999999,1.04544,3.2745599999999992,No
3,3017,10129,65,College degree,29,14,189,5.0,3.3642000000000003,6.085800000000001,No
3,3017,10140,21,Some college,0,0,23,3.9,0.305877,0.5911230000000001,No
3,3017,10142,62,Did not complete high school,33,13,96,17.5,6.686399999999999,10.113599999999998,No
3,3017,10169,30,College degree,4,3,39,10.6,2.389452,1.7445479999999995,Yes
3,3017,10197,38,Post-undergraduate degree,7,7,124,19.1,9.520968,14.163032000000001,No
3,3017,10200,18,High school degree,0,0,35,3.9,0.17472,1.19028,No
3,3017,10218,53,Did not complete high school,9,13,41,13.3,2.333884,3.1191160000000004,No
3,3017,10234,18,High school degree,0,0,15,7.3999999999999995,0.8280599999999999,0.28193999999999997,Yes
3,3017,10351,18,High school degree,0,0,56,15.7,1.837528,6.954472,Yes
3,3017,10423,19,Did not complete high school,2,0,31,0.3,0.024552,0.068448,Yes
3,3017,10428,19,High school degree,0,0,26,5.800000000000001,0.5866119999999999,0.9213880000000001,Yes
3,3017,10449,56,High school degree,27,21,125,8.5,2.900625,7.724375,No
3,3017,10455,21,High school degree,1,1,40,7.6,1.52,1.52,Yes
3,3017,10474,25,Did not complete high school,8,3,37,8.3,0.9489390000000001,2.122061,No
3,3017,10525,47,Some college,8,10,43,6.1,0.3593509999999999,2.263649,No
3,3017,10564,40,College degree,17,11,103,13.3,10.411240000000001,3.2877600000000005,Yes
