PRV_ID,PRV_NAME_TH,PRV_NAME_EN,AMP_ID,AMP_NAME_TH,AMP_NAME_EN
1,กระบี่,Krabi,101,เมืองกระบี่,Muang krabi
1,กระบี่,Krabi,102,เกาะลันตา,Ko lanta
1,กระบี่,Krabi,103,เขาพนม,Khaong phanom
1,กระบี่,Krabi,104,คลองท่อม,Khlong thom
1,กระบี่,Krabi,105,ปลายพระยา,Plai phraya
1,กระบี่,Krabi,106,ลำทับ,Lum tub
1,กระบี่,Krabi,107,เหนือคลอง,Nua klong
1,กระบี่,Krabi,108,อ่าวลึก,Ao Luk
2,กรุงเทพมหานคร,Bangkok,201,คลองสาน,Klongsan
2,กรุงเทพมหานคร,Bangkok,202,คลองเตย,Klongtoey
2,กรุงเทพมหานคร,Bangkok,203,จอมทอง,Chomthong
2,กรุงเทพมหานคร,Bangkok,204,จตุจักร,Jatujak
2,กรุงเทพมหานคร,Bangkok,205,ดุสิต,Dusit
2,กรุงเทพมหานคร,Bangkok,206,ดอนเมือง,Don muang
2,กรุงเทพมหานคร,Bangkok,207,ตลิ่งชัน,Taling chan
2,กรุงเทพมหานคร,Bangkok,208,ธนบุรี,Thon buri
2,กรุงเทพมหานคร,Bangkok,209,บางกอกน้อย,Bangkok noi
2,กรุงเทพมหานคร,Bangkok,210,บางกอกใหญ่,Bangkok yai
2,กรุงเทพมหานคร,Bangkok,211,บางกะปิ,Bangkapi
2,กรุงเทพมหานคร,Bangkok,212,บางขุนเทียน,Bangkuntien
2,กรุงเทพมหานคร,Bangkok,213,บางเขน,Bang khen
2,กรุงเทพมหานคร,Bangkok,214,บางคอแหลม,Bangkholam
2,กรุงเทพมหานคร,Bangkok,215,บางซื่อ,Bangsue
2,กรุงเทพมหานคร,Bangkok,216,บางพลัด,Bangplad
2,กรุงเทพมหานคร,Bangkok,217,บางรัก,Bangrak
2,กรุงเทพมหานคร,Bangkok,218,บึงกุ่ม,Bung kum
2,กรุงเทพมหานคร,Bangkok,219,ประเวศ,Prawet
2,กรุงเทพมหานคร,Bangkok,220,ปทุมวัน,Patumwan
2,กรุงเทพมหานคร,Bangkok,221,ป้อมปราบศัตรูพ่าย,Pom prap
2,กรุงเทพมหานคร,Bangkok,222,พญาไท,Payathai
2,กรุงเทพมหานคร,Bangkok,223,พระโขนง,Prakanong
2,กรุงเทพมหานคร,Bangkok,224,พระนคร,Phranakhon
2,กรุงเทพมหานคร,Bangkok,225,ภาษีเจริญ,Pasricharoen
2,กรุงเทพมหานคร,Bangkok,226,มีนบุรี,Minburi
2,กรุงเทพมหานคร,Bangkok,227,ยานนาวา,Yannawa
