id,cast
862,Tom Hanks
862,Tim Allen
862,Don Rickles
8844,Robin Williams
8844,Jonathan Hyde
8844,Kirsten Dunst
15602,Walter Matthau
15602,Jack Lemmon
15602,Ann-Margret
31357,Whitney Houston
31357,Angela Bassett
31357,Loretta Devine
11862,Steve Martin
11862,Diane Keaton
11862,Martin Short
949,Al Pacino
949,Robert De Niro
949,Val Kilmer
11860,Harrison Ford
11860,Julia Ormond
11860,Greg Kinnear
45325,Jonathan Taylor Thomas
45325,Brad Renfro
45325,Rachael Leigh Cook
9091,Jean-Claude Van Damme
9091,Powers Boothe
9091,Dorian Harewood
710,Pierce Brosnan
710,Sean Bean
710,Izabella Scorupco
9087,Michael Douglas
9087,Annette Bening
9087,Michael J. Fox
12110,Leslie Nielsen
12110,Mel Brooks
12110,Amy Yasbeck
21032,Kevin Bacon
21032,Bob Hoskins
21032,Bridget Fonda
10858,Anthony Hopkins
10858,Joan Allen
10858,Powers Boothe
1408,Geena Davis
1408,Matthew Modine
1408,Frank Langella
524,Robert De Niro
524,Sharon Stone
524,Joe Pesci
4584,Kate Winslet
4584,Emma Thompson
4584,Hugh Grant
5,Tim Roth
5,Antonio Banderas
5,Jennifer Beals
9273,Jim Carrey
9273,Ian McNeice
9273,Simon Callow
11517,Wesley Snipes
11517,Woody Harrelson
11517,Jennifer Lopez
8012,John Travolta
8012,Gene Hackman
8012,Rene Russo
1710,Sigourney Weaver
1710,Holly Hunter
1710,Will Patton
9691,Sylvester Stallone
9691,Antonio Banderas
9691,Julianne Moore
12665,Mary Steenburgen
12665,Sean Patrick Flanery
12665,Lance Henriksen
451,Nicolas Cage
451,Elisabeth Shue
451,Julian Sands
16420,Laurence Fishburne
16420,Irène Jacob
16420,Kenneth Branagh
9263,Christina Ricci
9263,Rosie O'Donnell
9263,Thora Birch
17015,Amanda Root
17015,Ciarán Hinds
17015,Susan Fleetwood
902,Ron Perlman
902,Dominique Pinon
902,Judith Vittet
37557,Gong Li
37557,Li Bao-Tian
37557,Wang Xiaoxiao
9909,Michelle Pfeiffer
9909,George Dzundza
9909,Courtney B. Vance
63,Bruce Willis
63,Madeleine Stowe
63,Brad Pitt
78802,[]
9598,Christine Cavanaugh
9598,Miriam Margolyes
9598,Danny Mann
47018,Emma Thompson
47018,Jonathan Pryce
47018,Steven Waddington
687,Susan Sarandon
687,Sean Penn
687,Robert Prosky
139405,Peter Reznick
139405,John McDonough
139405,Avi Hoffman
33689,Kirstie Alley
33689,Steve Guttenberg
33689,Ashley Olsen
9603,Alicia Silverstone
9603,Stacey Dash
9603,Brittany Murphy
34615,James Earl Jones
34615,Charles S. Dutton
34615,Jack Robinson
31174,Ian McKellen
31174,Annette Bening
31174,Jim Broadbent
11443,Larenz Tate
11443,Keith David
11443,Chris Tucker
35196,Robert Downey Jr.
35196,Meg Ryan
35196,Sam Neill
9312,Christopher Lambert
9312,Robin Shou
9312,Linden Ashby
577,Nicole Kidman
577,Matt Dillon
577,Joaquin Phoenix
11861,Winona Ryder
11861,Anne Bancroft
11861,Ellen Burstyn
807,Brad Pitt
807,Morgan Freeman
807,Gwyneth Paltrow
10530,Irene Bedard
10530,Mel Gibson
10530,David Ogden Stiers
8391,Pascale Bussières
8391,Rachael Crawford
8391,Henry Czerny
629,Stephen Baldwin
629,Gabriel Byrne
629,Chazz Palminteri
117164,[]
11448,Woody Allen
11448,Mira Sorvino
11448,Helena Bonham Carter
49133,Enrico Lo Verso
49133,Michele Placido
49133,Piro Milkani
26441,Steve Guttenberg
26441,Olivia d'Abo
26441,Jay O. Sanders
97406,Jennifer Jason Leigh
97406,Mare Winningham
97406,Ted Levine
124057,[]
9089,Holly Hunter
9089,Robert Downey Jr.
9089,Anne Bancroft
11010,Philippe Noiret
11010,Massimo Troisi
11010,Maria Grazia Cucinotta
99040,Lothaire Bluteau
99040,Patrick Goyette
99040,Jean-Louis Millette
11359,Hal Scardino
11359,Litefoot
11359,Lindsay Crouse
17182,Sally Field
17182,Kiefer Sutherland
17182,Ed Harris
2054,Richard Dreyfuss
2054,Glenne Headly
2054,Jay Thomas
10607,Shawn Wayans
10607,Marlon Wayans
10607,Tracey Cherelle Jones
19760,Sandra Bullock
19760,Denis Leary
19760,Yaphet Kotto
9536,Pauly Shore
9536,Stephen Baldwin
9536,Joey Lauren Adams
11525,Patrick Bergin
11525,Matt Frewer
11525,Austin O'Brien
40628,[]
4482,Victoria Abril
4482,Josiane Balasko
4482,Alain Chabat
10634,Ice Cube
10634,Chris Tucker
10634,Nia Long
755,George Clooney
755,Quentin Tarantino
755,Harvey Keitel
11859,William Baldwin
11859,Cindy Crawford
11859,Steven Berkoff
28387,Josh Hamilton
28387,Olivia d'Abo
28387,Carlos Jacott
48750,Jean-Paul Belmondo
48750,Michel Boujenah
48750,Alessandra Martines
20927,Christian Slater
20927,Mary Stuart Masterson
20927,Pamela Adlon
36929,[]
9102,Peter Weller
9102,Roy Dupuis
9102,Jennifer Rubin
124626,Nico
124626,Tina Aumont
124626,Jackson Browne
27526,Jack Nicholson
27526,David Morse
27526,Anjelica Huston
9623,Demi Moore
9623,Alec Baldwin
9623,Joseph Gordon-Levitt
46785,Aida Mohammadkhani
46785,Mohsen Kafili
46785,Fereshteh Sadre Orafaiy
400,Andy García
400,Christopher Lloyd
400,William Forsythe
880,Willeke van Ammelrooy
880,Els Dottermans
880,Dora van der Groen
146599,"Al Freeman, Jr."
146599,Phylicia Rashād
146599,Paula Kelly
188588,Victoria Foyt
188588,Viveca Lindfors
188588,Jon Robin Baitz
8447,Mark Rylance
8447,Kristin Scott Thomas
8447,Patsy Kensit
10534,Jeff Bridges
10534,Caroline Goodall
10534,John Savage
17414,Jason Alexander
17414,Faye Dunaway
17414,Eric Lloyd
13997,Chris Farley
13997,David Spade
13997,Grant Heslov
2086,Johnny Depp
2086,Courtney Chase
2086,Charles S. Dutton
61548,[]
9095,Julia Roberts
9095,John Malkovich
9095,George Cole
12158,Eddie Murphy
12158,Angela Bassett
12158,Allen Payne
9283,Matt Dillon
9283,Noah Emmerich
9283,Annabeth Gish
9208,John Travolta
9208,Christian Slater
9208,Samantha Mathis
40154,Richard Briers
40154,Joan Collins
40154,Michael Maloney
