Menu,Calories,Fat (g),Carb (g),Fiber (g),Protein,Sodium
Cool Lime Starbucks Refreshers‰ã¢ Beverage,45,0,11,0,0,10
OmbrÌ© Pink Drink,-,-,-,-,-,-
Pink Drink,-,-,-,-,-,-
Strawberry Acai Starbucks Refreshers‰ã¢ Beverage,80,0,18,1,0,10
Very Berry Hibiscus Starbucks Refreshers‰ã¢ Beverage,60,0,14,1,0,10
Violet Drink,-,-,-,-,-,-
Evolution Fresh‰ã¢ Cold-Pressed Apple Berry Juice,-,-,-,-,-,-
Evolution Fresh‰ã¢ Defense Up,-,-,-,-,-,-
Evolution Fresh‰ã¢ Organic Ginger Limeade,110,0,28,0,0,5
Iced Coffee,0,0,0,0,0,0
Iced Coffee with Milk,-,-,-,-,-,-
Iced Espresso Classics - Vanilla Latte,130,2.5,21,0,5,65
Iced Espresso Classics - Caffe Mocha,140,2.5,23,0,5,90
Iced Espresso Classics - Caramel Macchiato,130,2.5,21,0,5,65
Starbuckså¨ Caramel Iced Coffee,-,-,-,-,-,-
Starbuckså¨ Iced Coffee + Milk,-,-,-,-,-,-
Starbuckså¨ Low Calorie Iced Coffee + Milk,-,-,-,-,-,-
Starbuckså¨ Vanilla Iced Coffee,-,-,-,-,-,-
Shaken Sweet Tea,80,0,19,0,0,10
Tazoå¨ Bottled Berry Blossom White,60,0,15,0,0,10
Tazoå¨ Bottled Black Mango,150,0,38,0,0,15
Tazoå¨ Bottled Black with Lemon,140,0,35,0,0,10
Tazoå¨ Bottled Brambleberry,140,0,35,0,0,15
Tazoå¨ Bottled Giant Peach,150,0,37,0,0,15
Tazoå¨ Bottled Iced Passion,70,0,17,0,0,10
Tazoå¨ Bottled Lemon Ginger,120,0,31,0,0,10
Tazoå¨ Bottled Organic Black Lemonade,140,0,35,0,0,10
Tazoå¨ Bottled Organic Iced Black Tea,60,0,15,0,0,10
Tazoå¨ Bottled Organic Iced Green Tea,120,0,31,0,0,10
Tazoå¨ Bottled Plum Pomegranate,140,0,35,0,0,10
Tazoå¨ Bottled Tazoberry,150,0,38,0,0,15
Tazoå¨ Bottled White Cranberry,140,0,35,0,0,10
Teavanaå¨ Shaken Iced Black Tea,30,0,8,0,0,5
Teavanaå¨ Shaken Iced Black Tea Lemonade,70,0,17,0,0,0
Teavanaå¨ Shaken Iced Green Tea,30,0,8,0,0,5
Teavanaå¨ Shaken Iced Green Tea Lemonade,70,0,17,0,0,5
Teavanaå¨ Shaken Iced Passion Tango‰ã¢ Tea,30,0,8,0,0,5
Teavanaå¨ Shaken Iced Passion Tango‰ã¢ Tea Lemonade,90,0,24,0,0,0
Teavanaå¨ Shaken Iced Peach Green Tea,60,0,15,0,0,0
Iced Espresso Classics - Vanilla Latte,130,2.5,21,0,5,65
Iced Espresso Classics - Caffe Mocha,140,2.5,23,0,5,90
Iced Espresso Classics - Caramel Macchiato,130,2.5,21,0,5,65
Iced Espresso Classics - Skinny Caramel Macchiato,-,-,-,-,-,-
Iced Espresso Classics - Skinny Vanilla Latte,-,-,-,-,-,-
Starbucks Doubleshotå¨ Energy Coffee Drink,-,-,-,-,-,-
Starbucks Doubleshotå¨ Energy Mexican Mocha,-,-,-,-,-,-
Starbucks Doubleshotå¨ Energy Mocha Drink,-,-,-,-,-,-
Starbucks Doubleshotå¨ Energy Vanilla Drink,-,-,-,-,-,-
Starbucks Doubleshotå¨ Energy White Chocolate Drink,-,-,-,-,-,-
Starbucks Doubleshotå¨ Energy+Cinnamon Dolce Drink,-,-,-,-,-,-
Starbucks Doubleshotå¨ Espresso Cubano,-,-,-,-,-,-
Starbucks Doubleshotå¨ Espresso Drink,-,-,-,-,-,-
Starbucks Doubleshotå¨ Espresso Salted Caramel Cream,-,-,-,-,-,-
Starbucks Doubleshotå¨ Light Espresso Drink,-,-,-,-,-,-
Starbucks Doubleshotå¨ Protein Caramel,-,-,-,-,-,-
Starbucks Refreshers‰ã¢ Raspberry Pomegranate,90,0,27,0,0,0
Starbucks Refreshers‰ã¢ Strawberry Lemonade,90,0,27,0,0,0
Starbuckså¨ Bottled Caramel Frappuccinoå¨ Coffee Drink,-,-,-,-,-,-
Starbuckså¨ Bottled Coffee Frappuccinoå¨ Coffee Drink,-,-,-,-,-,-
"Starbuckså¨ Bottled Cold Brew Black, Unsweetened",-,-,-,-,-,-
Starbuckså¨ Bottled Cold Brew Cocoa and Honey with Cream,-,-,-,-,-,-
Starbuckså¨ Bottled Dulce de Leche Frappuccinoå¨ Coffee Drink,-,-,-,-,-,-
Starbuckså¨ Bottled Mocha Frappuccinoå¨ Coffee Drink,-,-,-,-,-,-
Starbuckså¨ Bottled Mocha Light Frappuccinoå¨ Coffee Drink,-,-,-,-,-,-
Starbuckså¨ Bottled S'mores Frappuccinoå¨ Coffee Drink,-,-,-,-,-,-
Starbuckså¨ Bottled Vanilla Frappuccinoå¨ Coffee Drink,-,-,-,-,-,-
Starbuckså¨ Bottled Vanilla Light Frappuccinoå¨ Coffee Drink,-,-,-,-,-,-
Starbuckså¨ Caramel Iced Coffee,-,-,-,-,-,-
Starbuckså¨ Doubleshot Protein Dark Chocolate,210,2.5,33,2,20,115
Starbuckså¨ Doubleshot Protein Vanilla,200,2.5,34,2,20,120
Starbuckså¨ Iced Coffee + Milk,-,-,-,-,-,-
Starbuckså¨ Iced Coffee Caramel,60,0,13,0,1,0
Starbuckså¨ Iced Coffee Light Sweetened,50,0,11,0,1,0
Starbuckså¨ Iced Coffee Unsweetened,10,0,2,0,1,0
Starbuckså¨ Low Calorie Iced Coffee + Milk,-,-,-,-,-,-
Starbuckså¨ Refreshers‰ã¢ - Black Cherry Limeade with Coconut Water,-,-,-,-,-,-
Starbuckså¨ Vanilla Iced Coffee,-,-,-,-,-,-
Tazoå¨ Bottled Berry Blossom White,60,0,15,0,0,10
Tazoå¨ Bottled Black Mango,150,0,38,0,0,15
Tazoå¨ Bottled Black with Lemon,140,0,35,0,0,10
Tazoå¨ Bottled Brambleberry,140,0,35,0,0,15
Tazoå¨ Bottled Giant Peach,150,0,37,0,0,15
Tazoå¨ Bottled Iced Passion,70,0,17,0,0,10
Tazoå¨ Bottled Lemon Ginger,120,0,31,0,0,10
Tazoå¨ Bottled Organic Black Lemonade,140,0,35,0,0,10
Tazoå¨ Bottled Organic Iced Black Tea,60,0,15,0,0,10
Tazoå¨ Bottled Organic Iced Green Tea,120,0,31,0,0,10
Tazoå¨ Bottled Plum Pomegranate,140,0,35,0,0,10
Tazoå¨ Bottled Tazoberry,150,0,38,0,0,15
Tazoå¨ Bottled White Cranberry,140,0,35,0,0,10
Teavanaå¨ Mango Black Tea,-,-,-,-,-,-
Teavanaå¨ Passion Tangoå¨ Herbal Tea,-,-,-,-,-,-
Teavanaå¨ Peach Green Tea,-,-,-,-,-,-
White Chocolate Mocha Bottled Frappuccino,-,-,-,-,-,-
Blonde Roast,5,0,0,0,1,10
CaffÌ¬ Misto,-,-,-,-,-,-
Cloverå¨ Brewed Coffee,10,0,0,0,1,10
Coffee Traveler,-,-,-,-,-,-
Decaf Pike Placeå¨ Roast,5,0,0,0,1,10
