Rank_Char,Score_Rank,University,Country,Number_students,Numb_students_per_Staff,International_Students,Percentage_Female,Percentage_Male,Teaching,Research,Citations,Industry_Income,International_Outlook,Score_Result,Overall_Ranking
1,1,University of Oxford,United Kingdom,"20,664",11.20,41%,46%,54%,90.50,99.60,98.40,65.50,96.40,95.40,95.40
2,2,California Institute of Technology,United States,"2,240",6.40,30%,34%,66%,92.10,97.20,97.90,88.00,82.50,94.50,94.50
3,3,University of Cambridge,United Kingdom,"18,978",10.90,37%,47%,53%,91.40,98.70,95.80,59.30,95.00,94.40,94.40
4,4,Stanford University,United States,"16,135",7.30,23%,43%,57%,92.80,96.40,99.90,66.20,79.50,94.30,94.30
5,5,Massachusetts Institute of Technology,United States,"11,247",8.60,34%,39%,61%,90.50,92.40,99.50,86.90,89.00,93.60,93.60
6,6,Princeton University,United States,"7,983",8.10,25%,45%,55%,90.30,96.30,98.80,58.60,81.10,93.20,93.20
7,7,Harvard University,United States,"20,823",9.20,24%,49%,51%,89.20,98.60,99.10,47.30,76.30,93.00,93.00
8,8,Yale University,United States,"12,402",5.40,20%,50%,50%,92.00,94.80,97.30,52.40,68.70,91.70,91.70
9,9,University of Chicago,United States,"13,833",5.70,28%,46%,54%,89.10,91.40,96.70,52.70,76.00,90.20,90.20
10,10,Imperial College London,United Kingdom,"16,760",11.70,56%,38%,62%,84.50,87.60,97.00,69.90,97.10,89.80,89.80
11,11,University of Pennsylvania,United States,"20,578",6.50,21%,52%,48%,87.50,90.40,98.20,74.00,65.00,89.60,89.60
12,12,Johns Hopkins University,United States,"16,171",4.50,26%,52%,48%,81.70,91.40,98.30,91.30,73.20,89.20,89.20
13,13,"University of California, Berkeley",United States,"41,081",13.70,17%,50%,50%,83.00,90.60,99.20,46.10,70.40,88.30,88.30
13,13,ETH Zurich,Switzerland,"18,956",12.50,39%,32%,68%,81.80,92.80,90.30,56.80,98.20,88.30,88.30
15,14,UCL,United Kingdom,"32,665",10.60,52%,57%,43%,77.80,88.70,96.10,42.70,96.20,87.10,87.10
16,15,Columbia University,United States,"26,586",5.80,37%,0%,0%,85.60,82.60,98.20,44.80,79.30,87.00,87.00
17,16,"University of California, Los Angeles",United States,"41,066",9.40,17%,54%,46%,83.10,88.60,97.30,51.30,64.10,86.80,86.80
18,17,University of Toronto,Canada,"73,370",20.10,21%,59%,41%,76.60,89.50,93.60,50.50,84.70,85.50,85.50
19,18,Cornell University,United States,"22,319",9.80,25%,49%,51%,79.70,86.00,96.60,37.10,73.40,85.10,85.10
20,19,Duke University,United States,"15,309",4.30,19%,49%,51%,82.40,76.80,97.00,99.90,61.50,84.00,84.00
21,20,University of Michigan-Ann Arbor,United States,"42,982",8.30,17%,49%,51%,79.40,86.10,94.90,47.70,59.20,83.80,83.80
22,21,Northwestern University,United States,"17,951",12.80,20%,49%,51%,74.20,83.80,97.80,78.40,64.10,83.50,83.50
23,22,Tsinghua University,China,"38,783",12.00,11%,34%,66%,86.60,94.00,74.60,100.00,47.40,82.60,82.60
24,23,Peking University,China,"39,575",11.50,15%,46%,54%,89.10,90.00,73.20,86.60,59.60,82.30,82.30
25,24,National University of Singapore,Singapore,"30,869",17.90,28%,51%,49%,76.80,90.40,76.90,58.80,95.50,81.90,81.90
26,25,University of Washington,United States,"45,692",11.10,16%,53%,47%,72.20,82.20,98.60,47.50,60.40,81.60,81.60
27,26,Carnegie Mellon University,United States,"13,430",13.60,48%,41%,59%,65.90,82.70,98.20,50.50,80.60,81.30,81.30
27,26,London School of Economics and Political Science,United Kingdom,"10,570",12.10,71%,53%,47%,69.00,83.00,92.80,35.10,93.20,81.30,81.30
29,27,New York University,United States,"44,466",8.90,33%,57%,43%,76.80,77.50,96.50,38.70,65.40,81.10,81.10
30,28,University of Edinburgh,United Kingdom,"29,433",12.80,41%,60%,40%,67.30,74.10,96.40,38.90,93.80,79.30,79.40
31,29,"University of California, San Diego",United States,"33,579",13.00,23%,46%,54%,62.60,78.90,97.70,90.30,63.70,78.80,78.80
32,30,LMU Munich,Germany,"34,519",34.70,17%,61%,39%,68.40,77.00,88.80,100.00,67.20,77.80,77.80
32,30,University of Melbourne,Australia,"47,385",26.30,46%,56%,44%,65.90,74.10,89.80,76.30,93.10,77.80,77.80
34,31,University of British Columbia,Canada,"52,108",18.10,32%,55%,45%,61.50,73.20,92.50,43.80,94.40,76.30,76.30
35,32,University of Hong Kong,Hong Kong,"18,260",18.20,44%,54%,46%,69.50,77.20,76.60,59.70,98.60,75.90,75.90
36,33,King�s College London,United Kingdom,"26,057",12.50,44%,62%,38%,61.30,68.50,94.80,45.60,95.60,75.70,75.70
36,33,The University of Tokyo,Japan,"25,913",10.60,12%,0%,0%,85.90,89.60,60.70,77.40,38.20,75.70,75.70
38,34,�cole Polytechnique F�d�rale de Lausanne,Switzerland,"10,492",11.40,59%,28%,72%,66.60,66.30,88.30,66.40,98.60,75.40,75.40
38,34,Georgia Institute of Technology,United States,"21,372",18.30,27%,33%,67%,60.20,76.40,90.40,61.60,77.10,75.40,75.40
38,34,University of Texas at Austin,United States,"49,165",17.20,10%,52%,48%,68.20,76.20,93.20,46.60,39.10,75.40,75.40
41,35,Karolinska Institute,Sweden,"7,777",9.00,20%,68%,32%,55.40,71.40,96.10,71.20,81.20,74.70,74.70
42,36,McGill University,Canada,"31,294",13.00,29%,58%,42%,65.00,71.90,84.70,42.80,90.40,74.30,74.30
43,37,Technical University of Munich,Germany,"40,472",47.80,27%,34%,66%,64.60,70.40,85.50,100.00,72.90,74.10,74.10
44,38,Heidelberg University,Germany,"20,800",16.10,18%,54%,46%,67.10,60.30,96.20,54.60,67.50,73.50,73.50
45,39,KU Leuven,Belgium,"45,049",36.30,15%,50%,50%,58.70,73.90,85.30,99.30,71.80,73.20,73.20
45,39,Paris Sciences et Lettres � PSL Research University Paris,France,"21,298",11.50,26%,46%,54%,71.60,71.40,77.00,52.20,78.70,73.20,73.20
47,40,The Hong Kong University of Science and Technology,Hong Kong,"10,125",22.30,31%,0%,0%,57.40,66.10,89.80,71.90,97.70,73.10,73.10
48,41,University of Illinois at Urbana-Champaign,United States,"44,916",17.90,24%,47%,53%,63.20,78.00,84.40,47.90,54.30,73.00,72.90
48,42,"Nanyang Technological University, Singapore",Singapore,"25,088",15.90,27%,48%,52%,57.60,70.40,84.90,76.50,95.10,72.90,72.90
50,43,Australian National University,Australia,"17,359",17.80,44%,52%,48%,54.40,69.70,88.40,46.40,95.50,72.10,72.10
51,44,University of Wisconsin-Madison,United States,"39,154",10.00,13%,0%,0%,68.80,70.30,85.30,46.30,47.40,72.00,72.00
52,45,Washington University in St Louis,United States,"13,401",7.50,20%,0%,0%,64.20,57.50,98.80,40.70,57.10,71.50,71.50
53,46,Brown University,United States,"9,391",10.80,20%,0%,0%,64.00,56.10,94.90,36.50,61.40,70.00,70.00
54,47,University of North Carolina at Chapel Hill,United States,"35,419",9.40,8%,57%,43%,59.70,63.20,96.90,43.90,38.00,69.90,69.90
55,48,"University of California, Davis",United States,"39,164",12.00,14%,58%,42%,62.40,66.90,83.20,51.40,62.40,69.70,69.70
55,48,University of Manchester,United Kingdom,"37,038",14.40,40%,53%,47%,56.90,63.80,85.20,44.70,91.00,69.70,69.70
57,49,"University of California, Santa Barbara",United States,"24,089",27.60,16%,52%,48%,47.90,63.60,96.40,84.50,68.10,69.60,69.60
57,49,Chinese University of Hong Kong,Hong Kong,"18,340",18.60,32%,0%,0%,55.80,62.80,84.50,55.20,97.80,69.60,69.60
59,50,Wageningen University & Research,Netherlands,"13,914",21.30,27%,53%,47%,49.30,57.10,96.10,100.00,81.90,69.40,69.40
60,51,University of Sydney,Australia,"45,111",20.10,39%,58%,42%,51.00,61.50,90.70,67.70,89.20,69.30,69.30
61,52,Boston University,United States,"25,662",11.60,27%,60%,40%,57.30,55.60,95.70,41.40,64.40,68.40,68.50
62,53,University of Amsterdam,Netherlands,"26,723",13.50,18%,56%,44%,48.00,63.40,91.20,45.30,82.00,68.10,68.10
62,53,University of Southern California,United States,"36,929",11.70,25%,53%,47%,54.70,59.30,93.10,39.70,66.20,68.10,68.10
64,54,Seoul National University,South Korea,"26,182",12.40,12%,0%,0%,72.30,71.60,66.50,86.60,35.80,68.00,68.00
65,55,Kyoto University,Japan,"22,566",9.00,9%,24%,76%,73.70,78.10,59.90,66.20,33.70,67.70,67.70
66,56,University of Queensland,Australia,"39,144",35.70,34%,55%,45%,49.30,58.70,86.80,80.90,92.50,67.40,67.40
67,57,Delft University of Technology,Netherlands,"18,743",20.20,30%,29%,71%,55.30,72.30,63.20,99.40,92.80,66.70,66.70
67,57,Leiden University,Netherlands,"28,741",18.70,16%,59%,41%,48.30,65.00,83.10,72.70,79.40,66.70,66.70
69,58,Erasmus University Rotterdam,Netherlands,"23,167",20.40,23%,51%,49%,39.40,57.30,97.10,63.60,87.30,66.30,66.30
70,59,Ohio State University (Main campus),United States,"54,372",12.50,13%,50%,50%,57.50,56.10,87.30,53.30,59.50,66.10,66.10
71,60,UNSW Sydney,Australia,"44,336",35.70,41%,47%,53%,50.20,58.20,82.90,57.90,93.70,65.90,65.90
72,61,McMaster University,Canada,"24,412",28.10,17%,55%,45%,44.50,50.10,94.80,94.00,82.70,65.40,65.40
73,62,University of Groningen,Netherlands,"27,228",23.80,21%,51%,49%,42.30,55.60,91.60,79.80,82.50,65.00,65.10
74,62,Humboldt University of Berlin,Germany,"33,463",56.10,17%,0%,0%,61.80,66.80,67.90,40.20,67.80,65.00,65.00
75,63,Monash University,Australia,"52,989",33.90,39%,57%,43%,47.30,56.60,83.80,67.20,89.90,64.70,64.70
75,63,Utrecht University,Netherlands,"31,833",14.20,9%,59%,41%,44.10,61.20,88.40,65.30,65.50,64.70,64.70
77,64,University of Warwick,United Kingdom,"20,599",13.20,41%,49%,51%,46.90,52.70,88.80,42.80,93.80,64.60,64.60
78,65,Penn State (Main campus),United States,"46,204",15.30,16%,46%,54%,55.20,67.10,75.70,52.10,47.40,64.30,64.20
79,66,University of Minnesota,United States,"61,120",12.40,11%,52%,48%,55.20,59.30,82.70,78.20,40.20,64.10,64.10
80,67,Charit� - Universit�tsmedizin Berlin,Germany,"7,076",17.60,19%,64%,36%,47.60,47.30,94.90,92.70,63.50,64.00,64.00
80,67,Emory University,United States,"12,735",4.00,20%,58%,42%,56.00,40.40,98.80,45.40,57.90,64.00,64.00
80,67,University of Science and Technology of China,China,"16,245",7.70,4%,0%,0%,64.60,59.50,74.70,79.60,31.30,64.00,64.00
80,67,Sorbonne University,France,"43,076",13.50,19%,58%,42%,62.30,50.60,79.90,38.40,69.20,64.00,64.00
84,68,Michigan State University,United States,"44,789",16.50,16%,51%,49%,56.60,57.40,80.00,37.80,63.30,63.90,63.90
85,69,University of Montreal,Canada,"36,794",20.20,22%,0%,0%,48.20,49.70,86.40,70.00,84.10,63.30,63.40
86,69,University of Freiburg,Germany,"21,475",42.80,23%,54%,46%,49.10,51.60,83.10,100.00,75.70,63.30,63.30
87,70,University of Bristol,United Kingdom,"21,783",13.60,27%,54%,46%,41.80,48.40,95.50,40.90,86.60,63.20,63.20
88,71,Purdue University West Lafayette,United States,"40,451",15.70,23%,43%,57%,57.50,66.40,63.00,64.30,72.00,63.10,63.10
89,72,Sungkyunkwan University (SKKU),South Korea,"23,342",19.50,15%,43%,57%,57.60,61.20,70.30,97.30,51.10,63.00,63.00
90,73,University of Zurich,Switzerland,"22,609",12.30,21%,57%,43%,47.00,46.70,88.20,53.00,92.20,62.80,62.80
91,73,"University of Maryland, College Park",United States,"33,108",16.60,11%,48%,52%,46.90,59.10,89.60,39.20,41.20,62.80,62.70
91,74,University of T�bingen,Germany,"27,901",37.50,14%,58%,42%,51.20,56.20,80.10,67.00,64.00,62.70,62.70
93,75,�cole Polytechnique,France,"3,030",5.70,40%,22%,78%,59.60,49.10,70.20,69.60,95.20,62.60,62.50
94,76,University of Basel,Switzerland,"11,518",15.80,27%,56%,44%,43.00,41.20,91.40,99.40,96.10,62.40,62.40
94,76,Dartmouth College,United States,"6,247",7.70,15%,49%,51%,58.40,39.90,96.40,41.00,39.60,62.40,62.40
96,77,"University of California, Irvine",United States,"32,706",16.50,26%,52%,48%,43.30,46.50,94.90,58.90,71.90,62.30,62.30
96,77,University of Helsinki,Finland,"22,072",16.60,5%,66%,34%,43.40,59.30,88.10,38.10,55.10,62.30,62.30
96,78,Lund University,Sweden,"27,266",12.10,19%,54%,46%,40.70,54.30,86.30,81.00,77.70,62.20,62.30
99,78,University of Glasgow,United Kingdom,"25,357",15.40,37%,59%,41%,41.10,47.90,91.80,40.00,92.30,62.20,62.20
99,78,RWTH Aachen University,Germany,"45,377",61.10,21%,32%,68%,55.60,61.50,67.30,98.10,59.00,62.20,62.20
101,79,University of Copenhagen,Denmark,"31,219",4.30,17%,57%,43%,48.10,44.10,89.60,48.10,85.40,62.10,62.10
102,80,Uppsala University,Sweden,"25,438",16.70,15%,57%,43%,41.60,56.40,85.00,74.60,68.10,61.90,61.90
102,81,Georgetown University,United States,"16,279",8.50,18%,54%,46%,57.30,37.90,93.90,62.50,47.20,61.80,61.90
104,81,University of Arizona,United States,"39,124",18.40,10%,52%,48%,52.60,53.70,85.30,52.70,40.20,61.80,61.80
105,82,Rice University,United States,"6,667",8.90,28%,42%,58%,49.10,39.70,93.70,45.40,77.00,61.70,61.60
105,83,University of Bonn,Germany,"36,352",67.70,13%,55%,45%,47.60,47.00,88.00,93.30,60.30,61.60,61.60
107,84,University of Virginia (Main campus),United States,"23,116",8.60,12%,52%,48%,54.40,43.50,91.30,41.60,48.90,61.50,61.50
107,84,Zhejiang University,China,"33,427",10.70,22%,23%,77%,66.00,64.70,50.60,100.00,61.80,61.50,61.50
109,85,Fudan University,China,"32,537",11.20,12%,53%,47%,61.90,58.60,68.10,58.60,44.80,61.40,61.40
110,86,Korea Advanced Institute of Science and Technology (KAIST),South Korea,"9,481",10.20,8%,20%,80%,62.60,66.40,58.10,99.90,35.50,61.30,61.30
110,86,Queen Mary University of London,United Kingdom,"17,799",14.10,43%,54%,46%,35.30,43.10,98.00,44.10,96.70,61.30,61.30
112,87,University of Birmingham,United Kingdom,"29,542",15.50,29%,57%,43%,39.60,45.60,92.10,39.30,89.20,60.90,60.90
113,88,University of Bern,Switzerland,"11,090",16.50,16%,56%,44%,44.50,41.20,86.60,85.00,87.30,60.40,60.40
113,88,University of Pittsburgh-Pittsburgh campus,United States,"26,652",5.80,11%,51%,49%,47.40,45.50,95.10,40.70,39.30,60.40,60.40
115,89,Aarhus University,Denmark,"26,842",14.40,9%,55%,45%,37.20,54.00,85.40,66.70,74.80,60.30,60.30
116,89,Vanderbilt University,United States,"12,006",3.00,14%,54%,46%,48.70,42.10,95.40,47.50,43.00,60.30,60.20
117,90,Free University of Berlin,Germany,"35,894",58.20,21%,59%,41%,57.20,63.30,58.40,42.40,71.60,60.10,60.10
117,90,University of Sheffield,United Kingdom,"26,218",15.00,34%,50%,50%,45.20,46.40,83.00,45.80,87.30,60.10,60.10
119,91,Case Western Reserve University,United States,"10,654",8.80,23%,50%,50%,48.40,39.90,95.30,42.10,52.20,60.00,60.00
120,92,University of Adelaide,Australia,"21,093",29.90,29%,49%,51%,34.30,41.60,95.30,64.80,91.70,59.90,59.90
120,92,National Taiwan University,Taiwan,"27,254",11.10,11%,40%,60%,57.00,62.70,64.00,65.40,41.90,59.90,59.90
122,93,University of Southampton,United Kingdom,"23,863",13.70,34%,53%,47%,40.20,44.30,88.00,40.10,94.20,59.80,59.80
123,94,Ghent University,Belgium,"38,080",37.00,10%,54%,46%,43.30,55.50,78.40,80.90,59.50,59.60,59.70
124,94,University of Colorado Boulder,United States,"33,186",16.30,11%,44%,56%,44.80,45.60,93.10,41.70,47.30,59.60,59.60
125,94,University of G�ttingen,Germany,"30,773",29.10,13%,51%,49%,49.60,48.60,82.00,37.00,60.90,59.60,59.50
126,95,City University of Hong Kong,Hong Kong,"9,587",11.00,45%,59%,41%,41.00,48.90,77.60,62.40,99.60,59.30,59.30
127,96,Maastricht University,Netherlands,"16,857",18.60,54%,60%,40%,40.20,48.30,77.00,82.90,97.60,59.00,59.00
128,97,Radboud University Nijmegen,Netherlands,"20,024",17.50,14%,55%,45%,36.00,49.90,88.20,46.20,73.00,58.90,58.90
128,97,University of York,United Kingdom,"16,058",14.90,24%,56%,44%,40.30,46.60,85.10,36.40,85.40,58.90,58.90
130,98,University of Paris,France,"61,390",15.50,17%,64%,36%,52.00,36.10,88.30,35.60,66.60,58.80,58.80
131,99,University of Oslo,Norway,"20,783",12.60,17%,62%,38%,39.60,43.80,90.00,40.70,75.50,58.70,58.70
131,99,University of Western Australia,Australia,"18,400",23.20,29%,49%,51%,32.50,43.90,91.00,57.00,94.30,58.70,58.70
133,100,Durham University,United Kingdom,"16,963",14.80,30%,55%,45%,45.50,47.80,75.50,37.90,91.70,58.50,58.50
134,101,Indiana University,United States,"66,872",13.60,15%,52%,48%,50.80,49.70,76.70,49.80,53.50,58.40,58.40
134,101,University of Vienna,Austria,"33,547",40.20,27%,66%,34%,48.10,55.30,64.60,37.10,94.20,58.40,58.40
136,102,University of Alberta,Canada,"31,919",21.00,26%,55%,45%,47.90,48.80,70.30,60.50,87.50,58.20,58.20
136,102,University of Cape Town,South Africa,"21,812",11.90,17%,53%,47%,33.20,42.80,90.30,85.30,81.80,58.20,58.20
138,103,Vrije Universiteit Amsterdam,Netherlands,"23,025",16.50,10%,58%,42%,35.70,48.10,88.40,52.50,68.80,58.10,58.10
139,104,Tufts University,United States,"11,017",9.80,16%,55%,45%,49.10,34.20,94.40,38.60,49.60,58.00,58.00
139,105,Lancaster University,United Kingdom,"12,657",12.50,38%,51%,49%,34.70,39.40,92.50,36.00,94.20,57.90,58.00
141,106,University of Ottawa,Canada,"35,365",24.70,19%,59%,41%,41.30,42.00,86.20,46.50,77.70,57.80,57.90
141,106,Ulm University,Germany,"10,629",27.70,13%,48%,52%,40.60,36.60,94.90,75.70,57.50,57.80,57.90
143,106,Pompeu Fabra University,Spain,"11,636",21.60,13%,60%,40%,37.70,40.10,94.40,44.50,66.50,57.80,57.80
144,107,University of Geneva,Switzerland,"16,935",15.60,39%,61%,39%,38.10,43.70,80.40,63.30,98.40,57.60,57.60
144,107,Nanjing University,China,"34,569",15.50,10%,44%,56%,50.70,48.00,71.80,84.90,57.80,57.60,57.60
146,108,University of Exeter,United Kingdom,"21,451",17.60,28%,54%,46%,33.90,38.90,92.40,37.80,91.90,57.40,57.40
146,108,Pohang University of Science and Technology (POSTECH),South Korea,"3,215",10.30,3%,23%,77%,51.70,50.90,72.20,99.60,32.90,57.40,57.40
146,108,University of Sussex,United Kingdom,"14,978",16.10,39%,54%,46%,35.30,37.90,91.80,35.90,93.60,57.40,57.40
149,109,University of Hamburg,Germany,"30,375",59.30,12%,56%,44%,44.40,49.80,74.00,98.50,58.10,57.30,57.30
149,109,Sant�Anna School of Advanced Studies � Pisa,Italy,776,12.40,19%,35%,65%,45.00,42.30,82.50,84.70,56.00,57.30,57.30
149,109,Technical University of Berlin,Germany,"22,622",60.60,24%,34%,66%,50.40,53.90,62.30,92.70,66.20,57.30,57.30
152,110,Universit� Catholique de Louvain,Belgium,"26,235",39.30,20%,53%,47%,38.80,51.50,75.70,53.70,80.50,57.20,57.20
152,110,University of Nottingham,United Kingdom,"29,699",14.60,29%,54%,46%,42.70,42.60,80.30,39.40,87.50,57.20,57.20
152,110,Scuola Normale Superiore di Pisa,Italy,558,6.80,11%,29%,71%,57.20,38.10,79.20,35.90,52.80,57.20,57.20
