id,t1,t2,t3
1,4.0050268255769135,5.182286175206738,7.107831087657872
2,2.5581236595677868,6.912915246459312,6.308433851943497
3,3.244241119942487,4.4434335641916345,9.77841039343927
4,3.419538124129411,4.711696190187978,8.347123720260006
5,2.871243047126249,3.9084286826334047,6.457286866019829
6,2.045868012678934,5.340548688606503,6.653223617883773
7,3.525991738275363,5.580694975531704,6.8401568358726035
8,3.1794248089871493,4.370233763795454,7.818622877817274
9,3.5079636349363974,4.3998077525460895,8.471228515289551
10,3.04379849559788,4.489375676373931,8.58109994437722
