youtube,facebook,newspaper,sales
276.12,45.35999999999999,83.04,26.52
53.4,47.16,54.12,12.48
20.639999999999997,55.08,83.16,11.16
181.79999999999998,49.559999999999995,70.2,22.2
216.96,12.96,70.08,15.48
10.44,58.67999999999999,90,8.64
69,39.35999999999999,28.2,14.16
144.24,23.52,13.92,15.839999999999998
10.319999999999999,2.52,1.2,5.76
239.76,3.12,25.439999999999998,12.719999999999999
79.32,6.96,29.04,10.319999999999999
257.64,28.799999999999997,4.8,20.88
28.56,42.12,79.08,11.04
117,9.12,8.64,11.639999999999999
244.92,39.48,55.199999999999996,22.8
234.48,57.24,63.48,26.88
81.36,43.92,136.79999999999998,15
337.67999999999995,47.52,66.96,29.279999999999998
83.04,24.599999999999998,21.96,13.56
176.76000000000002,28.679999999999996,22.92,17.52
262.08,33.239999999999995,64.08,21.599999999999998
284.88,6.119999999999999,28.2,15
15.839999999999998,19.08,59.519999999999996,6.72
273.96,20.279999999999998,31.439999999999998,18.599999999999998
74.75999999999999,15.12,21.96,11.639999999999999
315.47999999999996,4.2,23.4,14.399999999999999
171.48,35.16,15.12,18
288.12,20.04,27.479999999999997,19.08
298.56,32.52,27.479999999999997,22.679999999999996
84.71999999999998,19.2,48.959999999999994,12.6
351.47999999999996,33.96,51.84,25.679999999999996
135.48,20.88,46.32,14.28
116.64,1.7999999999999998,36,11.52
318.72,24,0.36,20.88
114.84,1.68,8.88,11.4
348.84,4.919999999999999,10.2,15.36
320.28,52.559999999999995,6,30.479999999999997
89.64,59.279999999999994,54.84,17.639999999999997
51.72,32.04,42.12,12.12
273.59999999999997,45.24,38.4,25.8
243,26.76,37.92,19.92
212.4,40.08,46.440000000000005,20.52
352.32,33.239999999999995,2.16,24.84
248.28,10.08,31.679999999999996,15.48
30.12,30.839999999999996,51.959999999999994,10.2
210.11999999999998,27,37.8,17.88
107.64,11.88,42.84,12.719999999999999
287.88,49.8,22.2,27.84
272.64,18.96,59.879999999999995,17.76
80.28,14.04,44.16,11.639999999999999
239.76,3.7199999999999998,41.52,13.68
120.48,11.52,4.32,12.839999999999998
259.68,50.04,47.52,27.12
219.11999999999998,55.440000000000005,70.44,25.439999999999998
315.23999999999995,34.56,19.08,24.24
238.68,59.279999999999994,72,28.439999999999998
8.76,33.72,49.68,6.6
163.43999999999997,23.04,19.92,15.839999999999998
252.96,59.519999999999996,45.24,28.56
252.83999999999997,35.4,11.16,22.08
64.2,2.4,25.679999999999996,9.719999999999999
313.56,51.24,65.64,29.04
287.16,18.599999999999998,32.76,18.84
123.24,35.52,10.08,16.8
157.32,51.35999999999999,34.68,21.599999999999998
82.8,11.16,1.08,11.16
37.8,29.52,2.64,11.4
167.16,17.4,12.239999999999998,16.08
284.88,33,13.2,22.679999999999996
260.16,52.68,32.64,26.76
238.92,36.72,46.440000000000005,21.96
131.76,17.16,38.04,14.879999999999999
32.16,39.6,23.16,10.56
155.28,6.84,37.56,13.2
256.08,29.52,15.719999999999999,20.4
20.279999999999998,52.440000000000005,107.28,10.44
33,1.92,24.84,8.28
144.6,34.199999999999996,17.04,17.04
6.48,35.879999999999995,11.28,6.359999999999999
139.2,9.24,27.720000000000002,13.2
91.68,32.04,26.76,14.16
287.76,4.919999999999999,44.279999999999994,14.76
90.36,24.36,39,13.56
82.08,53.4,42.72,16.32
256.2,51.6,40.559999999999995,26.04
231.83999999999997,22.08,78.84,18.24
91.55999999999999,33,19.2,14.399999999999999
132.84,48.72,75.84,19.2
105.96,30.599999999999998,88.08,15.48
131.76,57.35999999999999,61.67999999999999,20.04
161.16,5.88,11.16,13.44
34.32,1.7999999999999998,39.6,8.76
261.23999999999995,40.199999999999996,70.8,23.279999999999998
301.08,43.8,86.75999999999999,26.639999999999997
128.88,16.8,13.08,13.799999999999999
195.96,37.92,63.48,20.279999999999998
237.11999999999998,4.2,7.08,14.04
221.88,25.2,26.4,18.599999999999998
347.64,50.76,61.44,30.479999999999997
162.23999999999998,50.04,55.08,20.639999999999997
266.88,5.159999999999999,59.75999999999999,14.04
355.67999999999995,43.559999999999995,121.08,28.56
336.23999999999995,12.12,25.679999999999996,17.76
225.48,20.639999999999997,21.479999999999997,17.639999999999997
285.84,41.16,6.359999999999999,24.84
165.48,55.68,70.8,23.04
30,13.2,35.64,8.64
108.48,0.36,27.84,10.44
15.719999999999999,0.48,30.72,6.359999999999999
306.48,32.279999999999994,6.6,23.76
270.96,9.839999999999998,67.8,16.08
290.03999999999996,45.6,27.84,26.16
210.83999999999997,18.48,2.88,16.919999999999998
251.51999999999998,24.720000000000002,12.839999999999998,19.08
93.84,56.16,41.4,17.52
90.11999999999999,42,63.24,15.12
167.04,17.16,30.72,14.639999999999999
91.68,0.96,17.76,11.28
150.84,44.279999999999994,95.04,19.08
23.279999999999998,19.2,26.76,7.919999999999999
169.56,32.16,55.440000000000005,18.599999999999998
22.56,26.04,60.48,8.4
268.8,2.88,18.72,13.92
147.72,41.52,14.879999999999999,18.24
275.4,38.76,89.04,23.639999999999997
104.64,14.16,31.08,12.719999999999999
9.36,46.68,60.72,7.919999999999999
96.24,0,11.04,10.56
264.36,58.8,3.84,29.639999999999997
71.52,14.399999999999999,51.72,11.639999999999999
0.84,47.52,10.44,1.92
318.23999999999995,3.48,51.6,15.239999999999998
10.08,32.64,2.52,6.84
263.76,40.199999999999996,54.12,23.52
44.279999999999994,46.32,78.71999999999998,12.96
57.959999999999994,56.4,10.2,13.92
30.72,46.8,11.16,11.4
328.44,34.68,71.64,24.96
51.6,31.08,24.599999999999998,11.52
221.88,52.68,2.04,24.84
88.08,20.4,15.48,13.08
232.43999999999997,42.48,90.71999999999998,23.04
264.59999999999997,39.84,45.48,24.12
125.51999999999998,6.84,41.279999999999994,12.48
115.44,17.76,46.68,13.68
168.36,2.28,10.799999999999999,12.360000000000001
288.12,8.76,10.44,15.839999999999998
291.84,58.8,53.16,30.479999999999997
45.6,48.35999999999999,14.28,13.08
53.64,30.96,24.720000000000002,12.12
336.84,16.68,44.4,19.32
145.2,10.08,58.44,13.92
237.11999999999998,27.96,17.04,19.92
205.56,47.64,45.24,22.8
225.36,25.32,11.4,18.72
4.919999999999999,13.92,6.84,3.84
112.68,52.199999999999996,60.599999999999994,18.36
179.76000000000002,1.56,29.16,12.12
14.04,44.279999999999994,54.24,8.76
158.04,22.08,41.52,15.48
207,21.720000000000002,36.839999999999996,17.28
102.84,42.959999999999994,59.16,15.96
226.08,21.720000000000002,30.72,17.88
196.2,44.16,8.88,21.599999999999998
140.64,17.639999999999997,6.48,14.28
281.4,4.08,101.75999999999999,14.28
21.479999999999997,45.12,25.92,9.6
248.16,6.24,23.279999999999998,14.639999999999999
258.48,28.32,69.12,20.52
341.16,12.719999999999999,7.68,18
60,13.92,22.08,10.08
197.4,25.08,56.879999999999995,17.4
23.52,24.12,20.4,9.12
202.08,8.52,15.36,14.04
266.88,4.08,15.719999999999999,13.799999999999999
332.28,58.67999999999999,50.16,32.4
298.08,36.239999999999995,24.36,24.24
204.23999999999998,9.36,42.24,14.04
332.03999999999996,2.76,28.439999999999998,14.16
198.72,12,21.12,15.12
187.92,3.12,9.96,12.6
262.2,6.48,32.879999999999995,14.639999999999999
67.44,6.84,35.64,10.44
345.12,51.6,86.16,31.439999999999998
304.56,25.56,36,21.12
246,54.12,23.52,27.12
167.4,2.52,31.92,12.360000000000001
229.32,34.44,21.84,20.76
343.2,16.68,4.44,19.08
22.439999999999998,14.52,28.08,8.04
47.4,49.32,6.96,12.96
90.6,12.96,7.199999999999999,11.88
20.639999999999997,4.919999999999999,37.92,7.08
200.16,50.4,4.32,23.52
179.64,42.72,7.199999999999999,20.76
45.84,4.44,16.56,9.12
113.04,5.88,9.719999999999999,11.639999999999999
212.4,11.16,7.68,15.36
340.32,50.4,79.44,30.599999999999998
278.52,10.319999999999999,10.44,16.08
