id,gender,stress,t1,t2
1,male,low,5.964417201649374,5.5785058532223495
2,male,low,5.506573965542306,5.819924283183273
3,male,low,5.625010627710965,5.471413883137869
4,male,low,5.710243051904486,5.7865933292003575
5,male,low,5.736349744759873,5.718538018564821
6,male,low,5.616417614174942,5.680655563723938
7,male,low,5.476803280115557,5.598870832077672
8,male,low,5.6447515132813955,5.91988996650622
9,male,low,6.057530904371426,5.839341820162645
10,male,low,5.8640477412101575,5.573201731153681
11,male,moderate,5.85,5.745429925690274
12,male,moderate,5.535620270481831,5.777103788283971
13,male,moderate,5.58,5.528081958799666
14,male,moderate,5.571207598466142,5.672251667206359
15,male,moderate,5.957600486540116,5.977485409568736
16,male,moderate,6.012326346693131,5.855019335802095
17,male,moderate,5.6728636472342675,5.576906397977822
18,male,moderate,5.572448267523047,5.780540587961296
19,male,moderate,5.906072710668811,5.757991810542981
20,male,moderate,5.517767995646025,6.0162347033946
21,male,high,5.2333041589383615,5.635631993141205
22,male,high,5.562024931109109,5.295315803566256
23,male,high,5.381736090953032,5.4098739812029315
24,male,high,5.588057242985949,5.822075409951626
25,male,high,5.479264487649073,5.736974993628719
26,male,high,5.613789958816655,5.86454499397386
27,male,high,5.485648334455233,5.591926387734519
28,male,high,5.466966599682911,5.459540997641161
29,male,high,5.6025703457268365,5.730586281597924
30,male,high,5.380363550081686,5.8277690393412005
31,female,low,5.746070350366065,5.755631548111797
32,female,low,5.768067543120458,5.908011796265076
33,female,low,5.545182726169672,5.70092036247053
34,female,low,5.628698021559918,5.7352728756261815
35,female,low,5.52269100228505,5.571621675818301
36,female,low,5.852965408252775,6.151015535137798
37,female,low,5.506788466648305,5.9
38,female,low,5.703268164164784,5.6946395903898335
39,female,low,5.504771698391632,5.6601705206242015
40,female,low,5.475395959182557,5.74090126222776
41,female,moderate,5.980409578156541,5.482661432108559
42,female,moderate,5.64148262047434,5.962455580325228
43,female,moderate,6.057339605579546,5.456732402008138
44,female,moderate,5.617251503149101,5.5358886118290425
45,female,moderate,5.569780196725212,5.509189346036747
46,female,moderate,5.703230021074974,5.9167764288954015
47,female,moderate,6.1466705039832465,5.6
48,female,moderate,5.877485422432763,5.386633679330095
49,female,moderate,5.829820368823162,6.015797050936518
50,female,moderate,5.960871993396087,5.316914965427934
51,female,high,5.593956104601803,5.061280262252158
52,female,high,5.486838931871119,5.09609191796647
53,female,high,5.452906977758581,5.369373077476697
54,female,high,5.659518920944659,5.359335221777467
55,female,high,5.273703678188016,5.245223518615876
56,female,high,5.368449200244484,5.76930179206597
57,female,high,5.4895593356660175,5.619405555007763
58,female,high,5.765244315930435,5.43376078410202
59,female,high,5.578023923381004,5.327330327898306
60,female,high,5.42201295126497,5.0799423102528865
