ID,Name,Age,Nationality,Overall,Potential,Club,Value_EUR,Wage_EUR,Special
20801,Cristiano Ronaldo,32,Portugal,94,94,Real Madrid CF,95500000.0,565000.0,2228
158023,L. Messi,30,Argentina,93,93,FC Barcelona,105000000.0,565000.0,2154
190871,Neymar,25,Brazil,92,94,Paris Saint-Germain,123000000.0,280000.0,2100
176580,L. Suárez,30,Uruguay,92,92,FC Barcelona,97000000.0,510000.0,2291
167495,M. Neuer,31,Germany,92,92,FC Bayern Munich,61000000.0,230000.0,1493
188545,R. Lewandowski,28,Poland,91,91,FC Bayern Munich,92000000.0,355000.0,2143
193080,De Gea,26,Spain,90,92,Manchester United,64500000.0,215000.0,1458
183277,E. Hazard,26,Belgium,90,91,Chelsea,90500000.0,295000.0,2096
182521,T. Kroos,27,Germany,90,90,Real Madrid CF,79000000.0,340000.0,2165
167664,G. Higuaín,29,Argentina,90,90,Juventus,77000000.0,275000.0,1961
155862,Sergio Ramos,31,Spain,90,90,Real Madrid CF,52000000.0,310000.0,2153
192985,K. De Bruyne,26,Belgium,89,92,Manchester City,83000000.0,285000.0,2162
192119,T. Courtois,25,Belgium,89,92,Chelsea,59000000.0,190000.0,1282
184941,A. Sánchez,28,Chile,89,89,Arsenal,67500000.0,265000.0,2181
177003,L. Modrić,31,Croatia,89,89,Real Madrid CF,57000000.0,340000.0,2228
173731,G. Bale,27,Wales,89,89,Real Madrid CF,69500000.0,370000.0,2263
153079,S. Agüero,29,Argentina,89,89,Manchester City,66500000.0,325000.0,2074
138956,G. Chiellini,32,Italy,89,89,Juventus,38000000.0,225000.0,1867
1179,G. Buffon,39,Italy,89,89,Juventus,4500000.0,110000.0,1335
211110,P. Dybala,23,Argentina,88,93,Juventus,79000000.0,215000.0,2063
200389,J. Oblak,24,Slovenia,88,93,Atlético Madrid,57000000.0,82000.0,1290
194765,A. Griezmann,26,France,88,91,Atlético Madrid,75000000.0,150000.0,2104
189509,Thiago,26,Spain,88,90,FC Bayern Munich,70500000.0,225000.0,2185
