,longitude,latitude,name
0,33.791638,-84.389488,
1,33.791638,-84.389488,
2,33.93911,67.709953,Afghanistan
3,41.153332,20.168331,Albania
4,28.033886,1.659626,Algeria
5,-14.270972,-170.132217,American Samoa
6,42.506285,1.521801,Andorra
7,-11.202692,17.873887,Angola
8,18.220554,-63.06861499999999,Anguilla
9,-82.862752,135.0,Antarctica
10,17.060816,-61.796428,Antigua & Barbuda
11,-38.416097,-63.61667199999999,Argentina
12,40.069099,45.038189,Armenia
13,12.52111,-69.968338,Aruba
14,-25.274398,133.775136,Australia
15,47.516231,14.550072,Austria
16,40.143105,47.576927,Azerbaijan
17,25.03428,-77.39627999999999,Bahamas
18,26.0667,50.5577,Bahrain
19,23.684994,90.356331,Bangladesh
20,13.193887,-59.543198,Barbados
21,53.709807,27.953389,Belarus
22,50.503887,4.469936,Belgium
23,17.189877,-88.49765,Belize
24,9.30769,2.315834,Benin
25,32.3078,-64.7505,Bermuda
26,27.514162,90.433601,Bhutan
27,-16.290154,-63.58865299999999,Bolivia
28,43.915886,17.679076,Bosnia
29,-22.328474,24.684866,Botswana
30,-54.4207915,3.3464497,Bouvet Island
31,-14.235004,-51.92528,Brazil
32,-6.343194,71.876519,British Indian Ocean Territory
33,18.420695,-64.639968,British Virgin Islands
34,4.535277,114.727669,Brunei
35,42.733883,25.48583,Bulgaria
36,12.238333,-1.561593,Burkina Faso
37,-3.373056,29.918886,Burundi
38,12.565679,104.990963,Cambodia
39,7.369721999999999,12.354722,Cameroon
40,56.130366,-106.346771,Canada
41,16.5388,-23.0418,Cape Verde
42,12.1783611,-68.2385339,Caribbean Netherlands
43,19.3133,-81.2546,Cayman Islands
44,6.611110999999999,20.939444,Central African Republic
45,15.454166,18.732207,Chad
46,-35.675147,-71.542969,Chile
47,35.86166,104.195397,China
48,-10.447525,105.690449,Christmas Island
49,-12.164165,96.87095599999999,Cocos (Keeling) Islands
50,4.570868,-74.297333,Colombia
51,-11.6455,43.3333,Comoros
52,-0.228021,15.827659,Congo - Brazzaville
53,-4.038333,21.758664,Congo - Kinshasa
54,-21.236736,-159.777671,Cook Islands
55,9.748916999999999,-83.753428,Costa Rica
56,45.1,15.2000001,Croatia
57,21.521757,-77.781167,Cuba
58,12.16957,-68.99002,Curaçao
59,35.126413,33.429859,Cyprus
60,49.81749199999999,15.472962,Czech Republic
61,7.539988999999999,-5.547079999999999,Côte d’Ivoire
62,56.26392,9.501785,Denmark
63,11.825138,42.590275,Djibouti
64,15.414999,-61.37097600000001,Dominica
65,18.735693,-70.162651,Dominican Republic
66,-1.831239,-78.18340599999999,Ecuador
67,26.820553,30.802498,Egypt
68,13.794185,-88.89653,El Salvador
69,1.650801,10.267895,Equatorial Guinea
70,15.179384,39.782334,Eritrea
71,58.595272,25.0136071,Estonia
72,9.145000000000001,40.489673,Ethiopia
73,-51.796253,-59.523613,Falkland Islands
74,61.89263500000001,-6.9118061,Faroe Islands
75,-17.713371,178.065032,Fiji
76,61.92410999999999,25.7481511,Finland
77,46.227638,2.213749,France
78,3.933889,-53.125782,French Guiana
79,-17.679742,-149.406843,French Polynesia
80,-49.280366,69.3485571,French Southern Territories
81,-0.803689,11.609444,Gabon
82,13.443182,-15.310139,Gambia
83,32.1656221,-82.9000751,Georgia
84,51.165691,10.451526,Germany
85,7.946527,-1.023194,Ghana
86,36.140751,-5.353585,Gibraltar
87,39.074208,21.824312,Greece
88,71.706936,-42.604303,Greenland
89,12.1165,-61.67899999999999,Grenada
90,16.265,-61.55099999999999,Guadeloupe
91,13.444304,144.793731,Guam
92,15.783471,-90.23075899999999,Guatemala
93,49.465691,-2.585278,Guernsey
94,9.945587,-9.696645,Guinea
95,11.803749,-15.180413,Guinea-Bissau
96,4.860416,-58.93018,Guyana
97,18.971187,-72.285215,Haiti
98,-53.08181,73.50415799999999,Heard & McDonald Islands
