ชื่อจังหวัด อักษรไทย,ชื่อจังหวัด อักษรโรมัน,จำนวนประชากร (คน),พื้นที่ (ตร.กม.),ความหนาแน่น ประชากร (คน/ตร.กม.),ดพม.[2],ตัวย่อ อักษรไทย,ตัวย่อ อักษรโรมัน,รหัส ไอเอสโอ,รหัสฟิปส์
กาฬสินธุ์,Kalasin,982578,6946.7,141.4,0.718,กส,KSN,TH-46,TH23
ขอนแก่น,Khon Kaen,1767601,10886.0,162.4,0.850,ขก,KKN,TH-40,TH22
ชัยภูมิ,Chaiyaphum,1127423,12778.3,88.2,0.748,ชย,CPM,TH-36,TH26
นครพนม,Nakhon Phanom,703392,5512.7,127.6,0.778,นพ,NPM,TH-48,TH73
นครราชสีมา,Nakhon Ratchasima,2628818,20494.0,128.27,0.815,นม,NMA,TH-30,TH27
บึงกาฬ,Bueng Kan,385053,4305.0,89.4,---,บก,BKN,TH-38,TH81
บุรีรัมย์,Buri Ram,1553765,10322.9,150.5,0.729,บร,BRM,TH-31,TH28
มหาสารคาม,Maha Sarakham,940911,5291.7,177.8,0.729,มค,MKM,TH-44,TH24
มุกดาหาร,Mukdahan,339575,4339.8,78.2,0.728,มห,MDH,TH-49,TH78
ยโสธร,Yasothon,539257,4161.7,129.6,0.782,ยส,YST,TH-35,TH72
ร้อยเอ็ด,Roi Et,1309708,8299.4,157.8,0.732,รอ,RET,TH-45,TH25
เลย,Loei,624066,11424.6,54.6,0.731,ลย,LEI,TH-42,TH18
ศรีสะเกษ,Si Sa Ket,1452471,8840.0,164.3,0.734,ศก,SSK,TH-33,TH30
สกลนคร,Sakon Nakhon,1122905,9605.8,116.9,0.705,สน,SNK,TH-47,TH20
สุรินทร์,Surin,1381761,8124.1,170.1,0.751,สร,SRN,TH-32,TH29
หนองคาย,Nong Khai,912937,3027.0,124.5,0.755,นค,NKI,TH-43,TH17
หนองบัวลำภู,Nong Bua Lam Phu,502868,3859.0,130.3,0.714,นภ,NBP,TH-39,TH79
อำนาจเจริญ,Amnat Charoen,372137,3161.2,117.7,0.712,อจ,ACR,TH-37,TH77
อุดรธานี,Udon Thani,1544786,11730.3,131.7,0.907,อด,UDN,TH-41,TH76
อุบลราชธานี,Ubon Ratchathani,1813088,15744.8,115.2,0.800,อบ,UBN,TH-34,TH75
