id,name,year,rank
10920,Aliens,1986,8.2
17173,"Animal House",1978,7.5
18979,"Apollo 13",1995,7.5
30959,"Batman Begins",2005,NULL
46169,Braveheart,1995,8.3
109093,Fargo,1996,8.2
111813,"Few Good Men, A",1992,7.5
112290,"Fight Club",1999,8.5
116907,Footloose,1984,5.8
124110,"Garden State",2004,8.3
130128,"Godfather, The",1972,9
147603,"Hollow Man",2000,5.3
167324,JFK,1991,7.8
176711,"Kill Bill: Vol. 1",2003,8.4
176712,"Kill Bill: Vol. 2",2004,8.2
192017,"Little Mermaid, The",1989,7.3
194874,"Lost in Translation",2003,8
207992,"Matrix, The",1999,8.5
210511,Memento,2000,8.7
224842,"Mystic River",2003,8.1
237431,"O Brother, Where Art Thou?",2000,7.8
238072,"Ocean's Eleven",2001,7.5
238695,"Office Space",1999,7.6
254943,Pi,1998,7.5
256630,"Pirates of the Caribbean",2003,NULL
257264,"Planes, Trains & Automobiles",1987,7.2
267038,"Pulp Fiction",1994,8.7
276217,"Reservoir Dogs",1992,8.3
297838,"Shawshank Redemption, The",1994,9
300229,Shrek,2001,8.1
306032,Snatch.,2000,7.9
313459,"Star Wars",1977,8.8
314965,"Stir of Echoes",1999,7
333856,Titanic,1997,6.9
344203,UHF,1989,6.6
350424,"Vanilla Sky",2001,6.9
