movie_id,genre
10920,Action
10920,Horror
10920,Sci-Fi
10920,Thriller
17173,Comedy
18979,Drama
30959,Action
30959,Adventure
30959,Crime
30959,Fantasy
30959,Thriller
46169,Action
46169,Drama
46169,War
109093,Crime
109093,Drama
109093,Thriller
111813,Drama
111813,Thriller
112290,Crime
112290,Drama
112290,Mystery
112290,Thriller
116907,Drama
116907,Family
116907,Music
124110,Comedy
124110,Drama
130128,Crime
130128,Drama
147603,Horror
147603,Sci-Fi
147603,Thriller
167324,Crime
167324,Drama
167324,Mystery
167324,Thriller
176711,Action
176711,Crime
176711,Thriller
176712,Action
176712,Drama
176712,Romance
176712,Thriller
192017,Animation
192017,Comedy
192017,Family
192017,Fantasy
192017,Musical
192017,Romance
194874,Comedy
194874,Drama
207992,Action
207992,Sci-Fi
207992,Thriller
210511,Drama
210511,Mystery
210511,Thriller
224842,Crime
224842,Drama
224842,Thriller
237431,Adventure
237431,Comedy
237431,Crime
238072,Comedy
238072,Crime
238072,Thriller
238695,Comedy
254943,Sci-Fi
254943,Thriller
256630,Adventure
256630,Fantasy
257264,Comedy
267038,Crime
267038,Drama
276217,Action
276217,Crime
276217,Mystery
276217,Thriller
297838,Drama
300229,Adventure
300229,Animation
300229,Comedy
300229,Family
300229,Fantasy
300229,Romance
306032,Comedy
306032,Crime
313459,Action
313459,Adventure
313459,Fantasy
313459,Sci-Fi
314965,Horror
314965,Mystery
314965,Thriller
333856,Drama
333856,Romance
344203,Comedy
350424,Drama
350424,Mystery
350424,Romance
350424,Sci-Fi
350424,Thriller
