id,english,japanese,chinese,french
1,Bulbasaur,フシギダネ,妙蛙种子,Bulbizarre
2,Ivysaur,フシギソウ,妙蛙草,Herbizarre
3,Venusaur,フシギバナ,妙蛙花,Florizarre
4,Charmander,ヒトカゲ,小火龙,Salamèche
5,Charmeleon,リザード,火恐龙,Reptincel
6,Charizard,リザードン,喷火龙,Dracaufeu
7,Squirtle,ゼニガメ,杰尼龟,Carapuce
8,Wartortle,カメール,卡咪龟,Carabaffe
9,Blastoise,カメックス,水箭龟,Tortank
10,Caterpie,キャタピー,绿毛虫,Chenipan
11,Metapod,トランセル,铁甲蛹,Chrysacier
12,Butterfree,バタフリー,巴大蝶,Papilusion
13,Weedle,ビードル,独角虫,Aspicot
14,Kakuna,コクーン,铁壳蛹,Coconfort
15,Beedrill,スピアー,大针蜂,Dardargnan
16,Pidgey,ポッポ,波波,Roucool
17,Pidgeotto,ピジョン,比比鸟,Roucoups
18,Pidgeot,ピジョット,大比鸟,Roucarnage
19,Rattata,コラッタ,小拉达,Rattata
20,Raticate,ラッタ,拉达,Rattatac
21,Spearow,オニスズメ,烈雀,Piafabec
22,Fearow,オニドリル,大嘴雀,Rapasdepic
23,Ekans,アーボ,阿柏蛇,Abo
24,Arbok,アーボック,阿柏怪,Arbok
25,Pikachu,ピカチュウ,皮卡丘,Pikachu
26,Raichu,ライチュウ,雷丘,Raichu
27,Sandshrew,サンド,穿山鼠,Sabelette
28,Sandslash,サンドパン,穿山王,Sablaireau
29,Nidoran♀,ニドラン♀,尼多兰,Nidoran♀
30,Nidorina,ニドリーナ,尼多娜,Nidorina
31,Nidoqueen,ニドクイン,尼多后,Nidoqueen
32,Nidoran♂,ニドラン♂,尼多朗,Nidoran♂
33,Nidorino,ニドリーノ,尼多力诺,Nidorino
34,Nidoking,ニドキング,尼多王,Nidoking
35,Clefairy,ピッピ,皮皮,Mélofée
36,Clefable,ピクシー,皮可西,Mélodelfe
37,Vulpix,ロコン,六尾,Goupix
38,Ninetales,キュウコン,九尾,Feunard
39,Jigglypuff,プリン,胖丁,Rondoudou
40,Wigglytuff,プクリン,胖可丁,Grodoudou
41,Zubat,ズバット,超音蝠,Nosferapti
42,Golbat,ゴルバット,大嘴蝠,Nosferalto
43,Oddish,ナゾノクサ,走路草,Mystherbe
44,Gloom,クサイハナ,臭臭花,Ortide
45,Vileplume,ラフレシア,霸王花,Rafflesia
46,Paras,パラス,派拉斯,Paras
47,Parasect,パラセクト,派拉斯特,Parasect
48,Venonat,コンパン,毛球,Mimitoss
49,Venomoth,モルフォン,摩鲁蛾,Aéromite
50,Diglett,ディグダ,地鼠,Taupiqueur
51,Dugtrio,ダグトリオ,三地鼠,Triopikeur
52,Meowth,ニャース,喵喵,Miaouss
53,Persian,ペルシアン,猫老大,Persian
54,Psyduck,コダック,可达鸭,Psykokwak
55,Golduck,ゴルダック,哥达鸭,Akwakwak
56,Mankey,マンキー,猴怪,Férosinge
57,Primeape,オコリザル,火暴猴,Colossinge
58,Growlithe,ガーディ,卡蒂狗,Caninos
59,Arcanine,ウインディ,风速狗,Arcanin
60,Poliwag,ニョロモ,蚊香蝌蚪,Ptitard
61,Poliwhirl,ニョロゾ,蚊香君,Têtarte
62,Poliwrath,ニョロボン,蚊香泳士,Tartard
63,Abra,ケーシィ,凯西,Abra
64,Kadabra,ユンゲラー,勇基拉,Kadabra
65,Alakazam,フーディン,胡地,Alakazam
66,Machop,ワンリキー,腕力,Machoc
67,Machoke,ゴーリキー,豪力,Machopeur
68,Machamp,カイリキー,怪力,Mackogneur
69,Bellsprout,マダツボミ,喇叭芽,Chétiflor
70,Weepinbell,ウツドン,口呆花,Boustiflor
71,Victreebel,ウツボット,大食花,Empiflor
72,Tentacool,メノクラゲ,玛瑙水母,Tentacool
73,Tentacruel,ドククラゲ,毒刺水母,Tentacruel
74,Geodude,イシツブテ,小拳石,Racaillou
75,Graveler,ゴローン,隆隆石,Gravalanch
76,Golem,ゴローニャ,隆隆岩,Grolem
77,Ponyta,ポニータ,小火马,Ponyta
78,Rapidash,ギャロップ,烈焰马,Galopa
79,Slowpoke,ヤドン,呆呆兽,Ramoloss
80,Slowbro,ヤドラン,呆壳兽,Flagadoss
81,Magnemite,コイル,小磁怪,Magnéti
82,Magneton,レアコイル,三合一磁怪,Magnéton
83,Farfetch'd,カモネギ,大葱鸭,Canarticho
84,Doduo,ドードー,嘟嘟,Doduo
85,Dodrio,ドードリオ,嘟嘟利,Dodrio
86,Seel,パウワウ,小海狮,Otaria
87,Dewgong,ジュゴン,白海狮,Lamantine
88,Grimer,ベトベター,臭泥,Tadmorv
89,Muk,ベトベトン,臭臭泥,Grotadmorv
90,Shellder,シェルダー,大舌贝,Kokiyas
91,Cloyster,パルシェン,刺甲贝,Crustabri
92,Gastly,ゴース,鬼斯,Fantominus
93,Haunter,ゴースト,鬼斯通,Spectrum
94,Gengar,ゲンガー,耿鬼,Ectoplasma
95,Onix,イワーク,大岩蛇,Onix
96,Drowzee,スリープ,催眠貘,Soporifik
97,Hypno,スリーパー,引梦貘人,Hypnomade
98,Krabby,クラブ,大钳蟹,Krabby
99,Kingler,キングラー,巨钳蟹,Krabboss
100,Voltorb,ビリリダマ,霹雳电球,Voltorbe
101,Electrode,マルマイン,顽皮雷弹,Électrode
102,Exeggcute,タマタマ,蛋蛋,Noeunoeuf
103,Exeggutor,ナッシー,椰蛋树,Noadkoko
104,Cubone,カラカラ,卡拉卡拉,Osselait
