id,text,author,likes
1,"Don't cry because it's over, smile because it happened.",Dr. Seuss,174616 likes
2,"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,138415 likes
3,Be yourself; everyone else is already taken.,Oscar Wilde,130176 likes
4,Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,Albert Einstein,116961 likes
5,"Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",Bernard M. Baruch,111385 likes
6,"So many books, so little time.",Frank Zappa,109930 likes
7,"You've gotta dance like there's nobody watching,",William W. Purkey,108773 likes
8,A room without books is like a body without a soul.,Marcus Tullius Cicero,107147 likes
9,You know you're in love when you can't fall asleep because reality is finally better than your dreams.,Dr. Seuss,105310 likes
10,"You only live once, but if you do it right, once is enough.",Mae West,97524 likes
11,Be the change that you wish to see in the world.,Mahatma Gandhi,95892 likes
12,In three words I can sum up everything I've learned about life: it goes on.,Robert Frost,90340 likes
13,"If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.",J.K. Rowling,84232 likes
14,"Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .",C.S. Lewis,79347 likes
15,Don’t walk in front of me… I may not follow,Albert Camus,78427 likes
16,No one can make you feel inferior without your consent.,Eleanor Roosevelt,77023 likes
17,"If you tell the truth, you don't have to remember anything.",Mark Twain,76017 likes
18,A friend is someone who knows all about you and still loves you.,Elbert Hubbard,72718 likes
19,"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",Maya Angelou,70121 likes
20,Always forgive your enemies; nothing annoys them so much.,Oscar Wilde,68976 likes
21,Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,66683 likes
22,"To live is the rarest thing in the world. Most people exist, that is all.",Oscar Wilde,65541 likes
23,Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,Martin Luther King Jr.,65388 likes
24,I am so clever that sometimes I don't understand a single word of what I am saying.,Oscar Wilde,63567 likes
25,"Without music, life would be a mistake.",Friedrich Nietzsche,61032 likes
26,To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,Ralph Waldo Emerson,59808 likes
27,"Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.",Rob Siltanen,59797 likes
28,"Insanity is doing the same thing, over and over again, but expecting different results.",Narcotics Anonymous,57801 likes
29,We accept the love we think we deserve.,Stephen Chbosky,57444 likes
30,"I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.",Marilyn Monroe,55986 likes
31,Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,H. Jackson Brown Jr.,55122 likes
