#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Where/How,Shadow,Catch Difficulty,Vision,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
56.0,anchovy,https://acnhcdn.com/latest/MenuIcon/Fish81.png,https://acnhcdn.com/latest/BookFishIcon/FishAntyobiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobi.png,200.0,Sea,Small,Very Easy,Very Wide,0.0,2–5,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,1x1,No,"There are more than 140 species of anchovy, but they do all have some things in common. They are small and feed by simply swimming with their mouths open to filter food particles from the sea. (In my sleepier moments, I sometimes wish I could do that...)",I caught an anchovy! Stay away from my pizza!,71.0,Pet,Blue,Red,No lighting,Fish81,FishAntyobi,FtrFishAntyobi,4201.0,LzuWkSQP55uEpRCP5
36.0,angelfish,https://acnhcdn.com/latest/MenuIcon/Fish30.png,https://acnhcdn.com/latest/BookFishIcon/FishAngelfishCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAngelfish.png,3000.0,River,Small,Easy,Medium,20.0,2–5,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,1x1,Yes,"The angelfish is truly a beautiful creature. Just look at the elegance of those fins!Despite the name, however, these lovelies are known to be rather aggressive. They've no qualms about relentlessly pursuing fish much smaller than themselves! Why, they even attack their own kin! It seems no fish is safe around these ""angelic"" bullies. It makes one wonder who comes up with these names. Appearances— and names— can be deceiving.",I caught an angelfish! That other fish told me to do it!,71.0,Pet,Yellow,Black,Fluorescent,Fish30,FishAngelfish,FtrFishAngelfish,2247.0,XTCFCk2SiuY5YXLZ7
44.0,arapaima,https://acnhcdn.com/latest/MenuIcon/Fish36.png,https://acnhcdn.com/latest/BookFishIcon/FishPirarukuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishPiraruku.png,10000.0,River,XX-Large,Very Hard,Narrow,50.0,1,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,3x2,No,"The stately arapaima is quite large. Indeed, it is among the largest freshwater fish there are. Furthermore, these fascinating fish make quite the family unit. That is to say, male arapaimas protect their young by holding them gently in their mouths. Meanwhile, female arapaimas swim circles around these full-mouthed fathers fending off predators. It simply goes to show that cold-blooded creatures can be heartwarming too.",I caught an arapaima! How did it get here? Arapaiknow!,71.0,Pet,Black,Blue,No lighting,Fish36,FishPiraruku,FtrFishPiraruku,2253.0,mZy4BES54bqwi97br
41.0,arowana,https://acnhcdn.com/latest/MenuIcon/Fish33.png,https://acnhcdn.com/latest/BookFishIcon/FishArowanaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishArowana.png,10000.0,River,Large,Very Hard,Medium,50.0,1–2,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,2x1,Yes,"It would seem your angling expertise knows no bounds! This beauteous arowana fetches a pretty Bell, though I'd venture to say that its true price is beyond measure. The arowana has been on the endangered-species list for some time. It's up to us to remain educated and do all we can to help preserve such magnificent creatures. Not to worry, old bean. This lovely fishy friend is in good wings here! On behalf of the museum, I thank you warmly for your unending generosity!","I caught an arowana! I'd make a joke, but I don't 'wana.",71.0,Pet,Yellow,Black,Fluorescent,Fish33,FishArowana,FtrFishArowana,2250.0,F68AvCaqddBJL7ZSN
58.0,barred knifejaw,https://acnhcdn.com/latest/MenuIcon/Fish47.png,https://acnhcdn.com/latest/BookFishIcon/FishIshidaiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishIshidai.png,5000.0,Sea,Medium,Hard,Medium,20.0,3–5,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,1x1,Yes,"Wonderful! I would love nothing more! The barred knifejaw, also called the striped beakfish, is a lovely fish with a distinctive striped pattern. It is reportedly also a very curious fish in that it has been known to approach swimmers to ""greet"" them. They also tend to be good at avoiding fishing hooks, so well done on outwitting this one!",I caught a barred knifejaw! They must have a hard time eating!,71.0,Pet,White,Black,Fluorescent,Fish47,FishIshidai,FtrFishIshidai,2265.0,X3R9SFSAaDzBF4fE3
79.0,barreleye,https://acnhcdn.com/latest/MenuIcon/Fish84.png,https://acnhcdn.com/latest/BookFishIcon/FishDemenigisuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishDemenigisu.png,15000.0,Sea,Small,Very Hard,Very Narrow,100.0,1,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,1x1,No,"The barreleye is a deep-sea fish with protuberant eyes and a clear head, so some of its organs are... visible. At first blush, a transparent head seems absurd, but there is a reason: so it can see things directly above! But I must confess - the more I learn about deep-sea fish, the happier I am to live on dry land, wot.",I caught a barreleye! Like eyeing fish in a barrel!,71.0,Pet,Black,Black,Fluorescent,Fish84,FishDemenigisu,FtrFishDemenigisu,4204.0,BpqTa4zmTjv3Nm4wE
37.0,betta,https://acnhcdn.com/latest/MenuIcon/Fish77.png,https://acnhcdn.com/latest/BookFishIcon/FishBetaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishBeta.png,2500.0,River,Small,Hard,Narrow,20.0,1–4,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,1x1,No,"The betta has long fins and beautiful coloring. It is a tropical fish popular in decorative aquariums. They're very territorial and will fight to complete exhaustion, so aquarists must keep them carefully. Rarely do such beauty and violence commingle outside the rowdiest of sunset-viewing parties.",I caught a betta! I betta not drop it!,71.0,Pet,Light blue,Black,Fluorescent,Fish77,FishBeta,FtrFishBeta,4191.0,7QcQXzwZoNGiNA94k
1.0,bitterling,https://acnhcdn.com/latest/MenuIcon/Fish0.png,https://acnhcdn.com/latest/BookFishIcon/FishTanagoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishTanago.png,900.0,River,X-Small,Hard,Medium,0.0,12–17,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,1x1,No,"Bitterlings hide their eggs inside large bivalves—like clams—where the young can stay safe until grown. The bitterling isn't being sneaky. No, their young help keep the bivalve healthy by eating invading parasites! It's a wonderful bit of evolutionary deal making, don't you think? Each one keeping the other safe... Though eating parasites does not sound like a happy childhood... Is that why the fish is so bitter?","I caught a bitterling! It's mad at me, but only a little.",71.0,Pet,Light blue,Blue,No lighting,Fish0,FishTanago,FtrFishTanago,2215.0,Drj6eLRBgg4T9KhNx
22.0,black bass,https://acnhcdn.com/latest/MenuIcon/Fish19.png,https://acnhcdn.com/latest/BookFishIcon/FishBlackbassCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishBlackbass.png,400.0,River,Large,Medium,Medium,0.0,4–12,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,Yes,"The black bass is a formidably strong fish and, as such, is a common target for sport anglers. In some areas, there are even those who professionally catch just black bass! Yet in other areas where they are NOT native, they are considered an ecological nuisance. Invasive, even. One cannot help but wonder who is to blame for their invasion, hoo.",I caught a black bass! The most metal of all fish!,71.0,Pet,Green,Black,Fluorescent,Fish19,FishBlackbass,FtrFishBlackbass,2234.0,wAZvfTca7GyaTtLcQ
54.0,blowfish,https://acnhcdn.com/latest/MenuIcon/Fish73.png,https://acnhcdn.com/latest/BookFishIcon/FishFuguCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishFugu.png,5000.0,Sea,Medium,Medium,Very Narrow,20.0,5,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,1x1,Yes,"As you may know, blowfish carry a deadly poison and are among the most toxic creatures on earth. What you may not have known is that poison and spines are not the limit of this animal's defenses! A predator that tries to swallow a blowfish before it inflates can find itself quickly choking. To be honest, if said predator can get past poison, spines, AND choking hazards, I feel they've earned a meal.",I caught a blowfish! I'm blown away!,71.0,Pet,Beige,Black,Fluorescent,Fish73,FishFugu,FtrFishFugu,2262.0,aDsmTcByApycafxTa
67.0,blue marlin,https://acnhcdn.com/latest/MenuIcon/Fish58.png,https://acnhcdn.com/latest/BookFishIcon/FishKajikiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKajiki.png,10000.0,Pier,XX-Large,Very Hard,Narrow,50.0,1–2,All day,All day,All day,All day,NA,NA,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,All day,NA,NA,2x1,Yes,"The blue marlin has a distinctive angular shape and no scales. It is an unusual relative of the tuna. These mighty fish can exceed 13 feet from bill to tail. Some accounts even have it fighting with whales! No wonder it's a popular target for sport fishing: unlike most fish, it seems like a worthy opponent.",I caught a blue marlin! Listen to this fish. it's got a point.,71.0,Pet,Blue,Black,Fluorescent,Fish58,FishKajiki,FtrFishKajiki,2275.0,jhtsYRHydAcZnd6bJ
