Name,Image,High-Res Texture,Genuine,Category,Buy,Sell,Color 1,Color 2,Size,Real Artwork Title,Artist,Description,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
academic painting,https://acnhcdn.com/latest/FtrIcon/FtrArtVitruvianMan.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,Vitruvian Man,"Leonardo da Vinci, circa 1487, Pen and ink on paper","This drawing is based on the ""ideal"" human-body ratio, as stated in ""De architectura."" ""De architectura"" was a treatise by Vitruvius, an architect from the early 1st century BCE.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtVitruvianMan,12619.0,xfTf9sfyLkxHQEz4u
academic painting,https://acnhcdn.com/latest/FtrIcon/FtrArtVitruvianManFake.png,,No,Wall-mounted,4980.0,0.0,None,None,1x1,Vitruvian Man,"Leonardo da Vinci, circa 1487, Pen and ink on paper","This drawing is based on the ""ideal"" human-body ratio, as stated in ""De architectura."" ""De architectura"" was a treatise by Vitruvius, an architect from the early 1st century BCE.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtVitruvianManFake,12620.0,5KNFAo3LkdTTJPQkd
amazing painting,https://acnhcdn.com/latest/FtrIcon/FtrArtNightWatch.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,2x2,The Night Watch,"Rembrandt van Rijn, 1642, Oil on canvas","This masterpiece, painted by 17th century Dutch artist Rembrandt, depicts a military gathering. At the time, portraits usually showed their subjects standing still. So this was a leap forward in technique. For many years, art scholars thought the painting was set at night, but a restoration revealed a dark varnish. We can now see the dynamic poses and lighting as they were meant to be seen—in the daytime!",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtNightWatch,56.0,Sg6MCSG3m9tvjGWoj
amazing painting,https://acnhcdn.com/latest/FtrIcon/FtrArtNightWatchFake.png,,No,Wall-mounted,4980.0,0.0,None,None,2x2,The Night Watch,"Rembrandt van Rijn, 1642, Oil on canvas","This masterpiece, painted by 17th century Dutch artist Rembrandt, depicts a military gathering. At the time, portraits usually showed their subjects standing still. So this was a leap forward in technique. For many years, art scholars thought the painting was set at night, but a restoration revealed a dark varnish. We can now see the dynamic poses and lighting as they were meant to be seen—in the daytime!",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtNightWatchFake,55.0,vc2Ebu4Pkn443zYiN
ancient statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureDoguu.png,NA,Yes,Miscellaneous,4980.0,1245.0,None,None,1x1,"Jōmon Period ""Dogū"" Figurine Shakōki-dogū","Artist Unknown, 1000-400 BCE, Fired pottery","A mysterious, riveting doll made from kneaded, unglazed dirt during the Jōmon period. Its large round eyes resemble goggles that intercept light, so its name should come as no surprise. ""Shakōki"" means ""light-intercepting goggles,"" and a dogū is a small animal figurine.",Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureDoguu,1337.0,zpAsguge9Yb29ksjS
ancient statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureDoguuFake.png,NA,No,Miscellaneous,4980.0,0.0,None,None,1x1,"Jōmon Period ""Dogū"" Figurine Shakōki-dogū","Artist Unknown, 1000-400 BCE, Fired pottery","A mysterious, riveting doll made from kneaded, unglazed dirt during the Jōmon period. Its large round eyes resemble goggles that intercept light, so its name should come as no surprise. ""Shakōki"" means ""light-intercepting goggles,"" and a dogū is a small animal figurine.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,Yes,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureDoguuFake,1338.0,fXbsrcXirg6miBoqT
basic painting,https://acnhcdn.com/latest/FtrIcon/FtrArtBlueBoy.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x2,The Blue Boy,"Thomas Gainsborough, 1770, Oil on canvas","Gainsborough was known for his innovative use of colors in his traditional portraits, like this one. Although he preferred painting landscapes, his portraits would be the defining work of his career.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtBlueBoy,14.0,Xhn8ZjtbdZeET3NXR
basic painting,https://acnhcdn.com/latest/FtrIcon/FtrArtBlueBoyFake.png,,No,Wall-mounted,4980.0,0.0,None,None,1x2,The Blue Boy,"Thomas Gainsborough, 1770, Oil on canvas","Gainsborough was known for his innovative use of colors in his traditional portraits, like this one. Although he preferred painting landscapes, his portraits would be the defining work of his career.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtBlueBoyFake,13.0,o4px7Mx9g2Zk6NHvC
beautiful statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureMilo.png,NA,Yes,Housewares,4980.0,1245.0,None,None,1x1,Venus de Milo,"Artist Unknown, circa 130 BCE, Marble","A statue of the Roman goddess of love and beauty, Venus was found on the island of Milos. This beautiful sculpture makes many wonder what her original pose might have been.",Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureMilo,1341.0,iscap6FsmDZdNP5dw
beautiful statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureMiloFake.png,NA,No,Housewares,4980.0,0.0,None,None,1x1,Venus de Milo,"Artist Unknown, circa 130 BCE, Marble","A statue of the Roman goddess of love and beauty, Venus was found on the island of Milos. This beautiful sculpture makes many wonder what her original pose might have been.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureMiloFake,1342.0,w9vrMbhJNj6JHkznu
calm painting,https://acnhcdn.com/latest/FtrIcon/FtrArtSundayOn.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,2x1.5,A Sunday Afternoon on the Island of La Grande Jatte,"Georges Seurat, circa 1885, Oil on canvas","Seurat, known as the founder of neo-impressionism, invented the use of brightly colored dots. His method, which does not involve mixing pigments, took time. This piece, for instance, took two years. It shows a crowd enjoying a day off at the river Seine in France.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtSundayOn,78.0,7QgYY7KuhauCnS37H
common painting,https://acnhcdn.com/latest/FtrIcon/FtrArtGleaners.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,The Gleaners,"Jean-François Millet, 1857, Oil on canvas","The signature piece from Millet, who was known for depicting the lives of commoners in the 19th century.Notice the abundant crops visible in the background relative to the meager wheat remaining for workers.This art served as social commentary in a time of great inequality.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtGleaners,44.0,GE6sppzKjqkG7sRoz
detailed painting,https://acnhcdn.com/latest/FtrIcon/FtrArtAjisaisoukeizu.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x2,Ajisai Sōkeizu,"Itō Jakuchū, 18th century, Dyed silk","A detailed, colorful, and dynamic piece by Itō Jakuchū, a successful Kyoto artist in the mid-Edo period. High-quality paints on silk help it maintain its brilliant color even now, 200 years after its creation.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtAjisaisoukeizu,12622.0,T2QA6mqARHfToTJpQ
detailed painting,https://acnhcdn.com/latest/FtrIcon/FtrArtAjisaisoukeizuFake.png,,No,Wall-mounted,4980.0,0.0,None,None,1x2,Ajisai Sōkeizu,"Itō Jakuchū, 18th century, Dyed silk","A detailed, colorful, and dynamic piece by Itō Jakuchū, a successful Kyoto artist in the mid-Edo period. High-quality paints on silk help it maintain its brilliant color even now, 200 years after its creation.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtAjisaisoukeizuFake,12623.0,m9TkAsJFFkpQ9Hr4s
dynamic painting,https://acnhcdn.com/latest/FtrIcon/FtrArtKanagawaOki.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,Thirty-Six Views of Mount Fuji The Great Wave off Kanagawa,"Katsushika Hokusai, circa 1831, Woodblock print","The signature piece of ukiyo-e artist Katsushika Hokusai, painted as part of a series when he was in his 60s. Although it is dubbed ""Thirty-Six Views,"" he eventually added 10 more to make 46 in total.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtKanagawaOki,38.0,BMBiEvuooPCwpzHj7
familiar statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureThinker.png,NA,Yes,Housewares,4980.0,1245.0,None,None,1x1,The Thinker,"Auguste Rodin, 1902, Bronze","This bronze sculpture was crafted by the French sculptor Rodin, known as the father of modern sculpture. The incredibly famous original is located in France. The sculpture was casted over 20 times. As such, authentic pieces can be found all around the world.",Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureThinker,12541.0,e45RimLWaxcoBYLNq
famous painting,https://acnhcdn.com/latest/FtrIcon/FtrArtMonaLisa.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,Mona Lisa,"Leonardo da Vinci, circa 1503, Oil on poplar","The world's most famous smile. It's said that da Vinci kept this painting for himself until the very end...Given its power to beguile visitors all these years later, it's easy to see why.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtMonaLisa,18.0,23b6Mtp42pbXaLiGj
famous painting,https://acnhcdn.com/latest/FtrIcon/FtrArtMonaLisaFake.png,,No,Wall-mounted,4980.0,0.0,None,None,1x1,Mona Lisa,"Leonardo da Vinci, circa 1503, Oil on poplar","The world's most famous smile. It's said that da Vinci kept this painting for himself until the very end...Given its power to beguile visitors all these years later, it's easy to see why.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtMonaLisaFake,17.0,ppnz4rtJf2L6FK6YN
flowery painting,https://acnhcdn.com/latest/FtrIcon/FtrArtSunflower.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,Sunflowers,"Vincent van Gogh, circa 1888, Oil on canvas","Van Gogh painted this piece when he moved to the south of France in search of more vibrant colors. Yellow was Van Gogh's favorite color, and he made seven paintings that featured sunflowers during this time.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtSunflower,50.0,aDZWPQ79YhLCMRqAE
gallant statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureDavid.png,NA,Yes,Housewares,4980.0,1245.0,None,None,2x2,David,"Michelangelo, circa 1504, Marble","Young David glares at his enemies, sling slung over his shoulder. It took Michelangelo more than three years to sculpt this piece. Close inspection shows heart- shaped eyes, but that's probably meant to depict light hitting them. Hearts didn't have the lovey-dovey symbolism back then that they do today.",Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureDavid,1333.0,hNbaWeaJCdihGnHM9
gallant statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureDavidFake.png,NA,No,Housewares,4980.0,0.0,None,None,2x2,David,"Michelangelo, circa 1504, Marble","Young David glares at his enemies, sling slung over his shoulder. It took Michelangelo more than three years to sculpt this piece. Close inspection shows heart- shaped eyes, but that's probably meant to depict light hitting them. Hearts didn't have the lovey-dovey symbolism back then that they do today.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureDavidFake,1334.0,aoJwhWz4TTkNHrgg4
glowing painting,https://acnhcdn.com/latest/FtrIcon/FtrArtFightingTemeraire.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,The Fighting Temeraire,"Joseph Mallord William Turner, 1839, Oil on canvas","A famous piece by Turner, a ""master of light. ""It shows an English Navy ship commanded by Admiral Nelson as it's being tugged toward its dismantling.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtFightingTemeraire,12624.0,89wbjB4u9oKjrKiZB
graceful painting,https://acnhcdn.com/latest/FtrIcon/FtrArtMikaeri.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x2,Beauty Looking Back,"Hishikawa Moronobu, 17th century, Color on silk","A hand-painted piece by Hishikawa Moronobu, an artist known for popularizing the ukiyo-e style. This stirring painting depicts a fashionable woman glancing back over her shoulder.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtMikaeri,6.0,8M8N84TgtyATYSaPK
graceful painting,https://acnhcdn.com/latest/FtrIcon/FtrArtMikaeriFake.png,,No,Wall-mounted,4980.0,0.0,None,None,1x2,Beauty Looking Back,"Hishikawa Moronobu, 17th century, Color on silk","A hand-painted piece by Hishikawa Moronobu, an artist known for popularizing the ukiyo-e style. This stirring painting depicts a fashionable woman glancing back over her shoulder.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtMikaeriFake,5.0,PJCq2YjGNkP3rLYAs
great statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureKamehameha.png,NA,Yes,Housewares,4980.0,1245.0,None,None,2x2,King Kamehameha I,"Thomas Ridgeway Gould, circa 1883, Bronze","A bronze sculpture of King Kamehameha I, who founded the Kingdom of Hawaii in 1810. Traditionally, the sculpture is draped with many leis every year on June 11th.",Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureKamehameha,1339.0,AAE89LXrdnv7yxs7p
informative statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureRosettaStone.png,NA,Yes,Housewares,4980.0,1245.0,None,None,1x1,Rosetta Stone,"Artist Unknown, 196 BCE, Granodiorite","A stone slab found in Rosetta, Egypt in 1799. Helped efforts to decipher ancient Egyptian hieroglyphs. Almost identical text is written in hieroglyphs at the top, then Demotic script, and lastly Greek script.",Jolly Redd's Treasure Trawler,,451.0,expensive,folk art,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureRosettaStone,12535.0,QW7tW8LLK5ReWvNeT
informative statue,https://acnhcdn.com/latest/FtrIcon/FtrSculptureRosettaStoneFake.png,NA,No,Housewares,4980.0,0.0,None,None,1x1,Rosetta Stone,"Artist Unknown, 196 BCE, Granodiorite","A stone slab found in Rosetta, Egypt in 1799. Helped efforts to decipher ancient Egyptian hieroglyphs. Almost identical text is written in hieroglyphs at the top, then Demotic script, and lastly Greek script.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Sculpture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrSculptureRosettaStoneFake,12536.0,qsBfFStS8mFJWotF3
jolly painting,https://acnhcdn.com/latest/FtrIcon/FtrArtSummer.png,,Yes,Wall-mounted,4980.0,1245.0,None,None,1x1,Summer,"Giuseppe Arcimboldo, circa 1563, Oil on canvas","A curious portrait by Giuseppe Arcimboldo, an Italian painter from the late 16th century. It doesn't take a particularly sharp eye to see that the entire portrait is composed of fresh produce.",Jolly Redd's Treasure Trawler,,451.0,expensive,facility,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtSummer,42.0,JmuDLy5Gzy5L98TYi
jolly painting,https://acnhcdn.com/latest/FtrIcon/FtrArtSummerFake.png,,No,Wall-mounted,4980.0,0.0,None,None,1x1,Summer,"Giuseppe Arcimboldo, circa 1563, Oil on canvas","A curious portrait by Giuseppe Arcimboldo, an Italian painter from the late 16th century. It doesn't take a particularly sharp eye to see that the entire portrait is composed of fresh produce.",Jolly Redd's Treasure Trawler,,17.0,horror,None,None,None,No,Picture,Does not play music,No lighting,Not for sale,1.2.0,1.2.0,FtrArtSummerFake,41.0,ndpzuYrx9RtgkuF4q
