Name,Closet Image,Storage Image,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
apple umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaApple0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaApple0.png,Yes,NFS,1400.0,103.0,Yellow,Red,1x1,NA,Crafting,,Yes,Not for sale,1.0.0,1.0.0,UmbrellaApple0,9948.0,FPxdw28z9s2gYgjmr
bat umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBat0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaBat0.png,No,840.0,210.0,3.0,Black,Black,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaBat0,6919.0,EZnRx49foq3M36yQ4
beach umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBeach0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaBeach0.png,No,770.0,192.0,3.0,Blue,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaBeach0,9957.0,3SSFuv6LiH63jych3
bear umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBear0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaBear0.png,No,1570.0,392.0,3.0,Brown,Beige,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaBear0,7167.0,s7KoPpysn27AeC5zi
black chic umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace5Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace5.png,No,1620.0,405.0,3.0,Black,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaPacodarace5,12137.0,p8yg9xiFwPscNDJNg
black lace umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaRace0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaRace0.png,No,750.0,187.0,3.0,Black,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaRace0,6915.0,7vuSb5AutpNQA573q
blue dot parasol,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPolkadot2Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPolkadot2.png,No,750.0,187.0,3.0,Blue,White,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaPolkadot2,9956.0,SwKuBi2vT7K365A3p
blue shiny-bows parasol,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace2Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace2.png,No,1620.0,405.0,3.0,Blue,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaPacodarace2,12134.0,BxZ4XdtfJEyWyBPFe
blue umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaStandard2Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaStandard2.png,No,770.0,192.0,3.0,Blue,Blue,1x1,NA,Nook's Cranny,,Yes,For sale,1.0.0,1.0.0,UmbrellaStandard2,9959.0,XyJaqSLnBjh5J6vLp
busted umbrella,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBroken0Cropped.png,https://acnhcdn.com/latest/FtrIcon/UmbrellaBroken0.png,No,1570.0,392.0,3.0,Black,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yes,For sale,1.0.0,1.0.0,UmbrellaBroken0,7182.0,gkHD9GKJT9eAekxWQ
