Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Label Themes,Sort Order,Villager Equippable,Primary Shape,Secondary Shape,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki1.png,Gray,No,2080.0,520.0,51.0,Gray,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal; party,1.0,Yes,Box,L,For sale,1.0.0,1.0.0,TopsTexOnepieceBoxLYosoiki1,31.0,9016.0,zbKRm5Cv5dyiz3y35
academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki2.png,Red,No,2080.0,520.0,51.0,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal; party,2.0,Yes,Box,L,For sale,1.0.0,1.0.0,TopsTexOnepieceBoxLYosoiki2,31.0,9017.0,3FSAsaikyEjHkLWcM
academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki0.png,Navy blue,No,2080.0,520.0,51.0,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal; party,3.0,Yes,Box,L,For sale,1.0.0,1.0.0,TopsTexOnepieceBoxLYosoiki0,31.0,2699.0,yfbZu5Nj6wtJSnuDW
adventure dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHStrangeBlue.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHStrangeBlue.png,NA,No,2800.0,700.0,51.0,Light blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale,1.0,Yes,Balloon,H,For sale,1.0.0,1.0.0,TopsTexOnepieceBalloonHStrangeBlue,227.0,3686.0,AQZFR4Bzob9Phsr9R
alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean2.png,Red,No,2520.0,630.0,51.0,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,everyday; formal,1.0,Yes,Balloon,H,For sale,1.0.0,1.0.0,TopsTexOnepieceBalloonHTyrolean2,68.0,8616.0,TkEkCuYTjTEu38axs
alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean0.png,Green,No,2520.0,630.0,51.0,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,everyday; formal,2.0,Yes,Balloon,H,For sale,1.0.0,1.0.0,TopsTexOnepieceBalloonHTyrolean0,68.0,3168.0,rN77JmGnpSNNeQogP
alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean1.png,Blue,No,2520.0,630.0,51.0,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,everyday; formal,3.0,Yes,Balloon,H,For sale,1.0.0,1.0.0,TopsTexOnepieceBalloonHTyrolean1,68.0,8615.0,zkWYtfW3WeDbdSQuy
alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean2.png,Red,No,2520.0,630.0,51.0,Red,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal,1.0,Yes,Overall,H,For sale,1.0.0,1.0.0,TopsTexOnepieceOverallHTyrolean2,368.0,8632.0,WWbNFkaxwJMGLSBYj
alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean0.png,Green,No,2520.0,630.0,51.0,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal,2.0,Yes,Overall,H,For sale,1.0.0,1.0.0,TopsTexOnepieceOverallHTyrolean0,368.0,4443.0,vzaWMkA2s7R6SefHa
alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean1.png,Blue,No,2520.0,630.0,51.0,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal,3.0,Yes,Overall,H,For sale,1.0.0,1.0.0,TopsTexOnepieceOverallHTyrolean1,368.0,8631.0,onM7CM229PHZyRjPd
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen3.png,White,No,3640.0,910.0,51.0,White,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,1.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKanpukumen3,773.0,9160.0,Fcbj8smE8XoZJuH3h
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen1.png,Green,No,3640.0,910.0,51.0,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,2.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKanpukumen1,773.0,9158.0,Ta6QSCmpE9nybMPxA
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen0.png,Blue,No,3640.0,910.0,51.0,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,3.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKanpukumen0,773.0,5518.0,W2KoH5jp8b43CHbsK
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen4.png,Purple,No,3640.0,910.0,51.0,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,4.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKanpukumen4,773.0,9161.0,2Pz2drQkcbzDF5dXX
ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen2.png,Beige,No,3640.0,910.0,51.0,Beige,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,5.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKanpukumen2,773.0,9159.0,DFxZQJWvqjzGxpEWw
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen2.png,Red,No,2520.0,630.0,51.0,Pink,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,1.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKanpukuwomen2,774.0,9163.0,fkKFHi8LSBqQnF5fP
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen1.png,Pink,No,2520.0,630.0,51.0,Pink,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,2.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKanpukuwomen1,774.0,9162.0,vRcHxEwpupmHocSZi
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,Green,No,2520.0,630.0,51.0,Green,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,3.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKanpukuwomen0,774.0,5519.0,9ia2ueaAKgT25KpLq
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen3.png,Blue,No,2520.0,630.0,51.0,Light blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,4.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKanpukuwomen3,774.0,9164.0,eZq27jsCvY5jxiyJX
ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen4.png,Purple,No,2520.0,630.0,51.0,Purple,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,5.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKanpukuwomen4,774.0,9165.0,jr6P62azs7uQ2gzjL
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai0.png,White,No,2520.0,630.0,51.0,White,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal,1.0,Yes,B-long,L,For sale,1.0.0,1.0.0,TopsTexOnepieceBlongLAodai0,181.0,3493.0,KPYgXwbrnLgBT7aaS
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai4.png,Pink,No,2520.0,630.0,51.0,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal,2.0,Yes,B-long,L,For sale,1.0.0,1.0.0,TopsTexOnepieceBlongLAodai4,181.0,9144.0,EhoEQfAaNHBCYq6ET
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai2.png,Yellow,No,2520.0,630.0,51.0,Yellow,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal,3.0,Yes,B-long,L,For sale,1.0.0,1.0.0,TopsTexOnepieceBlongLAodai2,181.0,9142.0,iCHJh668S3FYby4iz
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai3.png,Green,No,2520.0,630.0,51.0,Green,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal,4.0,Yes,B-long,L,For sale,1.0.0,1.0.0,TopsTexOnepieceBlongLAodai3,181.0,9143.0,bkv3c36HA4856YrPL
áo dài,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai1.png,Navy blue,No,2520.0,630.0,51.0,Blue,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,everyday; formal,5.0,Yes,B-long,L,For sale,1.0.0,1.0.0,TopsTexOnepieceBlongLAodai1,181.0,9141.0,qJ6wpwNd8tRK4mJqt
apple dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNApple0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNApple0.png,NA,Yes,NFS,1600.0,103.0,Yellow,Red,1x1,Crafting,,All Year,No,Cute,fairy tale; party; theatrical,1.0,Yes,A-line,N,Not for sale,1.0.0,1.0.0,TopsTexOnepieceAlineNApple0,1087.0,9836.0,4r6bu79MTGChcioYr
astro dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNSpace2.png,Pink,No,2500.0,625.0,51.0,Gray,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,fairy tale; theatrical,1.0,Yes,A-line,N,For sale,1.0.0,1.0.0,TopsTexOnepieceAlineNSpace2,586.0,7891.0,MCrJgJnwLXfXbNiTA
astro dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNSpace1.png,Green,No,2500.0,625.0,51.0,Gray,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,fairy tale; theatrical,2.0,Yes,A-line,N,For sale,1.0.0,1.0.0,TopsTexOnepieceAlineNSpace1,586.0,7890.0,Zwb2C5oFXQ3ip2KTb
astro dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNSpace0.png,Blue,No,2500.0,625.0,51.0,Gray,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,fairy tale; theatrical,3.0,Yes,A-line,N,For sale,1.0.0,1.0.0,TopsTexOnepieceAlineNSpace0,586.0,5135.0,YgSrhdHZosAdNtDvp
attus robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAttoushi2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAttoushi2.png,Red,No,2520.0,630.0,51.0,Red,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,everyday; formal,1.0,Yes,B-long,L,For sale,1.0.0,1.0.0,TopsTexOnepieceBlongLAttoushi2,1158.0,11999.0,GKPivR7QXbRhAH589
attus robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAttoushi0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAttoushi0.png,Blue,No,2520.0,630.0,51.0,Blue,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,everyday; formal,2.0,Yes,B-long,L,For sale,1.0.0,1.0.0,TopsTexOnepieceBlongLAttoushi0,1158.0,10907.0,GCnizpuhnhMnWodB6
attus robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAttoushi1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAttoushi1.png,Brown,No,2520.0,630.0,51.0,Brown,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,everyday; formal,3.0,Yes,B-long,L,For sale,1.0.0,1.0.0,TopsTexOnepieceBlongLAttoushi1,1158.0,11998.0,uWaA98hr4zo2nE424
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers4.png,Baby pink,No,1920.0,480.0,51.0,Red,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; comfy,1.0,Yes,Overall,L,For sale,1.0.0,1.0.0,TopsTexOnepieceOverallLRompers4,393.0,7831.0,xugKSBhsTLu7iJHqf
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers1.png,Baby purple,No,1920.0,480.0,51.0,Pink,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; comfy,2.0,Yes,Overall,L,For sale,1.0.0,1.0.0,TopsTexOnepieceOverallLRompers1,393.0,7828.0,xaNwcn2BKpELEEcJu
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers7.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers7.png,Baby orange,No,1920.0,480.0,51.0,Orange,Orange,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; comfy,3.0,Yes,Overall,L,For sale,1.0.0,1.0.0,TopsTexOnepieceOverallLRompers7,393.0,7834.0,63PAmvstBoJvzyYq9
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers2.png,Baby yellow,No,1920.0,480.0,51.0,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; comfy,4.0,Yes,Overall,L,For sale,1.0.0,1.0.0,TopsTexOnepieceOverallLRompers2,393.0,7829.0,jATy7chF9RZSpzgkM
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers3.png,Baby green,No,1920.0,480.0,51.0,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; comfy,5.0,Yes,Overall,L,For sale,1.0.0,1.0.0,TopsTexOnepieceOverallLRompers3,393.0,7830.0,3wYgbYbbc9R7XK6sT
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers0.png,Baby mint,No,1920.0,480.0,51.0,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; comfy,6.0,Yes,Overall,L,For sale,1.0.0,1.0.0,TopsTexOnepieceOverallLRompers0,393.0,4470.0,fpTozgJHe8zAbuoJr
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers6.png,Baby blue,No,1920.0,480.0,51.0,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; comfy,7.0,Yes,Overall,L,For sale,1.0.0,1.0.0,TopsTexOnepieceOverallLRompers6,393.0,7833.0,6SATwHBYcR8soiT2n
baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers5.png,Baby gray,No,1920.0,480.0,51.0,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; comfy,8.0,Yes,Overall,L,For sale,1.0.0,1.0.0,TopsTexOnepieceOverallLRompers5,393.0,7832.0,AXWwhihKEF9GCxh7R
baby-chick costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceRibNChick0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceRibNChick0.png,Yellow,No,1700.0,425.0,51.0,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Cute,fairy tale; party; theatrical,1.0,Yes,Rib,N,For sale,1.0.0,1.0.0,TopsTexOnepieceRibNChick0,805.0,5644.0,YA7qY7v9XHAvmqbXH
baby-chick costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceRibNChick1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceRibNChick1.png,Blue,No,1700.0,425.0,51.0,Light blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,2.0,Yes,Rib,N,For sale,1.0.0,1.0.0,TopsTexOnepieceRibNChick1,805.0,9640.0,gW7sLivQcaehgbjXP
baby-chick costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceRibNChick2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceRibNChick2.png,Beige,No,1700.0,425.0,51.0,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; party; theatrical,3.0,Yes,Rib,N,For sale,1.0.0,1.0.0,TopsTexOnepieceRibNChick2,805.0,9641.0,ypSLLZTw54xErGjfT
baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKorea3.png,Black,No,2520.0,630.0,51.0,Black,Gray,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,1.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKorea3,892.0,9168.0,MapEioZAxqTnzK2Mz
baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKorea2.png,Aqua,No,2520.0,630.0,51.0,Light blue,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,2.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKorea2,892.0,9167.0,AJkbvYDxyGcQpGKFG
baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKorea0.png,Blue,No,2520.0,630.0,51.0,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,3.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKorea0,892.0,5818.0,oiNZmTDej7FHJY8Ab
baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKorea1.png,Purple,No,2520.0,630.0,51.0,Purple,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Elegant,formal,4.0,Yes,Kimono,L,For sale,1.0.0,1.0.0,TopsTexOnepieceKimonoLKorea1,892.0,9166.0,MiGR4W6zqSmxAaidp
ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonNBallet5.png,White,No,2880.0,720.0,51.0,White,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,No,Cute,fairy tale; sporty; theatrical; work,1.0,Yes,Balloon,N,For sale,1.0.0,1.0.0,TopsTexOnepieceBalloonNBallet5,66.0,9416.0,cRmBbYvn7e6bdJBfi
