Name,Framed Image,Album Image,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
Agent K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Keiji.png,https://acnhcdn.com/latest/Audio/mjk_Keiji.png,3200.0,800.0,103.0,Brown,Orange,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""It's hard to say."" as your mood",For sale,1.0.0,1.0.0,mjk_Keiji,2472.0,omxkkikQ5jwtoGiXa
Aloha K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Aloha.png,https://acnhcdn.com/latest/Audio/mjk_Aloha.png,3200.0,800.0,103.0,Brown,Light blue,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""Laid-back."" as your mood",For sale,1.0.0,1.0.0,mjk_Aloha,2423.0,rxKK6nfmC4rWvXxCv
Animal City,https://acnhcdn.com/latest/FtrIcon/mjk_DoubutuNoMachi.png,https://acnhcdn.com/latest/Audio/mjk_DoubutuNoMachi.png,NFS,800.0,103.0,Brown,None,1x1,K.K. concert,Hidden song - only by request,Not for sale,1.0.0,1.0.0,mjk_DoubutuNoMachi,4312.0,PTLK2jL5rb7t5Rm5j
Bubblegum K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Idol.png,https://acnhcdn.com/latest/Audio/mjk_Idol.png,3200.0,800.0,103.0,Brown,Light blue,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""I feel good!"" as your mood",For sale,1.0.0,1.0.0,mjk_Idol,2492.0,ZgwCoTem6x9efZAnD
Café K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Paris.png,https://acnhcdn.com/latest/Audio/mjk_Paris.png,3200.0,800.0,103.0,Brown,Colorful,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""I feel good!"" as your mood",For sale,1.0.0,1.0.0,mjk_Paris,2454.0,ZXwXi8YnFpks2RPuK
Comrade K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_ShowaKayo.png,https://acnhcdn.com/latest/Audio/mjk_ShowaKayo.png,3200.0,800.0,103.0,Brown,White,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""A little blue..."" as your mood",For sale,1.0.0,1.0.0,mjk_ShowaKayo,2448.0,5ufeoTSFwRxQTrXdq
DJ K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_EuroBeat.png,https://acnhcdn.com/latest/Audio/mjk_EuroBeat.png,3200.0,800.0,103.0,Brown,Pink,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""A little grumpy..."" as your mood",For sale,1.0.0,1.0.0,mjk_EuroBeat,2443.0,6H8pzhuYdfNpD8KTd
Drivin',https://acnhcdn.com/latest/FtrIcon/mjk_Drive.png,https://acnhcdn.com/latest/Audio/mjk_Drive.png,NFS,800.0,103.0,Brown,None,1x1,K.K. concert,Hidden song - only by request,Not for sale,1.0.0,1.0.0,mjk_Drive,4314.0,at7FbmJfbKvsGHB5T
Farewell,https://acnhcdn.com/latest/FtrIcon/mjk_Sayonara.png,https://acnhcdn.com/latest/Audio/mjk_Sayonara.png,NFS,800.0,103.0,Brown,None,1x1,K.K. concert,Hidden song - only by request,Not for sale,1.0.0,1.0.0,mjk_Sayonara,4313.0,diprrz97SbCJGzXM3
Forest Life,https://acnhcdn.com/latest/FtrIcon/mjk_MoriNoSeikatsu.png,https://acnhcdn.com/latest/Audio/mjk_MoriNoSeikatsu.png,3200.0,800.0,103.0,Brown,Yellow,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""Laid-back."" as your mood",For sale,1.0.0,1.0.0,mjk_MoriNoSeikatsu,2461.0,ZM4S88gPPapGknNeR
Go K.K. Rider,https://acnhcdn.com/latest/FtrIcon/mjk_KekeRider.png,https://acnhcdn.com/latest/Audio/mjk_KekeRider.png,3200.0,800.0,103.0,Brown,White,1x1,"K.K. concert, Nook Shopping Catalog","Possible song KK will play when choosing ""A little grumpy..."" as your mood",For sale,1.0.0,1.0.0,mjk_KekeRider,2450.0,w6jLsBX6ZX4oPDwDh
