Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
A tee,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHAce0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHAce0.png,NA,No,560.0,140.0,51.0,Blue,White,1x1,NA,Nook Shopping Catalog,,All Year,No,Simple,everyday; comfy,1.0,Yes,For sale,1.0.0,1.0.0,TopsTexTopTshirtsHAce0,1038.0,8532.0,7XCg953t2tGAPuzaR
acid-washed jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLChemical1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLChemical1.png,Black,No,1680.0,420.0,51.0,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,everyday; outdoorsy,1.0,Yes,For sale,1.0.0,1.0.0,TopsTexTopOuterLChemical1,652.0,9538.0,K96PFk2AuQFqPrKH3
acid-washed jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLChemical0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLChemical0.png,Blue,No,1680.0,420.0,51.0,Blue,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Simple,everyday; outdoorsy,2.0,Yes,For sale,1.0.0,1.0.0,TopsTexTopOuterLChemical0,652.0,5289.0,zAiLmCwSaWADqXkRf
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen0.png,Black,No,1050.0,262.0,51.0,Black,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,Cool,everyday; comfy,1.0,Yes,For sale,1.0.0,1.0.0,TopsTexTopYshirtsLGakuranopen0,329.0,4366.0,rAfEdHYdt5e4AGTya
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen3.png,White,No,1050.0,262.0,51.0,White,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,everyday; comfy,2.0,Yes,For sale,1.0.0,1.0.0,TopsTexTopYshirtsLGakuranopen3,329.0,7556.0,N6nbrMGHwztxBWTMm
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen5.png,Gray,No,1050.0,262.0,51.0,Gray,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,everyday; comfy,3.0,Yes,For sale,1.0.0,1.0.0,TopsTexTopYshirtsLGakuranopen5,329.0,7558.0,m279zqujD3zTbp44a
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen1.png,Berry red,No,1050.0,262.0,51.0,Red,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,everyday; comfy,4.0,Yes,For sale,1.0.0,1.0.0,TopsTexTopYshirtsLGakuranopen1,329.0,7554.0,mGvZuvYbGma2REd6A
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen2.png,Green,No,1050.0,262.0,51.0,Green,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,everyday; comfy,5.0,Yes,For sale,1.0.0,1.0.0,TopsTexTopYshirtsLGakuranopen2,329.0,7555.0,YHLqiyRYuF8BwEgaF
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen6.png,Blue,No,1050.0,262.0,51.0,Blue,Purple,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,everyday; comfy,6.0,Yes,For sale,1.0.0,1.0.0,TopsTexTopYshirtsLGakuranopen6,329.0,7559.0,KzNwELnmeCmWBQMoD
after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen4.png,Purple,No,1050.0,262.0,51.0,Purple,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Cool,everyday; comfy,7.0,Yes,For sale,1.0.0,1.0.0,TopsTexTopYshirtsLGakuranopen4,329.0,7557.0,svQfLQXgrowTDaDoh
