Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Style,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
acorn pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderAcorn0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderAcorn0.png,NA,Yes,NFS,2400.0,201.0,Brown,Green,1x1,NA,Crafting,,All Year,Cute,fairy tale,1.0,No,Not for sale,1.0.0,1.0.0,BagShoulderAcorn0,980.0,7492.0,XiC7bNzTBAdb8zWwr
basket pack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBasket0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBasket0.png,NA,Yes,NFS,2400.0,103.0,Green,Green,1x1,NA,Crafting,,All Year,Simple,outdoorsy; work,1.0,No,Not for sale,1.0.0,1.0.0,BagBackpackBasket0,995.0,7506.0,BW764rj9aH3QL6GRH
bug cage,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCage0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCage0.png,NA,No,NFS,122.0,501.0,Green,White,1x1,NA,Bug-Off,,All Year,Active,outdoorsy; vacation,1.0,No,Not for sale,1.0.0,1.0.0,BagShoulderCage0,967.0,7479.0,nrkEKkL46YsQYcYjp
Bunny Day bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackEgg0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackEgg0.png,NA,Yes,NFS,2400.0,351.0,Colorful,Colorful,1x1,NA,Crafting,,All Year,Active,fairy tale; party; theatrical,1.0,No,Not for sale,1.1.0,1.1.0a,BagBackpackEgg0,1203.0,12447.0,YGofzAZknSTYWmfWM
butterfly backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackButterfly0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackButterfly0.png,NA,No,NFS,210.0,501.0,Pink,Yellow,1x1,NA,Bug-Off,,All Year,Cute,everyday; formal; party,1.0,No,Not for sale,1.0.0,1.0.0,BagBackpackButterfly0,991.0,7502.0,unsmeHZemRaTnq62z
canvas backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTote0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTote0.png,NA,No,1300.0,325.0,23.0,White,Orange,1x1,NA,Kicks,,All Year,Simple,everyday,1.0,No,For sale,1.0.0,1.0.0,BagBackpackTote0,998.0,7509.0,ZtgYddBwpZfGMjewu
cherry-blossom pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCherryblossoms0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCherryblossoms0.png,NA,Yes,NFS,2400.0,201.0,Pink,Pink,1x1,NA,Crafting,,All Year,Cute,fairy tale,1.0,No,Not for sale,1.0.0,1.0.0,BagShoulderCherryblossoms0,978.0,7490.0,wwkZdhj9HzxZiqHys
cloth shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas2.png,Ivory,No,1400.0,350.0,23.0,White,White,1x1,NA,Kicks,,All Year,Simple,everyday,1.0,No,For sale,1.0.0,1.0.0,BagShoulderCanvas2,975.0,12014.0,NfkYKg5NoaWKBEpzN
cloth shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas1.png,Orange,No,1400.0,350.0,23.0,Orange,Orange,1x1,NA,Kicks,,All Year,Simple,everyday,2.0,No,For sale,1.0.0,1.0.0,BagShoulderCanvas1,975.0,12013.0,dcpCgBwji4QCYAy8k
cloth shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas0.png,Blue,No,1400.0,350.0,23.0,Light blue,Light blue,1x1,NA,Kicks,,All Year,Simple,everyday,3.0,No,For sale,1.0.0,1.0.0,BagShoulderCanvas0,975.0,7487.0,DzoRrArWrKtzn6Xzc
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBody3.png,White,No,700.0,175.0,23.0,White,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy; sporty,1.0,No,For sale,1.0.0,1.0.0,BagBackpackBody3,971.0,11982.0,FsyHb5QAf8DDvPC7y
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBody0.png,Pink,No,700.0,175.0,23.0,Pink,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy; sporty,2.0,No,For sale,1.0.0,1.0.0,BagBackpackBody0,971.0,7483.0,zXtyCFHwWjnChTami
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBody2.png,Yellow,No,700.0,175.0,23.0,Yellow,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy; sporty,3.0,No,For sale,1.0.0,1.0.0,BagBackpackBody2,971.0,11981.0,zX6ZX4puTojGuJgGj
crossbody bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBody1.png,Green,No,700.0,175.0,23.0,Green,Black,1x1,NA,Kicks,,All Year,Active,everyday; outdoorsy; sporty,4.0,No,For sale,1.0.0,1.0.0,BagBackpackBody1,971.0,11980.0,tbfNwy8RmGztJdAnn
