Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
antique boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique1.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique1.png,Black,No,2640.0,660.0,51.0,Black,Black,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; fairy tale,1.0,No,For sale,1.0.0,1.0.0,ShoesKneeAntique1,776.0,11689.0,hpTunJzb4CJPueMW7
antique boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique0.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique0.png,Brown,No,2640.0,660.0,51.0,Brown,Brown,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; fairy tale,2.0,No,For sale,1.0.0,1.0.0,ShoesKneeAntique0,776.0,5523.0,jQ9MMJXSCde9q8NPP
antique boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique2.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique2.png,Greige,No,2640.0,660.0,51.0,Beige,Beige,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,No,Simple,everyday; fairy tale,3.0,No,For sale,1.0.0,1.0.0,ShoesKneeAntique2,776.0,11690.0,ngk8sGuhSHQoBmwqv
armor shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeKnightIron.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeKnightIron.png,NA,Yes,NFS,3000.0,103.0,Gray,Gray,1x1,NA,Crafting,,All Year,No,Cool,fairy tale; goth,1.0,No,Not for sale,1.0.0,1.0.0,ShoesKneeKnightIron,763.0,5472.0,osBLFxSiCDnRf8eXR
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush4.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush4.png,Gray,No,560.0,140.0,23.0,Gray,Yellow,1x1,NA,Kicks,,All Year,No,Cute,comfy; vacation,1.0,No,For sale,1.0.0,1.0.0,ShoesSandalBaboush4,925.0,10112.0,N9jHqLCE8WsfZxJHo
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush7.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush7.png,Red,No,560.0,140.0,23.0,Red,Yellow,1x1,NA,Kicks,,All Year,No,Cute,comfy; vacation,2.0,No,For sale,1.0.0,1.0.0,ShoesSandalBaboush7,925.0,10115.0,EZKKTpCAN4CEvJJwC
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush2.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush2.png,Pink,No,560.0,140.0,23.0,Pink,White,1x1,NA,Kicks,,All Year,No,Cute,comfy; vacation,3.0,No,For sale,1.0.0,1.0.0,ShoesSandalBaboush2,925.0,10110.0,KrfcX2z6gFKZziGwx
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush1.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush1.png,Orange,No,560.0,140.0,23.0,Orange,White,1x1,NA,Kicks,,All Year,No,Cute,comfy; vacation,4.0,No,For sale,1.0.0,1.0.0,ShoesSandalBaboush1,925.0,10109.0,hzHj4PYSRpa8fkQey
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush3.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush3.png,Yellow,No,560.0,140.0,23.0,Yellow,White,1x1,NA,Kicks,,All Year,No,Cute,comfy; vacation,5.0,No,For sale,1.0.0,1.0.0,ShoesSandalBaboush3,925.0,10111.0,BRTZYzjci4T3qodP8
babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush6.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush6.png,Mint,No,560.0,140.0,23.0,Green,Yellow,1x1,NA,Kicks,,All Year,No,Cute,comfy; vacation,6.0,No,For sale,1.0.0,1.0.0,ShoesSandalBaboush6,925.0,10114.0,okW9rusWLMPm4bcDz
