Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Surface,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Version Added,Version Unlocked,Filename,Variant ID,Internal ID,Unique Entry ID
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,1500.0,375.0,White,Colorful,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,shop,None,None,SmallGoods,No,Beauty,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrJewelrystand_Remake_0_0,0_0,3948.0,GWNqLnfaoEkGSFFkF
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_1_0.png,Pink,NA,NA,NA,No,No,No,NA,1500.0,375.0,Pink,Colorful,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,shop,None,None,SmallGoods,No,Beauty,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrJewelrystand_Remake_1_0,1_0,3948.0,Sg24qRStpGERdwjyn
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,1500.0,375.0,Black,Colorful,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,shop,None,None,SmallGoods,No,Beauty,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrJewelrystand_Remake_2_0,2_0,3948.0,e5hQbi4JvpYYtRSM7
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_3_0.png,Brown,NA,NA,NA,No,No,No,NA,1500.0,375.0,Brown,Colorful,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,shop,None,None,SmallGoods,No,Beauty,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrJewelrystand_Remake_3_0,3_0,3948.0,BXBsfGQsnNfJqkQjm
accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_4_0.png,Light blue,NA,NA,NA,No,No,No,NA,1500.0,375.0,Light blue,Colorful,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,fancy,shop,None,None,SmallGoods,No,Beauty,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrJewelrystand_Remake_4_0,4_0,3948.0,jfpXGQCTjbg65PCD9
ACNH Nintendo Switch,https://acnhcdn.com/latest/FtrIcon/FtrSwitchAC.png,NA,NA,NA,NA,No,No,No,NA,35960.0,8990.0,Green,Light blue,1x1,No,Nintendo; Nook Shopping,,51.0,child's room,living room,None,None,Appliance,No,Game Console,No,Does not play music,Emission,For sale,1.1.0,1.1.0,FtrSwitchAC,NA,12579.0,4AgPRnxhoQ922pQ4M
agrias butterfly model,https://acnhcdn.com/latest/FtrIcon/FtrInsectMiirotatehaToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,9000.0,Pink,Purple,1x1,No,Flick,Trade 3 insects to receive a model in the mail the next day,251.0,None,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrInsectMiirotatehaToy,NA,7080.0,6SKoKnXhrf2dk6JZb
aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_0_0.png,Stacks of cash,NA,NA,NA,No,No,No,NA,100000.0,25000.0,Gray,Yellow,1x1,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,office,expensive,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrDuralumincase_Remake_0_0,0_0,7453.0,7ovsY7XPNCW3YQAJA
aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_1_0.png,Gold bars,NA,NA,NA,No,No,No,NA,100000.0,25000.0,Gray,Yellow,1x1,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",251.0,office,expensive,None,None,None,Yes,Office,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrDuralumincase_Remake_1_0,1_0,7453.0,Yympao5irjJgMNW6d
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_0_0.png,Black,NA,NA,NA,No,No,No,NA,5100.0,1275.0,Black,Brown,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,concert,None,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAmp_Remake_0_0,0_0,849.0,p7Drmf7Jh2eNhbcos
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_1_0.png,White,NA,NA,NA,No,No,No,NA,5100.0,1275.0,White,Gray,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,concert,None,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAmp_Remake_1_0,1_0,849.0,MyyKQjQLoNwRBxotN
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_2_0.png,Orange,NA,NA,NA,No,No,No,NA,5100.0,1275.0,Orange,Black,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,concert,None,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAmp_Remake_2_0,2_0,849.0,RvK5HfWmj3JiarEuv
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_3_0.png,Brown,NA,NA,NA,No,No,No,NA,5100.0,1275.0,Brown,Beige,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,concert,None,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAmp_Remake_3_0,3_0,849.0,tBcdytBjuxSm9d2fZ
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,5100.0,1275.0,Blue,Black,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,concert,None,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAmp_Remake_4_0,4_0,849.0,AmLfDtSibYyBDrMmY
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_5_0.png,Red,NA,NA,NA,No,No,No,NA,5100.0,1275.0,Red,Black,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,concert,None,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAmp_Remake_5_0,5_0,849.0,9PHmPyxF6fjKgGzKA
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_6_0.png,Pink,NA,NA,NA,No,No,No,NA,5100.0,1275.0,Pink,Gray,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,concert,None,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrAmp_Remake_6_0,6_0,849.0,yivR6nwwzFWyQ5ogM
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_0_0.png,Red,NA,NA,NA,No,No,No,NA,1100.0,275.0,Red,White,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,kitchen,shop,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrWeighing_Remake_0_0,0_0,3993.0,6WMJcEFXoWt9mmtvE
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_1_0.png,Yellow,NA,NA,NA,No,No,No,NA,1100.0,275.0,Yellow,White,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,kitchen,shop,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrWeighing_Remake_1_0,1_0,3993.0,YfYgj2jXPy6sip9Qu
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_2_0.png,Green,NA,NA,NA,No,No,No,NA,1100.0,275.0,Green,White,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,kitchen,shop,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrWeighing_Remake_2_0,2_0,3993.0,Spi4XHmdPD2CX7xL4
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_3_0.png,Blue,NA,NA,NA,No,No,No,NA,1100.0,275.0,Blue,White,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,kitchen,shop,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrWeighing_Remake_3_0,3_0,3993.0,LgKQD3p9WLzfg3GN4
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_4_0.png,Pink,NA,NA,NA,No,No,No,NA,1100.0,275.0,Pink,White,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,kitchen,shop,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrWeighing_Remake_4_0,4_0,3993.0,FJHLtvYAkJLBCyvKZ
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_5_0.png,Ivory,NA,NA,NA,No,No,No,NA,1100.0,275.0,Yellow,White,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,kitchen,shop,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrWeighing_Remake_5_0,5_0,3993.0,o8gB7rkjtK8geGeMW
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_6_0.png,Light blue,NA,NA,NA,No,No,No,NA,1100.0,275.0,Light blue,White,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,kitchen,shop,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrWeighing_Remake_6_0,6_0,3993.0,Xd3pqsLgpnFeWC46C
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_7_0.png,Black,NA,NA,NA,No,No,No,NA,1100.0,275.0,Black,White,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,kitchen,shop,None,None,None,Yes,Kitchen Things,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrWeighing_Remake_7_0,7_0,3993.0,2Sw2GvGbFtnz6Ft7g
anchovy model,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobiToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,600.0,Blue,Black,1x1,No,C.J.,Trade 3 fish to receive a model in the mail the next day,251.0,None,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrFishAntyobiToy,NA,6999.0,jqs5hyDDgiozw7D6W
angelfish model,https://acnhcdn.com/latest/FtrIcon/FtrFishAngelfishToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,9000.0,Yellow,Black,1x1,No,C.J.,Trade 3 fish to receive a model in the mail the next day,251.0,None,None,None,None,None,No,Fish,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrFishAngelfishToy,NA,6933.0,c68YashL9kXvfwLp4
ant farm,https://acnhcdn.com/latest/FtrIcon/FtrInsectAriFarm.png,NA,NA,NA,NA,No,No,No,NA,1400.0,350.0,Green,Brown,1x1,No,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",151.0,facility,child's room,None,None,None,No,Special Insect,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrInsectAriFarm,NA,11866.0,nuqhnEuJinwzRrp2z
ant model,https://acnhcdn.com/latest/FtrIcon/FtrInsectAriToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,240.0,Black,Black,1x1,No,Flick,Trade 3 insects to receive a model in the mail the next day,251.0,None,None,None,None,None,No,Insect,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrInsectAriToy,NA,7053.0,pvyXsn72duZvP5csK
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,990.0,247.0,Red,Green,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,living room,None,None,None,Plant,No,Plants,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrPlantAnthurium_Remake_0_0,0_0,3949.0,BfZjDAavNeyem3bFX
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_1_0.png,Brown,NA,NA,NA,No,No,No,NA,990.0,247.0,Red,Green,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,living room,None,None,None,Plant,No,Plants,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrPlantAnthurium_Remake_1_0,1_0,3949.0,8r8yH5cDR9D94dWE2
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_2_0.png,Light blue,NA,NA,NA,No,No,No,NA,990.0,247.0,Red,Green,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,living room,None,None,None,Plant,No,Plants,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrPlantAnthurium_Remake_2_0,2_0,3949.0,9WXR8N8LWcLgcbuTq
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_3_0.png,Pink,NA,NA,NA,No,No,No,NA,990.0,247.0,Pink,Green,1x1,No,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,103.0,living room,None,None,None,Plant,No,Plants,No,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrPlantAnthurium_Remake_3_0,3_0,3949.0,eRvZ8pBJ2gMbQXTTC
