Name,Image,Buy,Sell,Description,HHA Base Points,Color 1,Color 2,Size,Source,Museum,Interact,Catalog,Filename,Internal ID,Unique Entry ID
acanthostega,https://acnhcdn.com/latest/FtrIcon/FtrFossilFirstFourLegs.png,NFS,2000.0,"The acanthostega! Said to be one of the earliest amphibians, it existed well before dinosaurs. Because they lived as fish not long before, they still had gills and very webbed ""hands."". To toss away the life they knew and venture onto unknown lands... they must have been very brave! Hmm... Does it still count as bravery if you have no understanding of what you're doing?",87.0,Beige,Brown,1x1,Assessing fossils,Room 1,No,Not for sale,FtrFossilFirstFourLegs,4664.0,LQkRP3kBn3T2jBboF
amber,https://acnhcdn.com/latest/FtrIcon/FtrFossilAmber.png,NFS,1200.0,"Amber is formed from the sap of ancient trees that hardened over time. Because of its beauty, it has often been traded and used as jewelry throughout history. However, individual specimens may contain ancient plants or insects trapped inside them! These are valuable resources for learning about ancient eras, such as when the dinosaurs roamed... And this is why they are sometimes displayed in certain...ahem... exceptional museums! Like mine.",87.0,Yellow,Yellow,1x1,Assessing fossils,Room 1,No,Not for sale,FtrFossilAmber,294.0,ANAhATcHWvAGEhRnt
ammonite,https://acnhcdn.com/latest/FtrIcon/FtrFossilAmmonoidea.png,NFS,1100.0,"Ammonites were creatures that lived before and all the way through the age of dinosaurs! Because different species lived at different times, their shells are sometimes used as ""index fossils."". In other words, these creatures act as markers in time, helping to identify the age of other formations! Who knows what other secrets lie hidden in those spiral shells?",87.0,Beige,Brown,1x1,Assessing fossils,Room 1,No,Not for sale,FtrFossilAmmonoidea,295.0,ojNKnr4YRrmPi2gPo
ankylo skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilAnkylosaurusA.png,NFS,3500.0,"Oho! Ankylosaurus was the herbivore hero, the grazing gladiator, the vegetarian barbarian of antiquity! Between its club-like tail, heavy armor, and honest-to-goodness SPIKES, it was a formidable beast! Can you keep a secret? I have even heard recent theories that it actively ATTACKED predators. Can you imagine such behavior in an herbivore? It simply beggars the imagination!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilAnkylosaurusA,169.0,QQjxKmQ8Aac9cSoM2
ankylo tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilAnkylosaurusC.png,NFS,2500.0,"Oho! Ankylosaurus was the herbivore hero, the grazing gladiator, the vegetarian barbarian of antiquity! Between its club-like tail, heavy armor, and honest-to-goodness SPIKES, it was a formidable beast! Can you keep a secret? I have even heard recent theories that it actively ATTACKED predators. Can you imagine such behavior in an herbivore? It simply beggars the imagination!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilAnkylosaurusC,171.0,wLWBm2R727RC3qSL2
ankylo torso,https://acnhcdn.com/latest/FtrIcon/FtrFossilAnkylosaurusB.png,NFS,3000.0,"Oho! Ankylosaurus was the herbivore hero, the grazing gladiator, the vegetarian barbarian of antiquity! Between its club-like tail, heavy armor, and honest-to-goodness SPIKES, it was a formidable beast! Can you keep a secret? I have even heard recent theories that it actively ATTACKED predators. Can you imagine such behavior in an herbivore? It simply beggars the imagination!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilAnkylosaurusB,170.0,5QNzf5buPckabN6cR
anomalocaris,https://acnhcdn.com/latest/FtrIcon/FtrFossilAnomalocaris.png,NFS,2000.0,"Anomalocaris lived in the water long before the dinosaurs and are known for their, er, ""distinctive"" look. Flat bodies over three feet in length, bulging eyes like a...dragonfly, antennae like shrimp tails... They looked so peculiar that people originally thought they were multiple fossils stacked on top of each other! As a delightful side note, ""anomalocaris"" means ""abnormal shrimp"". Obviously this animal has a certain reputation in the scientific community!",87.0,Black,Gray,1x1,Assessing fossils,Room 1,No,Not for sale,FtrFossilAnomalocaris,4651.0,TYX964LM2tNZ3SYKC
archaeopteryx,https://acnhcdn.com/latest/FtrIcon/FtrFossilArchaeopteryx.png,NFS,1300.0,"Archaeopteryx's feathers led many people to believe it was the progenitor of the birds, eh wot... Sadly, further evidence indicates it's likely not a direct ancestor—more an evolutionary ""uncle"", if you will. Every time a specimen is found, new theories pop up. And new relatives come to roost in the family tree!",87.0,Beige,Brown,1x1,Assessing fossils,Room 2,No,Not for sale,FtrFossilArchaeopteryx,298.0,ky9pkmc2fmK9thuFH
archelon skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilArchelonA.png,NFS,4000.0,"Ah, yes. Archelon. It was a sort of huge sea turtle. The largest thus far found, if you want to know. They were very sizable—some 13 feet long, with a shell the size of a small car... If you're into that sort of thing. They likely ate seaweed, shrimp, octopus, and possibly ammonites, given the era involved. It seems CERTAIN giant turtles had to be prima donnas and eat some of the oldest life forms on earth!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilArchelonA,177.0,cYZhXfyNiqZy2hgeM
archelon tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilArchelonB.png,NFS,3500.0,"Ah, yes. Archelon. It was a sort of huge sea turtle. The largest thus far found, if you want to know. They were very sizable—some 13 feet long, with a shell the size of a small car... If you're into that sort of thing. They likely ate seaweed, shrimp, octopus, and possibly ammonites, given the era involved. It seems CERTAIN giant turtles had to be prima donnas and eat some of the oldest life forms on earth!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilArchelonB,178.0,CtosFxKjG5nzLGi4t
australopith,https://acnhcdn.com/latest/FtrIcon/FtrFossilAustralopithecus.png,NFS,1100.0,"The australopith, thought to be one of the links between humans and apes, emerged 4,000,000 years ago. They lived long ago, even before the ancestors of the modern humans, so there are profound differences... Even so, it seems to me that you can see the beginnings of greatness here!",87.0,Beige,Brown,1x1,Assessing fossils,Room 3,No,Not for sale,FtrFossilAustralopithecus,301.0,vE5WQNHepjDb36K6g
brachio chest,https://acnhcdn.com/latest/FtrIcon/FtrFossilBrachiosaurusB.png,NFS,5500.0,"Brachiosaurus, whose name means ""arm lizard"" —no idea— was one of the largest herbivorous dinosaurs. Due to its long front legs, it was very good at eating plants high up, even for a long-necked herbivore! Unfortunately, in order to support its large size, it likely needed to eat more or less every waking hour. Research marches ever onward! Perhaps one day we'll even find out why it's named ""arm lizard""!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilBrachiosaurusB,4689.0,FykMyEnM2Xhzd54x8
brachio pelvis,https://acnhcdn.com/latest/FtrIcon/FtrFossilBrachiosaurusC.png,NFS,5000.0,"Brachiosaurus, whose name means ""arm lizard"" —no idea— was one of the largest herbivorous dinosaurs. Due to its long front legs, it was very good at eating plants high up, even for a long-necked herbivore! Unfortunately, in order to support its large size, it likely needed to eat more or less every waking hour. Research marches ever onward! Perhaps one day we'll even find out why it's named ""arm lizard""!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilBrachiosaurusC,4690.0,5zCdNszyap3Gs7hZY
brachio skull,https://acnhcdn.com/latest/FtrIcon/FtrFossilBrachiosaurusA.png,NFS,6000.0,"Brachiosaurus, whose name means ""arm lizard"" —no idea— was one of the largest herbivorous dinosaurs. Due to its long front legs, it was very good at eating plants high up, even for a long-necked herbivore! Unfortunately, in order to support its large size, it likely needed to eat more or less every waking hour. Research marches ever onward! Perhaps one day we'll even find out why it's named ""arm lizard""!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilBrachiosaurusA,4688.0,bECfoiR8RoGTXmqCL
brachio tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilBrachiosaurusD.png,NFS,5500.0,"Brachiosaurus, whose name means ""arm lizard"" —no idea— was one of the largest herbivorous dinosaurs. Due to its long front legs, it was very good at eating plants high up, even for a long-necked herbivore! Unfortunately, in order to support its large size, it likely needed to eat more or less every waking hour. Research marches ever onward! Perhaps one day we'll even find out why it's named ""arm lizard""!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilBrachiosaurusD,4691.0,RTtavecsrgWSGLm7C
coprolite,https://acnhcdn.com/latest/FtrIcon/FtrFossilCoprolite.png,NFS,1100.0,"Coprolites, or fossilized...feces, are astonishing treasure troves of fascinating information! For example, certain herbivorous dinosaurs' coprolites contained small pebbles... This indicated that they ate plants and pebbles whole and ground them up in their stomachs! So while these animals' eating habits may have been unrefined, the rocks helped ""refine"" their food anyway!",87.0,Brown,Brown,1x1,Assessing fossils,Room 2,No,Not for sale,FtrFossilCoprolite,296.0,hKbRzACFb4D24W8HJ
deinony tail,https://acnhcdn.com/latest/FtrIcon/FtrFossilDeinonychusB.png,NFS,2500.0,"Ahem... Yes, you may not have heard of Deinonychus, but you may have heard of its cousin, the Velociraptor. Both were predators distinguished by their frighteningly huge toe claws. They also likely had feathers. The main difference between them? Size. Deinonychus was about seven feet tall and weighed 160 pounds. Little Velociraptor, on the other wing, was a compact two feet tall and weighed only about 33 pounds! I've heard that people meeting celebrities are often surprised at how short they are in person!",87.0,Brown,Brown,2x2,Assessing fossils,Room 2,No,Not for sale,FtrFossilDeinonychusB,211.0,e3NuAF5y9iv7J52Sv
